Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
ADANIPORTS,EQ,01-Jan-14,155.4,154.55,157.75,154.55,156.5,156.3,156.56,851727,133347248,5166
ADANIPORTS,EQ,02-Jan-14,156.3,155.7,159.4,151.1,151.75,152.65,156.21,2862278,447107915.8,20462
ADANIPORTS,EQ,03-Jan-14,152.65,151.5,153.85,147.5,149.65,149.9,150.35,1636752,246085304.4,16311
ADANIPORTS,EQ,06-Jan-14,149.9,150.5,152.5,149,151,150.85,150.93,750034,113204338.6,8146
ADANIPORTS,EQ,07-Jan-14,150.85,150.85,152.2,145.3,145.5,145.95,148.08,1069056,158307484.7,9638
ADANIPORTS,EQ,08-Jan-14,145.95,147.1,152.2,144.4,150.55,150.75,149.21,1195550,178384348.6,22012
ADANIPORTS,EQ,09-Jan-14,150.75,149.45,153.2,148.55,150.35,149.55,150.08,1377312,206708053.6,17929
ADANIPORTS,EQ,10-Jan-14,149.55,150.3,152,147.7,147.75,148.3,149.69,820545,122826561.2,11919
ADANIPORTS,EQ,13-Jan-14,148.3,148.5,149.95,142.2,145.1,143.75,144.47,1444514,208687499.4,15664
ADANIPORTS,EQ,14-Jan-14,143.75,143,149.7,142,147.4,147.05,146.58,2065518,302758117.9,26431
ADANIPORTS,EQ,15-Jan-14,147.05,147.1,150.9,147.1,150.4,150.1,149.14,1073586,160118151.1,13541
ADANIPORTS,EQ,16-Jan-14,150.1,149.1,152.45,149.1,150.2,150.8,150.91,1193550,180118034.4,15444
ADANIPORTS,EQ,17-Jan-14,150.8,150.2,151.6,145.1,148.95,148.65,148.24,1122874,166449511.5,15328
ADANIPORTS,EQ,20-Jan-14,148.65,149.1,152.5,148.75,150.6,150.95,151.27,1223239,185033961.3,13074
ADANIPORTS,EQ,21-Jan-14,150.95,151,151.45,146.15,147.1,147.65,147.85,1112972,164551455,13165
ADANIPORTS,EQ,22-Jan-14,147.65,147.65,149.6,146.65,147.95,147.9,148.04,732908,108496740.3,7239
ADANIPORTS,EQ,23-Jan-14,147.9,147.2,149.6,147.2,148.5,148.3,148.34,1518047,225191548.6,8977
ADANIPORTS,EQ,24-Jan-14,148.3,147.5,149.2,143.15,144.4,145,145.6,4192128,610355550.6,8882
ADANIPORTS,EQ,27-Jan-14,145,143.55,147.4,141.25,144.4,143.95,144.27,2467215,355944506.3,32326
ADANIPORTS,EQ,28-Jan-14,143.95,143.6,146.4,141.05,142.4,142,143.74,1453706,208962731.9,25671
ADANIPORTS,EQ,29-Jan-14,142,144,147.8,143.35,147.35,146.65,146.25,1503702,219921492.3,19935
ADANIPORTS,EQ,30-Jan-14,146.65,144.7,146.35,141,142.8,141.65,142.34,1530051,217787850.9,14734
ADANIPORTS,EQ,31-Jan-14,141.65,143,147.55,142.3,146,146.95,145.29,765126,111161992.8,10890
ADANIPORTS,EQ,03-Feb-14,146.95,146.4,146.65,143.4,144,143.95,144.47,520680,75221580.1,15378
ADANIPORTS,EQ,04-Feb-14,143.95,142.5,148.5,141.95,148,146.9,145.35,787885,114517074.7,13103
ADANIPORTS,EQ,05-Feb-14,146.9,146.9,148.5,144.5,146,145.7,147.33,2446824,360482898.2,7110
ADANIPORTS,EQ,06-Feb-14,145.7,148,148.85,145.7,146,146.4,147.15,720689,106050932.5,10724
ADANIPORTS,EQ,07-Feb-14,146.4,147.5,152.5,146.7,147.2,147.5,147.85,6366201,941260676.2,23181
ADANIPORTS,EQ,10-Feb-14,147.5,147.25,149.1,146.7,147.5,148.05,147.55,1981260,292334165.3,8064
ADANIPORTS,EQ,11-Feb-14,148.05,149.9,150,147.55,148.3,148.25,148.47,2114388,313915308.7,9885
ADANIPORTS,EQ,12-Feb-14,148.25,149,149.2,144.35,146,146.05,146.66,835543,122538696.9,20550
ADANIPORTS,EQ,13-Feb-14,146.05,146.1,147.25,143.5,144,144.15,144.74,734478,106305299.2,26586
ADANIPORTS,EQ,14-Feb-14,144.15,143.35,148.4,143.35,147.4,147.05,146.71,919174,134853780.5,14430
ADANIPORTS,EQ,17-Feb-14,147.05,148.4,152,146.2,152,151.2,149.22,647048,96554886.85,11253
ADANIPORTS,EQ,18-Feb-14,151.2,152,160.4,151.45,160.4,159.65,155.99,3306662,515807894.9,69262
