Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
AXISBANK,EQ,01-Jan-14,1299.55,1301.5,1305,1288.2,1293.25,1292.2,1293.87,569885,737356261.7,17853
AXISBANK,EQ,02-Jan-14,1292.2,1292,1325,1263.35,1264.95,1272.3,1301.48,2594412,3376582783,71619
AXISBANK,EQ,03-Jan-14,1272.3,1258,1269.5,1245.6,1264.15,1260.9,1256.26,2403748,3019722130,87664
AXISBANK,EQ,06-Jan-14,1260.9,1257.55,1262,1241.6,1257,1256.3,1251.92,1836289,2298878958,52814
AXISBANK,EQ,07-Jan-14,1256.3,1257.5,1265.8,1215.5,1235,1234.25,1231.23,3020062,3718377715,112267
AXISBANK,EQ,08-Jan-14,1234.25,1240,1245,1207.15,1208.1,1211.75,1218.72,2780369,3388489953,82520
AXISBANK,EQ,09-Jan-14,1211.75,1205,1210.55,1176.2,1185.6,1184.85,1188.06,5110747,6071866432,172403
AXISBANK,EQ,10-Jan-14,1184.85,1193.95,1196.55,1158.9,1166,1164.05,1171.74,3975548,4658290476,122576
AXISBANK,EQ,13-Jan-14,1164.05,1165,1200,1165,1194.9,1184.9,1177.55,1694072,1994848809,68887
AXISBANK,EQ,14-Jan-14,1184.9,1185,1193.55,1169.25,1176.9,1177.05,1179.67,2420113,2854927294,110464
AXISBANK,EQ,15-Jan-14,1177.05,1185,1188,1166.4,1183,1178.3,1176.45,2840552,3341781289,86131
AXISBANK,EQ,16-Jan-14,1178.3,1185,1197.5,1168.7,1173.75,1176.15,1182.93,3795978,4490380748,117326
AXISBANK,EQ,17-Jan-14,1176.15,1178,1188,1145,1149.75,1152.95,1160.37,3786564,4393800491,90114
AXISBANK,EQ,20-Jan-14,1152.95,1142.7,1168,1132.3,1160.55,1163.2,1150.92,1975048,2273128265,67315
AXISBANK,EQ,21-Jan-14,1163.2,1164.9,1192.2,1158.5,1188.8,1188.55,1174.92,2195982,2580106572,100972
AXISBANK,EQ,22-Jan-14,1188.55,1186,1202.4,1173.1,1183,1188.85,1188.42,2367932,2814098416,104981
