Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
BAJAJ-AUTO,EQ,01-Jan-14,1910.85,1915,1924.4,1890.3,1915.05,1917.4,1914,90587,173383857.8,6526
BAJAJ-AUTO,EQ,02-Jan-14,1917.4,1918,1928.75,1895.45,1901,1900.05,1907.8,268521,512284032.8,13103
BAJAJ-AUTO,EQ,03-Jan-14,1900.05,1893,1909,1870,1899.55,1895.55,1893.42,236545,447878291.7,20885
BAJAJ-AUTO,EQ,06-Jan-14,1895.55,1896,1899.9,1875,1888,1888.3,1886.44,284336,536383599.7,12099
BAJAJ-AUTO,EQ,07-Jan-14,1888.3,1880,1899.8,1880,1888,1889.95,1889.18,247757,468056356.7,14269
BAJAJ-AUTO,EQ,08-Jan-14,1889.95,1894.9,1923,1894.9,1912,1918.3,1908.27,578916,1104727376,32998
BAJAJ-AUTO,EQ,09-Jan-14,1918.3,1914.2,1917.65,1895.1,1913,1909.45,1906.22,266751,508485816,20649
BAJAJ-AUTO,EQ,10-Jan-14,1909.45,1905.2,1913.45,1865,1900,1900.3,1891.66,450989,853118177.8,17771
BAJAJ-AUTO,EQ,13-Jan-14,1900.3,1895.25,1917,1887.4,1890,1895.8,1898.62,274307,520805046.3,18105
BAJAJ-AUTO,EQ,14-Jan-14,1895.8,1888,1898.6,1864.95,1871,1870.55,1878.81,261322,490973918.2,16416
BAJAJ-AUTO,EQ,15-Jan-14,1870.55,1874,1904,1871.1,1894.2,1894,1890.37,350260,662120953.2,28057
BAJAJ-AUTO,EQ,16-Jan-14,1894,1900,1917.9,1892,1908,1907.75,1905.08,683523,1302168595,37789
BAJAJ-AUTO,EQ,17-Jan-14,1907.75,1907.75,1939,1906.3,1934.05,1933.45,1931.1,505335,975850177.2,26278
BAJAJ-AUTO,EQ,20-Jan-14,1933.45,1938.2,1951.8,1925.05,1928,1931.5,1940.37,240785,467212572.3,14169
BAJAJ-AUTO,EQ,21-Jan-14,1931.5,1935,1946,1927.1,1944.65,1942.4,1938.79,148033,287005062.7,7753
BAJAJ-AUTO,EQ,22-Jan-14,1942.4,1944,1953,1927,1950.1,1949.7,1943.71,230050,447150656.3,15629
