Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
BAJAJFINSV,EQ,01-Jan-14,742.7,744,767,744,758,760.1,760.3,122085,92820749.45,5409
BAJAJFINSV,EQ,02-Jan-14,760.1,762.8,763.5,723,727.15,728.35,745.65,55571,41436709.75,3095
BAJAJFINSV,EQ,03-Jan-14,728.35,725,741.2,715,729,729.3,729.29,24652,17978479.6,1826
BAJAJFINSV,EQ,06-Jan-14,729.3,730,734.9,718.3,734,731.7,726.9,18541,13477461.95,1419
BAJAJFINSV,EQ,07-Jan-14,731.7,739.8,741,724.6,731,731.05,733.16,20085,14725554.35,1082
BAJAJFINSV,EQ,08-Jan-14,731.05,725.3,744,725.3,743,738.3,735.96,30160,22196512.75,1490
BAJAJFINSV,EQ,09-Jan-14,738.3,736.05,739.4,731,732,732.2,733.87,14252,10459107.15,775
BAJAJFINSV,EQ,10-Jan-14,732.2,730.45,736.9,728.75,732,731.55,731.45,18342,13416332.05,1241
BAJAJFINSV,EQ,13-Jan-14,731.55,725.35,737.2,716,718.1,719.55,725.26,17441,12649301.5,1116
BAJAJFINSV,EQ,14-Jan-14,719.55,712.05,733.5,711,720.15,721.55,721.93,18854,13611181.7,2154
BAJAJFINSV,EQ,15-Jan-14,721.55,727.95,734.8,709.7,716.15,723.8,724.7,75069,54402390.15,4435
BAJAJFINSV,EQ,16-Jan-14,723.8,723.8,727.9,711,714,714,714.8,23309,16661242.25,1278
BAJAJFINSV,EQ,17-Jan-14,714,707.1,717,686,690,692,704.34,24528,17276123.05,1543
BAJAJFINSV,EQ,20-Jan-14,692,703,703,678,683,684.25,687.32,18106,12444594.3,1286
BAJAJFINSV,EQ,21-Jan-14,684.25,678.05,693,677.15,679.05,681.3,685.4,20912,14333062.85,1122
BAJAJFINSV,EQ,22-Jan-14,681.3,682,709,661.05,703.8,703.1,688.7,39495,27200180.05,1962
BAJAJFINSV,EQ,23-Jan-14,703.1,701.05,703,683.95,686.9,686.75,691.61,12134,8392033.4,1013
BAJAJFINSV,EQ,24-Jan-14,686.75,681,694,681,687.4,686.55,686.49,14449,9919065.05,934
BAJAJFINSV,EQ,27-Jan-14,686.55,680,687.55,666.55,680,677.2,673.83,21181,14272453.9,1975
BAJAJFINSV,EQ,28-Jan-14,677.2,671.1,688,671.1,676.65,679,681.67,10929,7449984.9,763
BAJAJFINSV,EQ,29-Jan-14,679,682,688.6,672.75,685,681.25,681.64,14622,9966926.45,850
BAJAJFINSV,EQ,30-Jan-14,681.25,674,684.7,674,678,677.9,678.03,13537,9178458.6,1896
BAJAJFINSV,EQ,31-Jan-14,677.9,671.05,686,671.05,680,680.15,679.28,6933,4709453.75,388
BAJAJFINSV,EQ,03-Feb-14,680.15,671.15,681,662,666.95,664.5,673.63,21339,14374652.75,2084
BAJAJFINSV,EQ,04-Feb-14,664.5,661.2,694.95,658.35,688.8,687.5,679.02,19391,13166813.6,1336
BAJAJFINSV,EQ,05-Feb-14,687.5,682,693,678.85,685,684.35,684.33,40928,28008083.55,2347
BAJAJFINSV,EQ,06-Feb-14,684.35,694.7,698,677.6,682.05,681.85,685.49,18233,12498533.15,1886
BAJAJFINSV,EQ,07-Feb-14,681.85,678,690,678,688.8,686.7,685.44,13446,9216375.6,921
BAJAJFINSV,EQ,10-Feb-14,686.7,688,693,676.1,681,680.7,684.88,6369,4362003.45,591
BAJAJFINSV,EQ,11-Feb-14,680.7,684,689.75,680,681,681.55,682.77,11120,7592426.75,768
BAJAJFINSV,EQ,12-Feb-14,681.55,683.1,708.8,680,703,701.1,691.97,39757,27510526.9,1517
BAJAJFINSV,EQ,13-Feb-14,701.1,706.3,706.3,680,681,682.7,688.3,29136,20054367.4,1232
BAJAJFINSV,EQ,14-Feb-14,682.7,685,691,678,682.2,682.3,681.63,17112,11663992.4,714
BAJAJFINSV,EQ,17-Feb-14,682.3,678.05,698,678.05,690.15,691.25,685.28,20169,13821427.3,1155
BAJAJFINSV,EQ,18-Feb-14,691.25,695,707,679.5,702.1,703.35,695.02,34942,24285402.8,1987
BAJAJFINSV,EQ,19-Feb-14,703.35,713.8,715,701.1,703.6,706.45,709.91,29513,20951692.8,1553
BAJAJFINSV,EQ,20-Feb-14,706.45,706.5,706.5,695.05,701.55,702.4,700,16602,11621346.05,886
BAJAJFINSV,EQ,21-Feb-14,702.4,704.95,708.9,693,705,701.4,699.07,40168,28080405.95,1611
BAJAJFINSV,EQ,24-Feb-14,701.4,701.95,719.95,700.4,711.9,711.1,708.57,24640,17459265.35,1032
BAJAJFINSV,EQ,25-Feb-14,711.1,718.95,731,708.1,720.75,717.7,722.38,47804,34532723,2579
BAJAJFINSV,EQ,26-Feb-14,717.7,726.65,726.65,710.25,722.85,721.1,716.52,18620,13341651,1073
BAJAJFINSV,EQ,28-Feb-14,721.1,712,724.85,712,720,722.1,719.02,16993,12218252.75,764
BAJAJFINSV,EQ,03-Mar-14,722.1,711,725,711,717,715.3,719.1,17289,12432603.1,834
BAJAJFINSV,EQ,04-Mar-14,715.3,714,732.95,714,731,728.55,726.3,29703,21573323.9,1599
BAJAJFINSV,EQ,05-Mar-14,728.55,728.55,734.4,712,715,717.45,722.06,66073,47708746.9,1255
BAJAJFINSV,EQ,06-Mar-14,717.45,721,730,715.5,725,724.85,721.9,42173,30444785.95,1484
BAJAJFINSV,EQ,07-Mar-14,724.85,727,732,716,720,720.5,722.23,20884,15083000.15,1186
BAJAJFINSV,EQ,10-Mar-14,720.5,718.45,730,718.45,727.9,725.65,725.52,18035,13084751.25,1065
BAJAJFINSV,EQ,11-Mar-14,725.65,725,735,701,723,710.9,721.74,28419,20511080.15,1248
BAJAJFINSV,EQ,12-Mar-14,710.9,705,718.45,702.05,712,711.05,711.55,12605,8969147.5,798
BAJAJFINSV,EQ,13-Mar-14,711.05,705.45,724.4,705.45,711.15,714,718.15,11603,8332637.05,722
BAJAJFINSV,EQ,14-Mar-14,714,713.8,713.8,694.25,700,698.8,700.37,49152,34424491.1,2784
BAJAJFINSV,EQ,18-Mar-14,698.8,698.8,711.45,698.8,710,709.6,708.06,15216,10773838.95,1248
BAJAJFINSV,EQ,19-Mar-14,709.6,709,709,702.8,707,707.8,706.77,14358,10147792.75,1638
BAJAJFINSV,EQ,20-Mar-14,707.8,708,714.05,697,709,709.65,704.76,72311,50961699.65,3678
BAJAJFINSV,EQ,21-Mar-14,709.65,703.2,719,703.2,718,715.05,712,25282,18000768.6,1758
BAJAJFINSV,EQ,22-Mar-14,715.05,720,726,716,717,720.6,721.74,5600,4041755,382
