Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
BHARTIARTL,EQ,01-Jan-14,330.25,331,339,330.2,338.7,337.75,335.11,1697629,568886446.5,19899
BHARTIARTL,EQ,02-Jan-14,337.75,338,339,326.5,329.2,328.7,332.9,4755449,1583069978,52845
BHARTIARTL,EQ,03-Jan-14,328.7,328,331.9,324.05,331,329.35,328.58,4237118,1392222520,66154
BHARTIARTL,EQ,06-Jan-14,329.35,328.5,330.65,325.75,329.85,329.35,328.95,2437800,801914660.6,38962
BHARTIARTL,EQ,07-Jan-14,329.35,330.5,334.5,326.5,331.8,331.7,330.2,3704661,1223265030,42251
BHARTIARTL,EQ,08-Jan-14,331.7,333,334,327.7,332,332.4,331.9,5683302,1886270802,37002
BHARTIARTL,EQ,09-Jan-14,332.4,332.4,333,327.25,331,329.6,331.04,3362087,1112979207,22952
BHARTIARTL,EQ,10-Jan-14,329.6,327,333.15,327,331,330.55,330.61,3413854,1128640466,37463
BHARTIARTL,EQ,13-Jan-14,330.55,330,333.8,329.05,331.1,331,331.23,2302991,762813365.8,42240
BHARTIARTL,EQ,14-Jan-14,331,331,332,326,329.3,327.95,328.87,2230254,733473023,36335
BHARTIARTL,EQ,15-Jan-14,327.95,329.9,333.2,329.2,332.5,331.5,331.08,2524252,835740039.6,29766
BHARTIARTL,EQ,16-Jan-14,331.5,332.95,332.95,313.55,315.05,315.55,317.8,9471235,3009964291,110079
BHARTIARTL,EQ,17-Jan-14,315.55,316,318.55,306.25,311,310.9,312.39,5862244,1831303912,118569
BHARTIARTL,EQ,20-Jan-14,310.9,311.1,312.8,307.15,307.65,308.55,309.28,4702669,1454443736,70104
BHARTIARTL,EQ,21-Jan-14,308.55,311,311,302.65,305.4,304.9,305.57,7067976,2159756182,130655
BHARTIARTL,EQ,22-Jan-14,304.9,305.2,311.8,305.2,309.5,309.75,309.7,5363524,1661077073,95281
BHARTIARTL,EQ,23-Jan-14,309.75,309,315.9,306.4,315,314.65,313.55,4757394,1491669212,80139
BHARTIARTL,EQ,24-Jan-14,314.65,313,314.75,307.75,313,313.15,311.57,4558851,1420391241,87288
BHARTIARTL,EQ,27-Jan-14,313.15,307.9,312.15,303.85,305.55,306.9,307.7,5018364,1544129749,118383
BHARTIARTL,EQ,28-Jan-14,306.9,306.9,309.5,302.15,307.2,306,305.31,5189372,1584358531,119359
BHARTIARTL,EQ,29-Jan-14,306,310,314.75,300.95,302,301.9,306.56,7761126,2379215007,140441
BHARTIARTL,EQ,30-Jan-14,301.9,302,310.65,300.1,308.6,308.65,308.03,8481543,2612560149,101565
BHARTIARTL,EQ,31-Jan-14,308.65,310,316.25,309.1,315,315,313.47,3312518,1038362742,53646
BHARTIARTL,EQ,03-Feb-14,315,313.1,313.1,303.8,306.5,305.85,306.88,3630373,1114092351,93418
