Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
BPCL,EQ,01-Jan-14,347.9,350.1,352.5,345.95,349.3,349.2,349.71,635277,222161058.1,9518
BPCL,EQ,02-Jan-14,349.2,354.7,354.7,338.6,339.2,339.45,346.21,946631,327735910.7,14011
BPCL,EQ,03-Jan-14,339.45,338.9,341,328,330.25,329.3,331.46,1064535,352845688.9,21294
BPCL,EQ,06-Jan-14,329.3,335.6,336.9,328.05,329.05,329.8,331.67,912943,302796179.1,16145
BPCL,EQ,07-Jan-14,329.8,330.5,331.9,322.25,322.4,323.55,325.43,963772,313645009.1,18648
BPCL,EQ,08-Jan-14,323.55,324.15,326.7,316.25,316.8,317.55,320.28,1260579,403739405.3,19812
BPCL,EQ,09-Jan-14,317.55,318,327.3,316.05,325.5,325.25,323.74,1647071,533222905.9,30434
BPCL,EQ,10-Jan-14,325.25,325.9,331.4,322.5,326.8,326.3,327.78,1199146,393053433.1,15135
BPCL,EQ,13-Jan-14,326.3,328.25,332.95,327.65,331.7,331.5,330.42,1083729,358087473.6,24173
BPCL,EQ,14-Jan-14,331.5,329.1,333.5,327.2,328.1,328.2,330.53,504753,166838143,10693
BPCL,EQ,15-Jan-14,328.2,326.55,331.05,326.35,327.25,327.3,328.22,1001838,328825953.6,26893
BPCL,EQ,16-Jan-14,327.3,329,333.6,325.2,332.6,330.35,329.59,747000,246205795.8,13729
BPCL,EQ,17-Jan-14,330.35,332,342.8,332,340,340.1,339.4,1739898,590523715.6,33114
BPCL,EQ,20-Jan-14,340.1,339,344.5,333.3,342,342.55,338.86,1163979,394428342.2,31021
BPCL,EQ,21-Jan-14,342.55,343,344.85,334.1,338.5,337.3,338.24,960196,324771988.9,15083
BPCL,EQ,22-Jan-14,337.3,337.2,346,334.6,345.5,343.95,341.42,513669,175379273.3,12236
BPCL,EQ,23-Jan-14,343.95,342.9,349.7,341.25,346.2,347.3,346.48,1030105,356911207.5,25572
BPCL,EQ,24-Jan-14,347.3,344,348.9,340.05,343.9,343.15,344.13,1052312,362137218.8,43030
BPCL,EQ,27-Jan-14,343.15,338.9,341,331.85,337.2,337.65,335.63,1034415,347177529.8,27122
BPCL,EQ,28-Jan-14,337.65,337.7,344.15,333.85,342.1,342.2,339.34,2692245,913598811.2,24371
BPCL,EQ,29-Jan-14,342.2,345.55,361.7,343.25,354.8,354.9,353.15,1852806,654323874.8,36052
BPCL,EQ,30-Jan-14,354.9,351,355.6,339.65,352.6,352.5,349.43,2067356,722400620.1,35877
BPCL,EQ,31-Jan-14,352.5,352.6,365,346.3,363,362.7,359.05,1423766,511210103.9,38351
BPCL,EQ,03-Feb-14,362.7,366,366,354.2,355.65,356.45,357.57,901869,322481179,30305
BPCL,EQ,04-Feb-14,356.45,353,362,350.5,356.5,355.3,354.87,860963,305526869.2,27870
BPCL,EQ,05-Feb-14,355.3,352.5,357.9,352,355,354.6,354.03,757991,268352627.4,23883
BPCL,EQ,06-Feb-14,354.6,355.25,359.4,345.9,353.7,352.85,351.33,1033580,363129865.4,40035
BPCL,EQ,07-Feb-14,352.85,354.85,355.85,349.55,352.2,352.15,351.72,1070483,376513247.9,32534
BPCL,EQ,10-Feb-14,352.15,350.2,356.75,350.2,354.95,354.8,354.42,362422,128450179.6,13471
BPCL,EQ,11-Feb-14,354.8,356.15,361.8,352.7,360.6,359.65,358.42,654702,234657884.8,23575
BPCL,EQ,12-Feb-14,359.65,362.25,370.8,356.65,365.4,364.75,363.94,2748387,1000259056,46602
BPCL,EQ,13-Feb-14,364.75,364.75,364.75,353.55,355,355,356.55,783567,279379661.4,13170
BPCL,EQ,14-Feb-14,355,357.5,357.5,349.85,355.2,355.8,353.83,432573,153056623.4,10475
BPCL,EQ,17-Feb-14,355.8,355.95,359.7,351.65,357.4,357.5,355.32,220487,78344511.45,5284
BPCL,EQ,18-Feb-14,357.5,355,359.5,352.35,355,355,355.96,666340,237192348.3,13224
BPCL,EQ,19-Feb-14,355,355.1,357,347.7,351.65,351.4,351.39,433505,152330772.3,9039
