Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
CIPLA,EQ,01-Jan-14,400.8,402.5,405.9,400.8,401.25,401.75,403.26,429074,173026650.7,7293
CIPLA,EQ,02-Jan-14,401.75,402,406.35,391.5,392.45,392.3,399.11,734194,293025455.1,10816
CIPLA,EQ,03-Jan-14,392.3,391.55,394,386,393.95,391.75,389.48,998001,388702978.2,20508
CIPLA,EQ,06-Jan-14,391.75,393.9,395.95,387.65,391,391.6,391.71,752348,294700425.7,11352
CIPLA,EQ,07-Jan-14,391.6,393.9,394.9,389,390.15,390.85,390.73,955034,373162148.3,15121
CIPLA,EQ,08-Jan-14,390.85,391.1,405,389.1,404,404.2,400.16,1768447,707663553.5,45513
CIPLA,EQ,09-Jan-14,404.2,404,407.4,400,403.3,403.1,403.61,1161659,468853594.2,29914
CIPLA,EQ,10-Jan-14,403.1,401.2,406.7,397,399,399.1,401.73,875765,351825151.4,13696
CIPLA,EQ,13-Jan-14,399.1,396.35,403.45,396.35,402.75,402.25,400.2,770671,308426068.7,9495
CIPLA,EQ,14-Jan-14,402.25,400.9,412.25,400.9,410.5,411.15,407.57,1375742,560713847.6,17393
CIPLA,EQ,15-Jan-14,411.15,414.35,423.9,414.35,417.25,418.05,418.91,2737981,1146959927,46348
CIPLA,EQ,16-Jan-14,418.05,419,420.95,412,412.05,412.65,415.86,1332490,554132359.6,16470
CIPLA,EQ,17-Jan-14,412.65,412.5,421.95,412.5,420.45,417.6,417.46,1369311,571630257.1,21510
CIPLA,EQ,20-Jan-14,417.6,419,421.7,416.15,419.1,419.85,419.36,825525,346195021.8,13213
CIPLA,EQ,21-Jan-14,419.85,420.25,424,416.35,417,417.4,420.29,757294,318286268.8,10272
CIPLA,EQ,22-Jan-14,417.4,417.7,425.85,415.3,423.6,422.7,422.77,1159013,489996828.1,26336
CIPLA,EQ,23-Jan-14,422.7,422.9,425.05,417.4,419.65,419.55,420.95,657695,276856056.3,12825
CIPLA,EQ,24-Jan-14,419.55,418,423,413.4,414,414.4,417.47,994905,415339768.9,16076
CIPLA,EQ,27-Jan-14,414.4,411.5,418,407.75,418,415,413.54,1305152,539729732.9,17010
CIPLA,EQ,28-Jan-14,415,416.3,420.5,406.8,408.8,409.25,411.43,988099,406533856.7,16545
CIPLA,EQ,29-Jan-14,409.25,411,418.5,409.5,415.3,414.5,415.21,1227506,509667740.3,31686
CIPLA,EQ,30-Jan-14,414.5,410.95,415.9,407.95,414.95,413.45,412.97,1344614,555289379.7,16806
CIPLA,EQ,31-Jan-14,413.45,415,419,408.55,410.3,410.6,412.7,529559,218549507.3,13347
CIPLA,EQ,03-Feb-14,410.6,408.5,415.75,408.5,412.85,412.5,412.1,883601,364131282.2,19523
CIPLA,EQ,04-Feb-14,412.5,410.7,417.95,410,414.15,415.15,415.38,1076767,447266493.2,32827
