Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
COALINDIA,EQ,01-Jan-14,290,294.7,295,290.55,291.85,292.2,292.86,1265974,370751698.6,19180
COALINDIA,EQ,02-Jan-14,292.2,291.4,292,281.8,283.55,283.15,287.01,1485831,426446701.5,31406
COALINDIA,EQ,03-Jan-14,283.15,282,284.45,276,279.1,277.6,278.57,2570514,716074903.8,62834
COALINDIA,EQ,06-Jan-14,277.6,279.1,280.15,274,276.5,276.3,276.15,5415257,1495437606,123246
COALINDIA,EQ,07-Jan-14,276.3,277.9,279,274,275.1,275.35,276.17,3143007,868006057.2,64908
COALINDIA,EQ,08-Jan-14,275.35,279,291.7,277,288.9,288.8,286.56,8932578,2559728031,66434
COALINDIA,EQ,09-Jan-14,288.8,292,297,289.5,296.85,295.65,293.91,4352671,1279285560,72985
COALINDIA,EQ,10-Jan-14,295.65,296.75,296.75,286.4,288,288.95,290.9,2878673,837403457.5,34568
COALINDIA,EQ,13-Jan-14,288.95,288.6,292.8,288.6,290,290.25,290.36,2773085,805189975.2,49782
COALINDIA,EQ,14-Jan-14,290.25,294,295.8,286.4,291.1,288.9,290.25,5805721,1685107064,90474
COALINDIA,EQ,15-Jan-14,288.9,301,307.85,293.55,295.25,295.2,296.65,18564061,5507049866,180067
COALINDIA,EQ,16-Jan-14,295.2,297.25,303.85,292.55,302.65,302.65,299.92,15021903,4505312532,155430
COALINDIA,EQ,17-Jan-14,302.65,275,280.25,271.1,272.1,272,275.28,6900162,1899469260,89589
COALINDIA,EQ,20-Jan-14,272,272.35,274.6,268,269.55,269.45,271.24,4551231,1234497568,36091
COALINDIA,EQ,21-Jan-14,269.45,269.95,270,262.35,262.95,263,264.77,3477115,920648745.1,50028
COALINDIA,EQ,22-Jan-14,263,262.9,265.4,260.7,262,261.8,262.75,2853129,749647387.4,38205
COALINDIA,EQ,23-Jan-14,261.8,260.5,262.7,258.5,258.6,259.1,260.33,2805631,730402245.4,55099
COALINDIA,EQ,24-Jan-14,259.1,258,261.35,257.05,257.4,257.9,259.08,2902163,751900934.1,66842
COALINDIA,EQ,27-Jan-14,257.9,256,256.4,248,249,249,252.08,3926853,989865804.6,57282
