Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
DRREDDY,EQ,01-Jan-14,2534.6,2545,2545,2529.35,2535.05,2537.45,2536.93,27816,70567362.3,2790
DRREDDY,EQ,02-Jan-14,2537.45,2525.6,2550,2513.35,2521,2528.5,2533.1,102531,259720884.6,7237
DRREDDY,EQ,03-Jan-14,2528.5,2520,2522.95,2485,2496.9,2495.7,2497.52,106312,265516290.1,13037
DRREDDY,EQ,06-Jan-14,2495.7,2514.95,2514.95,2460.2,2473.4,2471.25,2475.95,132967,329220296.6,10273
DRREDDY,EQ,07-Jan-14,2471.25,2472.2,2508,2464.6,2480.55,2491.25,2492.54,223225,556397269.7,23419
DRREDDY,EQ,08-Jan-14,2491.25,2495,2540,2470.8,2526.1,2532.25,2521.19,223471,563413054.7,22587
DRREDDY,EQ,09-Jan-14,2532.25,2541,2596.9,2525.25,2589,2586.9,2572.31,419693,1079581132,42715
DRREDDY,EQ,10-Jan-14,2586.9,2600,2631,2562.25,2625.5,2625.55,2601.93,519695,1352209605,45281
DRREDDY,EQ,13-Jan-14,2625.55,2630,2639.75,2600,2634,2626.55,2615.68,253075,661962904.4,20625
DRREDDY,EQ,14-Jan-14,2626.55,2622,2665.5,2616.55,2647.25,2649,2637.27,263864,695879999.6,23059
DRREDDY,EQ,15-Jan-14,2649,2650.1,2663.9,2641,2651,2650.2,2651.37,268234,711188765.1,20116
DRREDDY,EQ,16-Jan-14,2650.2,2652,2656,2624,2645,2644.5,2640.01,317440,838043700.6,16810
DRREDDY,EQ,17-Jan-14,2644.5,2643,2665.7,2641.6,2655,2651.85,2651.23,438475,1162496385,23173
DRREDDY,EQ,20-Jan-14,2651.85,2630,2682.5,2629.25,2652,2653.4,2656.39,295063,783803536.1,10616
DRREDDY,EQ,21-Jan-14,2653.4,2650.1,2668.9,2636.1,2656.1,2651.55,2651.83,192975,511737646.7,15922
DRREDDY,EQ,22-Jan-14,2651.55,2653.55,2688,2645.25,2685,2670.6,2665.13,197313,525864776,14751
DRREDDY,EQ,23-Jan-14,2670.6,2675.2,2687.75,2660.5,2665.8,2669.2,2673.93,171249,457907665.4,19929
DRREDDY,EQ,24-Jan-14,2669.2,2663,2691.95,2646.5,2661.15,2660.95,2661.16,351829,936271708.7,25894
DRREDDY,EQ,27-Jan-14,2660.95,2626.7,2648.8,2622,2639.85,2633.1,2635.33,341168,899091037,22861
DRREDDY,EQ,28-Jan-14,2633.1,2635.85,2660.8,2626.35,2641.35,2651.85,2651.81,181923,482425443.9,11329
DRREDDY,EQ,29-Jan-14,2651.85,2652,2686.8,2648.6,2653.2,2655.25,2661.11,243863,648947208.8,21262
DRREDDY,EQ,30-Jan-14,2655.25,2640,2646,2613.7,2619.95,2619.8,2625.8,481083,1263227516,13154
DRREDDY,EQ,31-Jan-14,2619.8,2618,2645,2602.9,2607.3,2609.55,2620.38,135185,354236063.2,14013
DRREDDY,EQ,03-Feb-14,2609.55,2605,2673.6,2605,2639.95,2653.15,2651.27,146623,388737025,12798
DRREDDY,EQ,04-Feb-14,2653.15,2652,2652,2590.2,2592.65,2596.65,2606.88,195097,508594789.9,24055
DRREDDY,EQ,05-Feb-14,2596.65,2607,2610.9,2580,2602.85,2595.7,2595.95,145398,377446657.4,15340
DRREDDY,EQ,06-Feb-14,2595.7,2598.4,2614.45,2589,2600,2599.95,2599.93,218641,568450427.4,19669
DRREDDY,EQ,07-Feb-14,2599.95,2612,2650,2611.75,2627.95,2631.9,2637.14,268263,707446667.3,14729
DRREDDY,EQ,10-Feb-14,2631.9,2645,2688,2639,2682,2672.15,2669.87,149983,400434972.4,10212
DRREDDY,EQ,11-Feb-14,2672.15,2699,2699,2625.6,2660.95,2660.45,2663.43,502138,1337410606,36220
DRREDDY,EQ,12-Feb-14,2660.45,2685,2685,2603.2,2619.75,2615.4,2631.31,408212,1074132584,28940
DRREDDY,EQ,13-Feb-14,2615.4,2630,2639.9,2549.3,2562.75,2562.6,2584.03,350389,905416746.5,38654
DRREDDY,EQ,14-Feb-14,2562.6,2579.8,2589,2516.55,2585,2580.05,2553.08,502608,1283198326,33337
DRREDDY,EQ,17-Feb-14,2580.05,2584,2652.8,2584,2647,2643.5,2632.38,302745,796940975.5,26069
DRREDDY,EQ,18-Feb-14,2643.5,2653.9,2660.95,2622.1,2651.85,2652,2638.96,283548,748271953.5,27691
DRREDDY,EQ,19-Feb-14,2652,2655,2681.7,2634,2680,2668.35,2658.89,294654,783453757.4,28273
DRREDDY,EQ,20-Feb-14,2668.35,2653.35,2719.7,2647.4,2718.5,2715.9,2699.46,324204,875174669.1,23903
DRREDDY,EQ,21-Feb-14,2715.9,2734.8,2748,2716,2728.1,2733.35,2733.39,339521,928042671.4,41226
DRREDDY,EQ,24-Feb-14,2733.35,2734.9,2800,2714,2790.1,2795.85,2773.72,369902,1026006142,47718
DRREDDY,EQ,25-Feb-14,2795.85,2795.65,2800.65,2762,2769.05,2769.15,2780.13,245678,683017909,22002
DRREDDY,EQ,26-Feb-14,2769.15,2785,2849.4,2783.95,2820.25,2833.2,2817.8,542467,1528564212,40399
DRREDDY,EQ,28-Feb-14,2833.2,2880,2939.4,2871,2906.35,2895.5,2908.9,1123755,3268891545,58264
DRREDDY,EQ,03-Mar-14,2895.5,2878,2878,2809.15,2817.75,2815.55,2839.77,301636,856577330.3,30189
DRREDDY,EQ,04-Mar-14,2815.55,2798,2847.35,2760,2802.6,2801.1,2801.04,535764,1500694593,42641
DRREDDY,EQ,05-Mar-14,2801.1,2825,2853,2779.55,2792.55,2786.9,2808.47,374714,1052373269,47688
DRREDDY,EQ,06-Mar-14,2786.9,2812,2843.3,2811.95,2828,2827,2826.64,357157,1009555768,44268
DRREDDY,EQ,07-Mar-14,2827,2831,2835.5,2681,2731,2725.3,2728.67,592911,1617858906,52823
DRREDDY,EQ,10-Mar-14,2725.3,2725,2750,2654,2680.8,2686.65,2687.01,510523,1371779641,42968
DRREDDY,EQ,11-Mar-14,2686.65,2709,2724.55,2671.65,2676,2678.7,2702.52,347167,938224125.1,29062
DRREDDY,EQ,12-Mar-14,2678.7,2690,2717.85,2671.3,2688.5,2687.5,2696.22,349572,942524633.4,30743
DRREDDY,EQ,13-Mar-14,2687.5,2700,2760,2698,2754,2727.15,2734.11,614996,1681467905,37151
DRREDDY,EQ,14-Mar-14,2727.15,2725,2795.8,2710.05,2770,2780.5,2773.21,457997,1270121902,35741
DRREDDY,EQ,18-Mar-14,2780.5,2796.9,2816.9,2778,2794,2787.6,2798.65,244037,682974941.3,21448
DRREDDY,EQ,19-Mar-14,2787.6,2811.9,2836.9,2786.1,2800.05,2801.15,2814.54,432349,1216863970,31807
DRREDDY,EQ,20-Mar-14,2801.15,2801.15,2811,2764.3,2777,2778.85,2780.06,580118,1612765147,14581
DRREDDY,EQ,21-Mar-14,2778.85,2795.95,2797,2757,2781.35,2778.6,2780.25,251466,699138374.7,20276
DRREDDY,EQ,22-Mar-14,2778.6,2780,2785,2748.5,2781,2780.4,2767.49,22571,62465083.65,1479
DRREDDY,EQ,24-Mar-14,2780.4,2785,2785,2744.3,2744.3,2750.05,2762.49,194865,538312706.3,25521
DRREDDY,EQ,25-Mar-14,2750.05,2745.15,2755,2715,2715,2723.45,2733.32,246668,674221590,24842
