Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
EICHERMOT,EQ,01-Jan-14,4975.85,5004.6,5020,4975,5001,5001.95,4996.28,2444,12210901.1,631
EICHERMOT,EQ,02-Jan-14,5001.95,4983.05,5085,4970,4976.25,4982.85,5017.36,11189,56139282.75,1234
EICHERMOT,EQ,03-Jan-14,4982.85,4953.15,5020,4950,4990,4968.95,4971.78,3952,19648479.7,734
EICHERMOT,EQ,06-Jan-14,4968.95,5019,5045,4900,5006,4985.95,4978.75,4266,21239331.65,1040
EICHERMOT,EQ,07-Jan-14,4985.95,5008,5066,4973.25,4982.05,4993.1,5007.1,7334,36722107.25,1503
EICHERMOT,EQ,08-Jan-14,4993.1,4943,5167.65,4943,5080,5074.9,5085.93,12424,63187568.7,3200
EICHERMOT,EQ,09-Jan-14,5074.9,5120,5120,5000,5019.75,5042.55,5067.61,10669,54066310.3,2761
EICHERMOT,EQ,10-Jan-14,5042.55,4995.1,5056.5,4990,5001,5009.05,5034.4,14208,71528790.95,2699
EICHERMOT,EQ,13-Jan-14,5009.05,4985,5080,4985,5040,5055,5055.41,65224,329734264.3,4596
EICHERMOT,EQ,14-Jan-14,5055,5020,5070,5000.75,5005,5012.55,5037.59,29639,149309222.2,1387
EICHERMOT,EQ,15-Jan-14,5012.55,5045,5045,4901,4939.8,4937.35,4987.23,10479,52261220.75,2383
EICHERMOT,EQ,16-Jan-14,4937.35,5000,5065,4940,4947,4953.05,4982.22,4156,20706091.75,1516
EICHERMOT,EQ,17-Jan-14,4953.05,5040,5040,4901,4940,4945.75,4960.27,3428,17003816.5,1101
EICHERMOT,EQ,20-Jan-14,4945.75,4993,5130,4930.65,5109.95,5059.15,5027.79,8641,43445138.65,1882
EICHERMOT,EQ,21-Jan-14,5059.15,5088,5115,5062,5080,5085.75,5086.99,6861,34901804.15,1155
EICHERMOT,EQ,22-Jan-14,5085.75,5114.95,5114.95,5025,5035.15,5041.45,5045.27,2482,12522369.05,679
EICHERMOT,EQ,23-Jan-14,5041.45,5094.95,5094.95,5016.1,5030.05,5044.85,5047.17,4033,20355228.4,913
EICHERMOT,EQ,24-Jan-14,5044.85,5001,5044.95,4881,4900,4921.8,4970.86,8606,42779233.35,1984
EICHERMOT,EQ,27-Jan-14,4921.8,4903.1,4903.1,4823,4840,4840.15,4839.72,3910,18923318.6,1713
EICHERMOT,EQ,28-Jan-14,4840.15,4900,4940.4,4780,4781,4808.15,4830.82,6080,29371377.7,2289
EICHERMOT,EQ,29-Jan-14,4808.15,4837.75,4870,4710,4716,4725.2,4779.46,4669,22315317.6,1287
EICHERMOT,EQ,30-Jan-14,4725.2,4716,4744,4654,4690.1,4688.9,4699.66,8121,38165908.65,1544
EICHERMOT,EQ,31-Jan-14,4688.9,4700,4790,4608.7,4665,4646.1,4659.81,7907,36845152.35,1760
EICHERMOT,EQ,03-Feb-14,4646.1,4607,4715,4550,4550,4563.4,4617.14,20409,94231279.4,1436
EICHERMOT,EQ,04-Feb-14,4563.4,4520.1,4581,4520.1,4560,4555.3,4562.85,9958,45436812.35,919
EICHERMOT,EQ,05-Feb-14,4555.3,4599.9,4601.65,4516,4528,4542.95,4570.73,4577,20920249.35,1030
EICHERMOT,EQ,06-Feb-14,4542.95,4637,4639,4478.6,4490,4504.05,4566.53,12641,57725524.3,2872
EICHERMOT,EQ,07-Feb-14,4504.05,4548,4579.95,4418,4421.2,4426,4453.76,10177,45325924.45,1384
EICHERMOT,EQ,10-Feb-14,4426,4426,4488.9,4402,4420.5,4430.9,4452.53,15669,69766649.8,1016
EICHERMOT,EQ,11-Feb-14,4430.9,4406,4480,4401.1,4415,4417.8,4423.74,10079,44586897.25,2656
EICHERMOT,EQ,12-Feb-14,4417.8,4431,4515,4402.5,4430,4437.55,4454.13,40004,178182884.3,2882
EICHERMOT,EQ,13-Feb-14,4437.55,4525,4900,4515.1,4806.05,4818.65,4770.51,190197,907336736.2,30546
EICHERMOT,EQ,14-Feb-14,4818.65,4839.9,4938,4823,4846,4849.5,4875.14,73976,360643663.7,8550
EICHERMOT,EQ,17-Feb-14,4849.5,4899,4940,4870,4882,4904.35,4905.96,28096,137837990.4,4844
EICHERMOT,EQ,18-Feb-14,4904.35,4900,4948.2,4885.2,4911.05,4920,4913.63,29885,146843969.1,1816
EICHERMOT,EQ,19-Feb-14,4920,4925,4945.6,4881.2,4900,4899.9,4904.54,16969,83225180.5,1504
EICHERMOT,EQ,20-Feb-14,4899.9,4907,4949,4886,4909.95,4901.8,4900.6,35227,172633442.6,2213
EICHERMOT,EQ,21-Feb-14,4901.8,4905,4919,4860,4880,4884,4883.13,8707,42517425,932
EICHERMOT,EQ,24-Feb-14,4884,4920,4920,4805,4820,4820.2,4828.9,21736,104961024.6,1553
EICHERMOT,EQ,25-Feb-14,4820.2,4884.85,4949,4830.05,4913.05,4916.15,4911.06,15115,74230613.45,3746
EICHERMOT,EQ,26-Feb-14,4916.15,4913,5049,4860,5007,5012.6,4957.48,42932,212834668.5,5794
EICHERMOT,EQ,28-Feb-14,5012.6,5015,5150.1,4991.55,5140,5140.3,5095.88,27615,140722687.1,5990
EICHERMOT,EQ,03-Mar-14,5140.3,5094,5227.9,5056.05,5185.35,5187.05,5150.7,91018,468806585.7,4222
EICHERMOT,EQ,04-Mar-14,5187.05,5180,5494,5147.75,5452,5426.1,5346.99,29996,160388278.2,6919
EICHERMOT,EQ,05-Mar-14,5426.1,5451,5700,5451,5570.05,5599.15,5610,28189,158140349.2,6416
EICHERMOT,EQ,06-Mar-14,5599.15,5649.85,5698,5469,5485,5510.35,5574.39,19589,109196794.3,5462
EICHERMOT,EQ,07-Mar-14,5510.35,5525,5580,5382,5450,5434.1,5410.07,98061,530516760.8,4199
EICHERMOT,EQ,10-Mar-14,5434.1,5498,5600,5400,5535,5560,5503.51,45147,248466923.7,5725
EICHERMOT,EQ,11-Mar-14,5560,5564,5597,5463.6,5525,5504.4,5502.66,42184,232124007.8,1246
EICHERMOT,EQ,12-Mar-14,5504.4,5466,5512.05,5405.6,5500.05,5494,5476.98,15616,85528523.6,4041
EICHERMOT,EQ,13-Mar-14,5494,5490,5584.85,5452.05,5550,5547.45,5522.53,7685,42440671.55,1665
EICHERMOT,EQ,14-Mar-14,5547.45,5525,5599.55,5500,5560,5571.35,5545.18,51370,284855850.5,1514
EICHERMOT,EQ,18-Mar-14,5571.35,5571.35,5599,5505.55,5550,5564.4,5582.4,19090,106568001.6,3601
EICHERMOT,EQ,19-Mar-14,5564.4,5589.85,5849,5580,5736.1,5740.5,5737.9,31660,181662009.1,8951
EICHERMOT,EQ,20-Mar-14,5740.5,5736.1,5780.2,5689.55,5745,5726.45,5728.69,10793,61829779.8,1722
EICHERMOT,EQ,21-Mar-14,5726.45,5760,5849,5722.05,5740,5763.35,5790.02,10618,61478415.1,3290
EICHERMOT,EQ,22-Mar-14,5763.35,5800,5800,5705,5713,5718.05,5727.49,568,3253216.05,191
EICHERMOT,EQ,24-Mar-14,5718.05,5772,5823,5730,5823,5795.35,5782.74,48668,281434178.2,6544
EICHERMOT,EQ,25-Mar-14,5795.35,5834,5999,5793.9,5921,5951.5,5928.33,24491,145190821.9,5824
EICHERMOT,EQ,26-Mar-14,5951.5,6022,6149.9,5690,5699.95,5776.75,5915.01,19440,114987877.6,3883
EICHERMOT,EQ,27-Mar-14,5776.75,5759.55,5950,5724.8,5925,5919.15,5849.32,14874,87002736.2,4081
EICHERMOT,EQ,28-Mar-14,5919.15,5925.2,5960,5805,5805,5832.05,5863.09,61209,358873830.5,2906
EICHERMOT,EQ,31-Mar-14,5832.05,5850,5995,5839.95,5935,5961.5,5950.2,9353,55652212.4,2566
EICHERMOT,EQ,01-Apr-14,5961.5,5965,6097,5872.05,6050,6049.45,6015.75,20136,121133211.4,4419
EICHERMOT,EQ,02-Apr-14,6049.45,6070,6190,6020.3,6145,6135.85,6123.73,19011,116418238.8,3734
EICHERMOT,EQ,03-Apr-14,6135.85,6175,6200,6020.3,6190,6154.75,6124.78,14682,89923999.35,2852
EICHERMOT,EQ,04-Apr-14,6154.75,6101,6115,6021.95,6029,6049.75,6094.82,15329,93427482.95,3579
EICHERMOT,EQ,07-Apr-14,6049.75,6040,6140,6020.3,6021.5,6043.25,6046.24,8323,50322880.1,2813
EICHERMOT,EQ,09-Apr-14,6043.25,6050,6249.8,6020.3,6249,6215.2,6190.57,63536,393324330.6,5511
EICHERMOT,EQ,10-Apr-14,6215.2,6170.6,6374,6165,6346,6328.25,6293.79,24618,154940583.6,5098
EICHERMOT,EQ,11-Apr-14,6328.25,6296.6,6327.85,6070.8,6150,6105.5,6189.94,9103,56347006,2761
EICHERMOT,EQ,15-Apr-14,6105.5,6195,6195,5980.6,6000,6017.55,6067.25,15329,93004819.5,4591
