Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
GAIL,EQ,01-Jan-14,342.3,344,344.9,341.5,343.95,343.45,343.19,141880,48691394.6,2934
GAIL,EQ,02-Jan-14,343.45,344,348.75,337,338,338.75,344.14,467214,160784753.8,10996
GAIL,EQ,03-Jan-14,338.75,338,338.5,333.5,338.5,337.4,336.57,664719,223727112.2,15330
GAIL,EQ,06-Jan-14,337.4,338.2,341.5,335.35,336.5,336.2,338.41,287964,97450611.5,7629
GAIL,EQ,07-Jan-14,336.2,336.25,340.95,332.3,338,338,336.64,750423,252625749.7,18436
GAIL,EQ,08-Jan-14,338,337.6,347.9,336.6,346.15,345.95,344.8,1092586,376721312.1,23888
GAIL,EQ,09-Jan-14,345.95,346.6,348.8,340.1,348.5,347.5,344.63,619050,213341603,22663
GAIL,EQ,10-Jan-14,347.5,347.6,350.55,340,346.5,345.3,346.82,947170,328496563.1,52846
GAIL,EQ,13-Jan-14,345.3,345.75,349.2,339.5,345,344.75,344.4,545980,188032892.2,10708
GAIL,EQ,14-Jan-14,344.75,345.2,347.8,342.25,346.95,345.1,344.73,616787,212624647.9,16191
GAIL,EQ,15-Jan-14,345.1,346.55,350.25,344,349.8,348.9,348.04,871045,303162514.2,44257
GAIL,EQ,16-Jan-14,348.9,350.7,353.7,349,352,351.2,351.21,660624,232018549.2,13645
GAIL,EQ,17-Jan-14,351.2,351,355.5,348.1,351.8,351.6,352.1,658846,231978280,14419
GAIL,EQ,20-Jan-14,351.6,352,353.95,347.95,349,349.45,350.7,475603,166794859.1,16764
GAIL,EQ,21-Jan-14,349.45,349.55,351.85,342.85,344.5,344,345.72,230742,79772437.75,6307
GAIL,EQ,22-Jan-14,344,343.1,345.8,341.5,342.75,343.2,343.24,484092,166159582.4,10708
GAIL,EQ,23-Jan-14,343.2,343.3,352,341.65,350.3,350.95,349.22,880450,307471011.4,15384
GAIL,EQ,24-Jan-14,350.95,349.5,354,348.95,350.5,350.1,350.45,643465,225499164.9,14355
