Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
GRASIM,EQ,01-Jan-14,2714.6,2720.1,2724,2695.1,2720,2714.55,2712.4,18861,51158519.4,2666
GRASIM,EQ,02-Jan-14,2714.55,2715.05,2740,2626,2635.5,2643.25,2680.58,36534,97932474.15,3791
GRASIM,EQ,03-Jan-14,2643.25,2626,2642.9,2602.3,2633.4,2630.7,2620.88,33777,88525308.1,3557
GRASIM,EQ,06-Jan-14,2630.7,2629.9,2651.7,2589.1,2625,2631.2,2621.86,25558,67009412.55,2188
GRASIM,EQ,07-Jan-14,2631.2,2633.95,2647.25,2602.3,2613,2611.65,2612.85,38002,99293686.25,2206
GRASIM,EQ,08-Jan-14,2611.65,2615.25,2616.75,2583,2600,2600.4,2596.46,64171,166617127.9,4233
GRASIM,EQ,09-Jan-14,2600.4,2599,2614.05,2562,2600,2599.4,2586.74,62027,160447755.7,6176
GRASIM,EQ,10-Jan-14,2599.4,2600.6,2622,2570,2595,2588.55,2594.92,47750,123907304,2671
GRASIM,EQ,13-Jan-14,2588.55,2580.1,2621.85,2572.2,2598.1,2602.25,2594.14,17489,45368961.05,1347
GRASIM,EQ,14-Jan-14,2602.25,2580.6,2609.1,2560,2560,2565.25,2580.52,16981,43819885.3,2264
GRASIM,EQ,15-Jan-14,2565.25,2565.25,2590.5,2560.35,2582.3,2581.9,2573.35,51562,132687248,2211
GRASIM,EQ,16-Jan-14,2581.9,2582,2614,2568,2614,2605.95,2580.2,72107,186050648.4,3290
GRASIM,EQ,17-Jan-14,2605.95,2606,2629.95,2597.3,2622,2622,2617.78,65497,171456522.4,2945
GRASIM,EQ,20-Jan-14,2622,2612.1,2617.85,2578.2,2593,2595.55,2592.85,41074,106498821.5,3803
GRASIM,EQ,21-Jan-14,2595.55,2619,2625,2582.5,2604.05,2603.3,2600.77,40203,104558814.6,2305
GRASIM,EQ,22-Jan-14,2603.3,2607.1,2618,2565,2585,2585.65,2578.21,27067,69784387.1,2483
GRASIM,EQ,23-Jan-14,2585.65,2579,2595,2570,2593,2591,2578.16,40484,104374325.9,1322
GRASIM,EQ,24-Jan-14,2591,2589,2618,2577,2599.9,2594.05,2588.57,170931,442467141.6,2746
GRASIM,EQ,27-Jan-14,2594.05,2577.9,2604.85,2556,2592.5,2592.4,2586.02,107751,278646260.9,3168
GRASIM,EQ,28-Jan-14,2592.4,2591,2600,2570.25,2600,2592.9,2587.29,188336,487280371.3,4754
GRASIM,EQ,29-Jan-14,2592.9,2600,2625,2581.8,2620,2605.5,2598.73,157111,408289356.6,3574
GRASIM,EQ,30-Jan-14,2605.5,2600,2619.8,2575,2575,2589.5,2596.02,35844,93051683.3,2782
GRASIM,EQ,31-Jan-14,2589.5,2588.95,2593.55,2536.4,2563.8,2565.1,2550.93,115501,294634895.5,4766
GRASIM,EQ,03-Feb-14,2565.1,2550,2563.95,2502.05,2502.05,2511.25,2532.77,57131,144699835.5,5221
GRASIM,EQ,04-Feb-14,2511.25,2498,2525,2476,2491.15,2490.65,2493.24,36766,91666630.8,3927
GRASIM,EQ,05-Feb-14,2490.65,2490,2498,2451,2485,2485.65,2477.49,76767,190189179.3,3726
GRASIM,EQ,06-Feb-14,2485.65,2491.25,2535,2461,2530.2,2519.25,2480.32,68544,170010783.9,3397
GRASIM,EQ,07-Feb-14,2519.25,2535,2560.05,2527.8,2550,2550.55,2548.08,32153,81928550.2,2171
GRASIM,EQ,10-Feb-14,2550.55,2549.5,2589,2544,2579.85,2567.95,2563.18,47614,122043373.8,1820
GRASIM,EQ,11-Feb-14,2567.95,2585.1,2586,2537.95,2581,2580.55,2573.58,57263,147370829.8,2194
GRASIM,EQ,12-Feb-14,2580.55,2596.2,2596.2,2555.1,2575,2574.7,2569.96,75117,193047836.6,1866
GRASIM,EQ,13-Feb-14,2574.7,2574.1,2574.1,2452,2457,2468.1,2507.09,37647,94384571.35,4147
GRASIM,EQ,14-Feb-14,2468.1,2474,2489,2435.1,2451,2454.85,2458.79,29398,72283639.6,3216
GRASIM,EQ,17-Feb-14,2454.85,2473.6,2481.95,2450.2,2467.15,2469.2,2472.62,12414,30695139.7,1692
GRASIM,EQ,18-Feb-14,2469.2,2473,2509,2453.6,2475.25,2483.4,2491.6,32307,80496238.6,3570
GRASIM,EQ,19-Feb-14,2483.4,2488,2499,2458,2493,2482.7,2475.96,23389,57910253.4,3057
GRASIM,EQ,20-Feb-14,2482.7,2494.9,2494.9,2426.35,2427,2431,2450.26,38912,95344518.9,3364
GRASIM,EQ,21-Feb-14,2431,2444.35,2511,2435,2510,2500.25,2478.38,72885,180636526.2,5677
