Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
HCLTECH,EQ,01-Jan-14,1262.55,1268.8,1269.9,1252.3,1257,1258.5,1257.87,184497,232072516.7,8492
HCLTECH,EQ,02-Jan-14,1258.5,1260,1265,1240.15,1251,1251.05,1254.32,257744,323292315.3,12695
HCLTECH,EQ,03-Jan-14,1251.05,1245.1,1266,1243.45,1263.05,1259.75,1256.63,681486,856376876.8,45894
HCLTECH,EQ,06-Jan-14,1259.75,1265,1266,1244.3,1250.5,1250.65,1250.67,348026,435264183.1,28098
HCLTECH,EQ,07-Jan-14,1250.65,1256,1267.5,1242.15,1261.65,1256.35,1253.41,969829,1215588770,53630
HCLTECH,EQ,08-Jan-14,1256.35,1258,1276.5,1242.2,1247.8,1246.4,1256.82,644194,809637727.4,49954
HCLTECH,EQ,09-Jan-14,1246.4,1250.5,1290.45,1243.1,1286.25,1285.25,1267.39,812575,1029852406,54712
HCLTECH,EQ,10-Jan-14,1285.25,1298.8,1318.6,1270,1299,1298.2,1297.26,1323124,1716434676,98362
HCLTECH,EQ,13-Jan-14,1298.2,1304.7,1353,1303,1350,1343.35,1332.82,1152803,1536474843,62497
HCLTECH,EQ,14-Jan-14,1343.35,1342.5,1342.5,1315,1324.05,1321,1325.73,640041,848521943.7,44946
HCLTECH,EQ,15-Jan-14,1321,1330.3,1347.4,1323.1,1338,1330.35,1333.57,979782,1306607746,94900
HCLTECH,EQ,16-Jan-14,1330.35,1351,1398,1340.25,1392,1390.7,1371.68,3256837,4467334959,114853
HCLTECH,EQ,17-Jan-14,1390.7,1389,1399,1369.8,1393,1379.65,1383.91,1868474,2585806296,99941
HCLTECH,EQ,20-Jan-14,1379.65,1385.5,1437,1375.65,1430.85,1430.6,1414.83,1898511,2686070260,71164
HCLTECH,EQ,21-Jan-14,1430.6,1432.15,1458.55,1430.95,1443,1440.15,1442.13,1985051,2862701266,114159
HCLTECH,EQ,22-Jan-14,1440.15,1440,1449.8,1413.15,1446,1444.75,1433.9,1804019,2586790131,157518
HCLTECH,EQ,23-Jan-14,1444.75,1444.75,1444.75,1398.6,1416.5,1411.7,1410.6,1510886,2131251653,84657
HCLTECH,EQ,24-Jan-14,1411.7,1413.25,1431.05,1400.4,1414.2,1411.85,1416.51,1104056,1563907809,82115
HCLTECH,EQ,27-Jan-14,1411.85,1410,1429.55,1396.6,1424.95,1424.5,1418.71,1564091,2218983927,98132
HCLTECH,EQ,28-Jan-14,1424.5,1419,1426.05,1398.1,1416,1412.45,1412.75,978666,1382606954,56081
HCLTECH,EQ,29-Jan-14,1412.45,1411,1435,1406.1,1425,1422.3,1423.44,654069,931030791.1,49535
HCLTECH,EQ,30-Jan-14,1422.3,1422.9,1445,1407.8,1440,1434.2,1424.23,1361644,1939296429,65268
HCLTECH,EQ,31-Jan-14,1434.2,1436.1,1469.9,1430.1,1461.3,1462.2,1455.52,949421,1381901749,78098
HCLTECH,EQ,03-Feb-14,1462.2,1454,1471.15,1448.65,1451.1,1452.9,1457.29,605213,881972956.1,31274
HCLTECH,EQ,04-Feb-14,1452.9,1434.5,1438,1375.1,1402.55,1401.9,1398.5,1272988,1780278839,62072
HCLTECH,EQ,05-Feb-14,1401.9,1412,1414,1375.5,1390.9,1393.65,1385.29,1663836,2304893320,97857
HCLTECH,EQ,06-Feb-14,1393.65,1400,1411.55,1364,1407.5,1408.7,1385.99,1342826,1861140620,96706
HCLTECH,EQ,07-Feb-14,1408.7,1419.7,1422.9,1385.6,1394.05,1400.05,1405.23,1112214,1562920907,50985
HCLTECH,EQ,10-Feb-14,1400.05,1404.4,1422.5,1396.6,1419.95,1416.15,1415.62,884190,1251675970,50786
HCLTECH,EQ,11-Feb-14,1416.15,1415,1479.2,1415,1477.7,1473.1,1457.01,1901827,2770980600,89533
HCLTECH,EQ,12-Feb-14,1473.1,1480,1510.5,1477.75,1488.8,1490.8,1496.63,1852686,2772788636,87876
HCLTECH,EQ,13-Feb-14,1490.8,1499,1502.35,1480.55,1488,1489.2,1489.66,1358472,2023664978,113680
HCLTECH,EQ,14-Feb-14,1489.2,1494,1513.75,1478.6,1497.7,1497.35,1497.15,1208412,1809178958,71831
HCLTECH,EQ,17-Feb-14,1497.35,1500,1522,1498,1503.6,1502.4,1508.8,698027,1053181817,48952
