Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
HDFCBANK,EQ,01-Jan-14,665.85,668,669.8,663,667,665.15,666.09,1123109,748089860.7,17714
HDFCBANK,EQ,02-Jan-14,665.15,665,674.75,653.55,658,657,665.37,1807248,1202486854,23269
HDFCBANK,EQ,03-Jan-14,657,652,666,650,665,663.1,661.19,1628296,1076614003,24880
HDFCBANK,EQ,06-Jan-14,663.1,663,663,657,662.25,661.7,660.56,1490855,984794768.4,14257
HDFCBANK,EQ,07-Jan-14,661.7,667.1,670.95,653.3,664.55,664.4,662.03,1974230,1306995222,30008
HDFCBANK,EQ,08-Jan-14,664.4,665.2,666.95,660,665.2,664.7,664.6,1162370,772513388,15690
HDFCBANK,EQ,09-Jan-14,664.7,663.2,666.05,657.1,664.5,662.95,662.46,944368,625604137.1,17569
HDFCBANK,EQ,10-Jan-14,662.95,662.95,674.7,656.3,663,662.05,666.8,1537627,1025289975,30620
HDFCBANK,EQ,13-Jan-14,662.05,660.1,676.95,656.9,674,672.85,670.07,1188145,796140628.7,21556
HDFCBANK,EQ,14-Jan-14,672.85,669.05,676,668.3,672.2,672.3,673.28,894280,602096900.7,20488
HDFCBANK,EQ,15-Jan-14,672.3,673,682.7,669.6,680,680.55,678.04,1156960,784459527.3,21551
HDFCBANK,EQ,16-Jan-14,680.55,684.4,685,670.35,671.9,673.05,678.03,1125294,762984550.9,18790
HDFCBANK,EQ,17-Jan-14,673.05,675,675,659.05,672.15,665,665.93,10843714,7221108192,87824
HDFCBANK,EQ,20-Jan-14,665,668.1,676.7,666.4,669.85,670.05,671.35,1400092,939948369.6,23252
HDFCBANK,EQ,21-Jan-14,670.05,672.95,678.8,670,678.5,676.1,675.41,1562981,1055646604,26865
HDFCBANK,EQ,22-Jan-14,676.1,675.5,684.7,674.65,676,677.1,680.02,1758334,1195698976,24178
HDFCBANK,EQ,23-Jan-14,677.1,675,681.1,672.75,680,679.5,678.77,1370685,930375118.9,14390
HDFCBANK,EQ,24-Jan-14,679.5,670,674.95,663.7,673.8,673.4,672.61,2210725,1486962961,27035
HDFCBANK,EQ,27-Jan-14,673.4,664.9,664.9,645.6,655,649.2,652.74,4265112,2784012569,49205
HDFCBANK,EQ,28-Jan-14,649.2,648,656,638.6,645,644.45,645.82,4598856,2970020914,67271
HDFCBANK,EQ,29-Jan-14,644.45,647.5,650.9,640.55,647.05,645.45,645.59,2742731,1770692667,24511
HDFCBANK,EQ,30-Jan-14,645.45,637.5,639.9,627.65,631.3,631.8,633.09,2856365,1808338234,40925
HDFCBANK,EQ,31-Jan-14,631.8,630,636.3,625.1,628,628.5,628.37,2405246,1511382391,43444
HDFCBANK,EQ,03-Feb-14,628.5,629.95,634,625.1,626.4,626.5,629.26,1194205,751464653.6,18364
HDFCBANK,EQ,04-Feb-14,626.5,621.65,635.5,616.8,633.3,630.6,627.63,1852326,1162569086,30498
HDFCBANK,EQ,05-Feb-14,630.6,631,639.8,625.1,637,637.45,633.9,1726346,1094336727,27596
HDFCBANK,EQ,06-Feb-14,637.45,638.75,649.6,629.5,647.5,647,640.68,3366736,2157000222,34141
HDFCBANK,EQ,07-Feb-14,647,652.4,654.5,642.1,646.85,647.75,648.4,1007367,653177561.9,18131
HDFCBANK,EQ,10-Feb-14,647.75,647.65,650.15,636,644.5,643.9,643.35,1570205,1010186926,29684
HDFCBANK,EQ,11-Feb-14,643.9,646,647.15,639.3,645,644.8,644.72,1116214,719642401.4,20172
HDFCBANK,EQ,12-Feb-14,644.8,646.6,652.8,643.65,644.95,645.45,646.93,1609240,1041063966,16291
HDFCBANK,EQ,13-Feb-14,645.45,646,648,631.25,631.65,632.5,636.19,788800,501824381.8,18659
HDFCBANK,EQ,14-Feb-14,632.5,634,643.85,629.35,642.7,641.8,637,1062278,676673643.6,24260
HDFCBANK,EQ,17-Feb-14,641.8,642,652,641.1,651.45,650.4,648.74,912530,591996336.6,15067
HDFCBANK,EQ,18-Feb-14,650.4,648.5,664.4,647.4,659.3,660.4,660.54,1254918,828920228.1,27417
HDFCBANK,EQ,19-Feb-14,660.4,656.2,672.25,655,671.05,670.05,665.01,1015237,675143054.8,15980
HDFCBANK,EQ,20-Feb-14,670.05,665.8,667.45,660.85,662.7,662.75,663.35,862109,571876666.2,8476
HDFCBANK,EQ,21-Feb-14,662.75,659.85,669.6,659.7,662.1,664.4,665.39,760968,506340593.5,10536
HDFCBANK,EQ,24-Feb-14,664.4,662.1,673,655.75,672,671,666.54,1254746,836339176.7,17081
HDFCBANK,EQ,25-Feb-14,671,674,676,666,670.3,671.1,670.77,1005140,674216286.7,20643
HDFCBANK,EQ,26-Feb-14,671.1,670,679.2,668.55,674.95,677.4,675.27,1137835,768340538.1,17995
HDFCBANK,EQ,28-Feb-14,677.4,682,682.9,665.15,669,669.6,669.5,1225896,820738136.1,23933
HDFCBANK,EQ,03-Mar-14,669.6,665.2,672,663.2,665.25,666.2,667.66,919608,613981996.8,16536
HDFCBANK,EQ,04-Mar-14,666.2,666,673.85,664.25,670.05,671.7,669.59,1610967,1078682512,16600
HDFCBANK,EQ,05-Mar-14,671.7,673.5,675,662.5,669,669.75,667.23,1001746,668395538.8,19353
HDFCBANK,EQ,06-Mar-14,669.75,673,677.7,668.1,677,675.6,673.12,1237170,832760078.3,23224
HDFCBANK,EQ,07-Mar-14,675.6,679.6,714.9,676.2,711.15,711.45,700.4,5691892,3986615144,68319
HDFCBANK,EQ,10-Mar-14,711.45,706.5,736.9,700,736.5,734.45,726.76,6530963,4746427467,78589
HDFCBANK,EQ,11-Mar-14,734.45,734.5,740,719.55,727.3,725.15,727.3,3250118,2363823761,44226
HDFCBANK,EQ,12-Mar-14,725.15,721.25,733,716.5,725.8,725.55,725.33,1777554,1289318427,22746
HDFCBANK,EQ,13-Mar-14,725.55,727.5,749.5,727.5,741.15,742.35,742.13,2862113,2124048457,37535
HDFCBANK,EQ,14-Mar-14,742.35,735,739.9,724,732.3,732.15,730.89,3052120,2230755525,32816
HDFCBANK,EQ,18-Mar-14,732.15,735.4,744.8,728.3,732.4,734,735.14,2025681,1489159074,23884
HDFCBANK,EQ,19-Mar-14,734,740,743.3,735.75,740.7,738.45,738.25,1513784,1117544356,24816
HDFCBANK,EQ,20-Mar-14,738.45,738.45,738.45,728,730.5,730.2,731.33,1298771,949826148.4,22983
HDFCBANK,EQ,21-Mar-14,730.2,735.15,737.5,731.2,733.95,733.85,734.09,1881398,1381120850,18439
HDFCBANK,EQ,22-Mar-14,733.85,736,736,729.45,733.65,732.4,732.11,105882,77517070.15,1336
HDFCBANK,EQ,24-Mar-14,732.4,734.5,752.9,734,752.75,750.65,748.04,2928465,2190604554,30914
HDFCBANK,EQ,25-Mar-14,750.65,750,760.55,747.75,750.75,750.15,753.73,2007773,1513310463,27686
HDFCBANK,EQ,26-Mar-14,750.15,752.8,756.3,744.1,747.05,746.05,747.48,2352328,1758312847,25000
HDFCBANK,EQ,27-Mar-14,746.05,750,760.75,742,745.05,746.75,749.16,6138733,4598872483,39580
HDFCBANK,EQ,28-Mar-14,746.75,749.95,754.1,735.05,745.2,744.95,741.82,3040225,2255307200,26709
HDFCBANK,EQ,31-Mar-14,744.95,747.95,753,743.1,748.25,748.8,748.83,2065607,1546791605,41091
HDFCBANK,EQ,01-Apr-14,748.8,751.5,753.55,732.55,738.3,738.1,739.97,2012958,1489537425,27983
