Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
HDFC,EQ,01-Jan-14,794.65,798.25,800.1,790.6,794.8,793.5,794.33,587564,466719913.1,30949
HDFC,EQ,02-Jan-14,793.5,791.6,809.5,784,786.5,791.1,801.14,2538179,2033431419,84179
HDFC,EQ,03-Jan-14,791.1,791,794.9,780,793.15,791,790.21,1855802,1466480662,54240
HDFC,EQ,06-Jan-14,791,790,798.4,784.35,795,795.85,791.03,1861785,1472733744,24908
HDFC,EQ,07-Jan-14,795.85,794,800.6,788.4,798,797.9,794.87,2216143,1761543266,56220
HDFC,EQ,08-Jan-14,797.9,797.9,805.5,795.35,802.5,804.3,801.71,2659846,2132427927,36777
HDFC,EQ,09-Jan-14,804.3,803.25,806.85,797.4,801,802.15,803.3,2287549,1837597514,58315
HDFC,EQ,10-Jan-14,802.15,796.2,806.25,796.2,801.7,801.45,802.15,3261578,2616275301,64080
HDFC,EQ,13-Jan-14,801.45,803,822,800,821.4,818.65,812.52,2639823,2144913567,54096
HDFC,EQ,14-Jan-14,818.65,817.1,826.25,817.1,820.8,824.35,824.38,2018695,1664173009,38524
HDFC,EQ,15-Jan-14,824.35,824.1,849.8,820.65,843,846.5,838.53,4991438,4185450987,102630
HDFC,EQ,16-Jan-14,846.5,846,866.5,845.3,850.75,857.6,855.92,4470573,3826441561,65821
HDFC,EQ,17-Jan-14,857.6,852,861.95,834.25,841.05,840.05,843.04,3708927,3126776360,73601
HDFC,EQ,20-Jan-14,840.05,844.4,845,829.05,833.9,834.8,836.36,2884920,2412820354,35695
HDFC,EQ,21-Jan-14,834.8,838,843.3,832.2,836.55,838.15,837.22,4270055,3574954558,39643
HDFC,EQ,22-Jan-14,838.15,838.15,846.1,830.6,841.5,841.05,837.97,2824568,2366915585,41382
HDFC,EQ,23-Jan-14,841.05,836.2,859.45,836.2,855.35,856.15,851.31,3523391,2999493332,65755
HDFC,EQ,24-Jan-14,856.15,849,851.95,843.5,844.5,844.7,845.06,3481450,2942036654,49176
HDFC,EQ,27-Jan-14,844.7,835,842.5,830.95,832.05,833,835.42,3281902,2741777916,68437
