Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
HEROMOTOCO,EQ,01-Jan-14,2075.3,2083,2101.45,2061.85,2085,2085.85,2087.57,93575,195344222.9,7682
HEROMOTOCO,EQ,02-Jan-14,2085.85,2089,2104,2071.3,2075,2080.55,2090.76,100402,209916845,6094
HEROMOTOCO,EQ,03-Jan-14,2080.55,2075.05,2119,2055,2099.9,2101.05,2098.19,310195,650848588.9,21201
HEROMOTOCO,EQ,06-Jan-14,2101.05,2101.05,2101.05,2061.1,2068,2068.9,2075.35,254511,528200267.1,18191
HEROMOTOCO,EQ,07-Jan-14,2068.9,2071.1,2095.65,2055.8,2065.75,2069,2071.07,257093,532458863.6,16699
HEROMOTOCO,EQ,08-Jan-14,2069,2075,2089.6,2057,2067.05,2064.65,2075.91,262835,545622145.9,32449
HEROMOTOCO,EQ,09-Jan-14,2064.65,2069.45,2080,2059.4,2066.3,2068.3,2070.55,128253,265554303.2,16587
HEROMOTOCO,EQ,10-Jan-14,2068.3,2063.05,2073.7,2032,2034.5,2039.1,2053.22,252477,518390242.8,21520
HEROMOTOCO,EQ,13-Jan-14,2039.1,2032.05,2049.95,2021,2036,2037,2036.81,257418,524312164.9,16191
HEROMOTOCO,EQ,14-Jan-14,2037,2036,2049.8,2026.45,2040.35,2037.2,2037.58,198930,405336431.2,11965
HEROMOTOCO,EQ,15-Jan-14,2037.2,2040.1,2096.9,2040.1,2071,2073.5,2075.53,198099,411160557,19335
HEROMOTOCO,EQ,16-Jan-14,2073.5,2076.25,2108.95,2065.25,2072.25,2076.65,2083.63,240797,501731109.6,17503
HEROMOTOCO,EQ,17-Jan-14,2076.65,2078.85,2098,2066,2066.9,2075.75,2085.57,191608,399611617.1,20958
HEROMOTOCO,EQ,20-Jan-14,2075.75,2080,2102,2056.1,2084,2086,2086.59,294083,613630431.1,15545
HEROMOTOCO,EQ,21-Jan-14,2086,2091.1,2104,2065,2067.85,2068.05,2082.38,178068,370805997.7,13487
HEROMOTOCO,EQ,22-Jan-14,2068.05,2071,2072.5,2050,2058,2059.9,2060.19,220535,454343824.7,15530
HEROMOTOCO,EQ,23-Jan-14,2059.9,2065,2069,2051,2054,2053.6,2056.31,150469,309410182.6,15196
HEROMOTOCO,EQ,24-Jan-14,2053.6,2049,2062.15,2022.5,2031,2036.65,2036.58,271283,552490724.9,18465
HEROMOTOCO,EQ,27-Jan-14,2036.65,2029.7,2035.5,2007.45,2022,2016.75,2023.4,574374,1162186982,20665
HEROMOTOCO,EQ,28-Jan-14,2016.75,2014.7,2031,1987,2011.6,2013.15,2010.95,222697,447832754.1,17160
HEROMOTOCO,EQ,29-Jan-14,2013.15,2015.1,2080,2015.1,2070.35,2071.5,2061.99,273137,563206252.9,18852
HEROMOTOCO,EQ,30-Jan-14,2071.5,2094,2094,1980.05,2002,1998.1,2019.85,728691,1471846002,47335
HEROMOTOCO,EQ,31-Jan-14,1998.1,1965,2027.8,1953.25,1979.65,1969.2,1980.72,763748,1512770234,39886
HEROMOTOCO,EQ,03-Feb-14,1969.2,1972,2003,1951,1953.2,1962,1981.28,138027,273470089.6,11387
HEROMOTOCO,EQ,04-Feb-14,1962,1950,2007.1,1939.2,1998.45,1986.1,1971.44,304380,600065776,22107
HEROMOTOCO,EQ,05-Feb-14,1986.1,1994.8,1999,1970,1990,1988.2,1987.96,193619,384907581,20017
HEROMOTOCO,EQ,06-Feb-14,1988.2,1995.25,2001.9,1959.85,1985,1984.2,1972.76,221073,436123182.7,21706
HEROMOTOCO,EQ,07-Feb-14,1984.2,2000,2011.3,1984.6,1998,2005.5,2000.28,192251,384556296.8,16871
HEROMOTOCO,EQ,10-Feb-14,2005.5,1999,2019.9,1985.1,1995.25,1999.75,1998.9,58916,117767187.4,5755
HEROMOTOCO,EQ,11-Feb-14,1999.75,2005.1,2007.65,1960,1961.65,1961.8,1969.85,327816,645748173.1,22401
HEROMOTOCO,EQ,12-Feb-14,1961.8,1970.1,1986,1966,1978.75,1974.85,1975.44,105852,209104190.5,13371
HEROMOTOCO,EQ,13-Feb-14,1974.85,1981.25,1989,1960,1963,1967.5,1969.26,135293,266426840.7,16929
HEROMOTOCO,EQ,14-Feb-14,1967.5,1964.25,1995.6,1912.2,1941,1937.3,1940.86,309792,601262366.3,36395
HEROMOTOCO,EQ,17-Feb-14,1937.3,1945.15,2014.95,1918.1,1975,1972.75,1965.81,505396,993514745.9,37139
HEROMOTOCO,EQ,18-Feb-14,1972.75,1985,1997.7,1973.3,1977,1979.4,1984.96,270533,536997273.6,17998
HEROMOTOCO,EQ,19-Feb-14,1979.4,1995,1995,1940,1942,1944.25,1954.19,328560,642069306.8,23452
