Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
HINDALCO,EQ,01-Jan-14,122.6,122.6,123.8,121.35,121.85,121.8,122.26,4120036,503703391.7,15939
HINDALCO,EQ,02-Jan-14,121.8,121.8,125.65,120,120.25,120.65,123.23,7275995,896628841.5,35126
HINDALCO,EQ,03-Jan-14,120.65,120,120.7,117.1,118.45,118.75,118.55,4279292,507301813.1,27727
HINDALCO,EQ,06-Jan-14,118.75,118.5,119.6,117.2,117.95,118.25,118.28,3307710,391246310.1,18091
HINDALCO,EQ,07-Jan-14,118.25,118.15,118.95,115,116.2,116.05,116.28,4922926,572443247.8,27326
HINDALCO,EQ,08-Jan-14,116.05,118.25,118.3,114.5,114.85,115.25,116.56,5002283,583082991.5,29251
HINDALCO,EQ,09-Jan-14,115.25,115,115.25,112,112.7,112.65,113.17,5398443,610939503,32539
HINDALCO,EQ,10-Jan-14,112.65,112.8,113,110.15,110.3,110.55,111.34,9012277,1003419466,49387
HINDALCO,EQ,13-Jan-14,110.55,110.2,112.25,108.5,110.8,110,110.23,4214147,464532089.5,26203
HINDALCO,EQ,14-Jan-14,110,110,111.25,108.75,109.75,109.4,109.83,2923798,321110282.9,20006
HINDALCO,EQ,15-Jan-14,109.4,110.3,112.9,110.2,110.75,110.85,111.57,4817973,537545058.9,36376
HINDALCO,EQ,16-Jan-14,110.85,111.45,113.35,111.15,113.1,112.95,112.57,4745742,534218815.3,25083
HINDALCO,EQ,17-Jan-14,112.95,113.5,114,110.5,111.6,111.3,112.06,5325344,596752637.4,28289
HINDALCO,EQ,20-Jan-14,111.3,110.1,113.5,110.1,112.4,112.1,112.43,3113909,350086987.7,17212
HINDALCO,EQ,21-Jan-14,112.1,112.45,113.4,110.65,113.1,113,112.32,3825639,429698079.7,24783
HINDALCO,EQ,22-Jan-14,113,112.6,115.4,112.5,115.35,115.2,114.59,5517465,632260350.8,33166
HINDALCO,EQ,23-Jan-14,115.2,114.2,115.25,113.6,114.3,114.3,114.24,2853691,325996525.8,13251
HINDALCO,EQ,24-Jan-14,114.3,113.15,115.35,113,113.8,114,114,5737135,654031675.6,26950
HINDALCO,EQ,27-Jan-14,114,112,112.7,109.3,111.45,111.1,110.85,8724577,967156128.4,34756
HINDALCO,EQ,28-Jan-14,111.1,110,115,109.75,113.55,113.8,112.5,4513345,507741732.1,24167
HINDALCO,EQ,29-Jan-14,113.8,114.5,114.75,111.15,111.85,111.75,112.34,4713458,529504730.5,25522
HINDALCO,EQ,30-Jan-14,111.75,110.2,110.7,107.6,108.05,108.1,108.53,5077231,551047827.6,24036
HINDALCO,EQ,31-Jan-14,108.1,109.05,110,107,109.7,109.55,109,8287236,903315748.7,21659
HINDALCO,EQ,03-Feb-14,109.55,109,109.4,103,103.1,103.45,105.49,5572627,587872767.4,36446
HINDALCO,EQ,04-Feb-14,103.45,102,103.45,99.8,102.45,102.45,101.78,13935173,1418301635,64513
HINDALCO,EQ,05-Feb-14,102.45,102.4,105.15,101,104.1,104.25,103.13,9106760,939187894.7,50093
HINDALCO,EQ,06-Feb-14,104.25,104.65,106.5,103.1,106.05,105.75,104.93,10194884,1069783002,38739
HINDALCO,EQ,07-Feb-14,105.75,106.15,107.7,104.75,106.2,106.4,106.22,9650511,1025096783,39272
HINDALCO,EQ,10-Feb-14,106.4,106.45,107.7,105.8,106.7,106.8,107.06,3124538,334518950.1,19443
HINDALCO,EQ,11-Feb-14,106.8,106.9,107.1,104.25,104.55,104.55,105.11,3964390,416716310,24284
HINDALCO,EQ,12-Feb-14,104.55,105.15,105.6,103.05,103.3,103.5,103.84,5325176,552967902,29583
HINDALCO,EQ,13-Feb-14,103.5,103.9,104.55,99.75,100,100.2,102.06,12652556,1291285984,116505
HINDALCO,EQ,14-Feb-14,100.2,100.75,101,97.85,100.15,99.9,99.16,6390793,633704471,60597
HINDALCO,EQ,17-Feb-14,99.9,100,100.75,97.65,98.75,98.5,98.64,6870442,677732563.8,41312
HINDALCO,EQ,18-Feb-14,98.5,98.7,100.5,97.75,99.1,99.3,99.38,8475360,842290839,52244
HINDALCO,EQ,19-Feb-14,99.3,99.6,100.1,98.4,98.7,98.85,98.94,4582897,453422918.3,28320
HINDALCO,EQ,20-Feb-14,98.85,98.5,98.55,97.05,97.1,97.35,97.7,3404267,332612151.9,19304
HINDALCO,EQ,21-Feb-14,97.35,97.3,98.25,97.3,97.55,97.65,97.76,6484994,633996281.3,30081
HINDALCO,EQ,24-Feb-14,97.65,97.65,98.8,96.7,96.75,97.45,98.13,8047904,789715359.8,21889
HINDALCO,EQ,25-Feb-14,97.45,97.15,99.05,97,98.8,98.8,98.19,15034041,1476180922,45980
HINDALCO,EQ,26-Feb-14,98.8,99.75,99.75,98.05,98.6,98.4,98.93,12130348,1200070494,40660
HINDALCO,EQ,28-Feb-14,98.4,99,106.4,99,105.9,105.35,103.88,26493472,2752170172,162570
HINDALCO,EQ,03-Mar-14,105.35,105,107.35,104.7,105.65,105.6,105.98,9870841,1046092735,42966
HINDALCO,EQ,04-Mar-14,105.6,105.4,114.25,105.4,114.15,113.6,110.94,16427565,1822545199,95060
HINDALCO,EQ,05-Mar-14,113.6,114.85,117.2,112.2,116.1,115.75,114.36,12023136,1374932430,49435
HINDALCO,EQ,06-Mar-14,115.75,115.75,121.2,114.7,120.75,120.8,118.67,16609108,1971064890,86069
HINDALCO,EQ,07-Mar-14,120.8,120.1,125.85,119.8,124.4,124.55,122.79,15695038,1927184540,104869
HINDALCO,EQ,10-Mar-14,124.55,123.05,123.5,121,121.55,121.95,122.09,8823020,1077205964,70718
HINDALCO,EQ,11-Mar-14,121.95,121.9,121.9,116.2,117.05,117.4,118,14421017,1701742648,72202
HINDALCO,EQ,12-Mar-14,117.4,115.7,118.4,113.95,114.8,114.75,115.81,9497798,1099974544,37781
HINDALCO,EQ,13-Mar-14,114.75,114.5,118.95,114.5,115.55,115.65,116.6,6402750,746554758.3,39002
HINDALCO,EQ,14-Mar-14,115.65,114.7,116.1,113.5,115.05,115.2,114.72,5684021,652046269.5,33736
HINDALCO,EQ,18-Mar-14,115.2,116,116.4,114.2,114.85,114.85,115.34,8034386,926673931.5,53194
HINDALCO,EQ,19-Mar-14,114.85,115.25,121.1,114.05,119.8,120.05,118.68,15915307,1888770168,86449
HINDALCO,EQ,20-Mar-14,120.05,119.65,121.95,119,119.2,119.65,120.3,7021283,844684256.7,47173
HINDALCO,EQ,21-Mar-14,119.65,120.55,124,119.8,123.9,123.5,122.77,10588714,1300020829,80093
HINDALCO,EQ,22-Mar-14,123.5,123.15,123.15,120.75,121.15,121.2,121.58,652207,79292656.65,5308
HINDALCO,EQ,24-Mar-14,121.2,120,122.5,118.2,121.25,121.6,121.1,7514958,910063503.6,43253
HINDALCO,EQ,25-Mar-14,121.6,120.95,122.65,120.25,120.3,120.75,121.33,8547719,1037097297,64450
HINDALCO,EQ,26-Mar-14,120.75,121.1,125.95,121.1,125.1,125.4,124.64,14059505,1752320141,89613
HINDALCO,EQ,27-Mar-14,125.4,125.2,126.45,124.05,125.3,125.4,125.29,6763076,847371444.1,35396
HINDALCO,EQ,28-Mar-14,125.4,125.4,131.7,125,131.1,130.9,129.21,9719662,1255856937,53719
HINDALCO,EQ,31-Mar-14,130.9,132,142.95,131.05,141,141.75,137.91,27873616,3844044265,198292
HINDALCO,EQ,01-Apr-14,141.75,142,142.5,136.1,137.9,138.2,138.2,12584698,1739235829,77906
HINDALCO,EQ,02-Apr-14,138.2,139,139.55,134.6,135.9,136,136.11,10111996,1376377769,146971
HINDALCO,EQ,03-Apr-14,136,136,140.9,133.3,137.2,137.15,136.79,10256995,1403075663,67889
HINDALCO,EQ,04-Apr-14,137.15,137.9,139.4,136.1,137.5,137.65,137.77,5444146,750063110.8,35544
HINDALCO,EQ,07-Apr-14,137.65,137.5,138.95,134.2,137.6,137.35,136.54,4661247,636454009.6,30222
HINDALCO,EQ,09-Apr-14,137.35,138,143.95,137.8,142.85,142.9,142.44,9943888,1416398509,93918
HINDALCO,EQ,10-Apr-14,142.9,143.5,145.1,140.6,141.3,142.5,142.81,8923225,1274289875,54246
HINDALCO,EQ,11-Apr-14,142.5,141.1,143.25,139.2,140.15,140.7,141.23,5404598,763273512,32364
HINDALCO,EQ,15-Apr-14,140.7,140.7,142.1,133.2,133.3,134.05,136.24,5422799,738812062.5,36153
HINDALCO,EQ,16-Apr-14,134.05,133.3,137.85,131.6,135.9,135.45,135.06,8006291,1081303164,48677
HINDALCO,EQ,17-Apr-14,135.45,135.75,142,135,141.5,141.45,138.51,8629888,1195303662,52739
HINDALCO,EQ,21-Apr-14,141.45,141.8,144.5,141.5,143.55,143.5,143.51,4436455,636684920.6,23823
HINDALCO,EQ,22-Apr-14,143.5,142,147.2,140.3,144.45,144.85,143.76,6223989,894729980.1,44391
HINDALCO,EQ,23-Apr-14,144.85,145,146,142.8,144.65,145.15,144.58,5031335,727451733.3,28883
HINDALCO,EQ,25-Apr-14,145.15,143.3,146.9,142.2,143.5,143.75,144.37,4116077,594231403.1,34608
HINDALCO,EQ,28-Apr-14,143.75,143,145.3,140.8,141.25,141.25,142.42,4118525,586564965.4,28789
HINDALCO,EQ,29-Apr-14,141.25,141,143,136.3,137.4,137.2,138.74,4775590,662552353,30631
HINDALCO,EQ,30-Apr-14,137.2,136.65,138.85,132.05,135.95,134.3,134.98,7609347,1027146035,37451
HINDALCO,EQ,02-May-14,134.3,135.2,136,130.25,131.65,131.65,131.95,5364611,707876884.1,32464
HINDALCO,EQ,05-May-14,131.65,130,141,129.85,138.4,138.9,137.23,9715098,1333158455,49159
HINDALCO,EQ,06-May-14,138.9,139.4,140.65,135.8,138.6,138.7,137.76,4170017,574454189.9,25281
HINDALCO,EQ,07-May-14,138.7,138.35,138.65,134.3,135.15,135.2,136.53,3592081,490420055.4,23816
HINDALCO,EQ,08-May-14,135.2,136.25,139.1,135,137.1,136.75,137.09,4178306,572793834.3,29019
HINDALCO,EQ,09-May-14,136.75,136.5,144.7,136.5,144.15,144.1,141.78,7371362,1045129593,42945
HINDALCO,EQ,12-May-14,144.1,143.5,144.8,140.55,142.65,143.4,142.96,8081158,1155270533,47405
HINDALCO,EQ,13-May-14,143.4,144,149.8,141.2,141.8,142.2,145.06,16612600,2409876183,71978
HINDALCO,EQ,14-May-14,142.2,142.2,145.8,140.4,141.35,141.2,143.01,12157631,1738713964,51258
HINDALCO,EQ,15-May-14,141.2,142,143.45,137.1,137.8,138.5,140.25,6154288,863167824.7,37733
HINDALCO,EQ,16-May-14,138.5,141.9,145.95,139.1,140.9,141.2,142.97,13107049,1873866450,67039
HINDALCO,EQ,19-May-14,141.2,142.6,152.95,142,151.55,152.05,148.89,13751989,2047567916,85258
