Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
HINDPETRO,EQ,01-Jan-14,237.3,237.95,242.65,236.5,239.95,239.55,239.84,646576,155075000.5,10218
HINDPETRO,EQ,02-Jan-14,239.55,242.7,242.9,231.4,232.35,232.4,237.36,1325105,314528097.5,26496
HINDPETRO,EQ,03-Jan-14,232.4,231.4,234,225.5,227.5,227.05,229.64,793583,182240978.6,16926
HINDPETRO,EQ,06-Jan-14,227.05,230.7,232.45,224.35,224.85,225.55,227.55,1057591,240656871.8,10049
HINDPETRO,EQ,07-Jan-14,225.55,224.35,226.7,220.25,220.8,221.65,223.31,1085563,242420838.6,14784
HINDPETRO,EQ,08-Jan-14,221.65,220.5,223.65,216,216.2,217.15,219.4,736303,161545159.1,10074
HINDPETRO,EQ,09-Jan-14,217.15,216.2,222.4,214.5,219.9,220.25,219.75,1112444,244459238.5,13896
HINDPETRO,EQ,10-Jan-14,220.25,220.95,224.3,218.2,221,220.7,222.2,639327,142059310.7,8965
HINDPETRO,EQ,13-Jan-14,220.7,221.15,223.45,217.7,220,220.45,220.3,652360,143715824.7,6347
HINDPETRO,EQ,14-Jan-14,220.45,219.6,222.75,218,218.7,218.55,220.27,279242,61507742.7,6226
HINDPETRO,EQ,15-Jan-14,218.55,218,223.9,218,223,222.15,221.88,650403,144308808.6,8526
HINDPETRO,EQ,16-Jan-14,222.15,222.4,227.7,221,227.2,226.05,224.69,653691,146876882,6542
HINDPETRO,EQ,17-Jan-14,226.05,227,237.95,227,236.6,236.8,234.04,1667021,390144400.5,26096
HINDPETRO,EQ,20-Jan-14,236.8,235.5,235.85,230.25,234.1,233.7,232.58,690129,160513180.2,14077
HINDPETRO,EQ,21-Jan-14,233.7,234,235.8,227.25,233,233.7,232.08,959446,222667910.1,8389
HINDPETRO,EQ,22-Jan-14,233.7,233.5,239.3,231,238.9,237.85,235.13,477026,112164819.4,7767
HINDPETRO,EQ,23-Jan-14,237.85,237.55,238.75,234,235.85,235.5,236.24,714892,168885894.2,10470
HINDPETRO,EQ,24-Jan-14,235.5,234.05,239.3,231.05,233,232.25,234.47,665312,155995246.2,12009
HINDPETRO,EQ,27-Jan-14,232.25,230.05,230.95,226.25,227,228.05,229.01,508894,116541993,7801
HINDPETRO,EQ,28-Jan-14,228.05,227.55,231.7,225.6,226.7,227,228.26,804542,183643670.8,12574
HINDPETRO,EQ,29-Jan-14,227,228,245.65,226.45,240.55,240.35,237.24,2191821,519986146.2,34481
HINDPETRO,EQ,30-Jan-14,240.35,239,239.9,231.7,233.7,232.85,235.81,1248802,294474781.2,17153
HINDPETRO,EQ,31-Jan-14,232.85,233.45,245.6,233,245,244.25,240.65,1272099,306124499.2,18793
HINDPETRO,EQ,03-Feb-14,244.25,244.25,245.5,236.8,243,244.4,242.64,1299235,315248088,14409
HINDPETRO,EQ,04-Feb-14,244.4,241.05,243.15,238.25,239.85,240.15,240.33,843301,202672507.9,10202
HINDPETRO,EQ,05-Feb-14,240.15,240.95,241.9,236.1,239.2,239.95,239.85,954479,228933901.4,10358
HINDPETRO,EQ,06-Feb-14,239.95,240,244.9,239,242.95,242.7,241.96,832196,201360787.9,13333
HINDPETRO,EQ,07-Feb-14,242.7,244.1,244.95,240.2,240.4,241.3,242.06,442805,107187301.7,8211
HINDPETRO,EQ,10-Feb-14,241.3,241.95,243.7,239.55,242.4,242.3,241.99,295862,71596628.2,5752
HINDPETRO,EQ,11-Feb-14,242.3,243.2,251.2,240.45,249.5,249.7,247.86,1060099,262756702.2,15497
HINDPETRO,EQ,12-Feb-14,249.7,249.7,249.7,241.35,245.75,245.8,245.78,923514,226980379.5,11080
HINDPETRO,EQ,13-Feb-14,245.8,246.1,246.4,234.05,234.3,234.9,239,570620,136377096.7,11592
HINDPETRO,EQ,14-Feb-14,234.9,235.95,237.75,232.2,236.35,236.35,234.53,412741,96802057.4,5422
HINDPETRO,EQ,17-Feb-14,236.35,237.45,240.45,232,237.75,238.15,236.3,287456,67924520.15,5205
HINDPETRO,EQ,18-Feb-14,238.15,237.8,241.25,237.05,239.3,240.1,239.76,574087,137645813,7890
HINDPETRO,EQ,19-Feb-14,240.1,239.85,240.85,235.8,240.05,239.8,238.61,357178,85225496.4,6381
HINDPETRO,EQ,20-Feb-14,239.8,238.55,243.45,236.3,242.25,242.2,240.79,535218,128875200.8,7981
HINDPETRO,EQ,21-Feb-14,242.2,242.2,254.5,239.9,252.65,253.45,249.93,1258347,314498387.1,24056
HINDPETRO,EQ,24-Feb-14,253.45,254,257.85,249.7,252.35,252.3,252.34,861470,217381738.3,15452
HINDPETRO,EQ,25-Feb-14,252.3,253,258.95,252.15,255.5,256.2,256.14,819880,210003756,14373
HINDPETRO,EQ,26-Feb-14,256.2,252,265.4,252,263,262.7,261.06,1759267,459270211.1,31527
HINDPETRO,EQ,28-Feb-14,262.7,265.5,265.9,258.05,264.15,264.75,263.37,1257764,331255258.5,19200
HINDPETRO,EQ,03-Mar-14,264.75,264.25,271.15,260.6,268.95,270.05,267.74,1743957,466928897.5,27822
HINDPETRO,EQ,04-Mar-14,270.05,268.9,274,265.2,271.3,271.55,269.91,812280,219241849.8,16201
HINDPETRO,EQ,05-Mar-14,271.55,273,277.45,269.65,274.75,274.85,274.4,1037336,284646183.8,20640
HINDPETRO,EQ,06-Mar-14,274.85,276.5,285.85,275,285.2,283.45,280.43,1497031,419816482.5,21431
HINDPETRO,EQ,07-Mar-14,283.45,285.7,292,284.2,290.95,290.45,288.75,1457113,420741713.6,24372
HINDPETRO,EQ,10-Mar-14,290.45,288,291.55,283.5,290,288.9,288.33,2370340,683444845.9,39559
HINDPETRO,EQ,11-Mar-14,288.9,287.05,292.9,282.55,285.75,286.75,287.89,1897840,546377716.6,20821
