Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
HINDUNILVR,EQ,01-Jan-14,570.65,570.65,574.4,569.3,572.75,572.35,571.86,251204,143654492.9,5393
HINDUNILVR,EQ,02-Jan-14,572.35,571,575.75,558.6,563.5,562.4,566.94,531660,301418157.6,14035
HINDUNILVR,EQ,03-Jan-14,562.4,560,567.4,558.05,565,565,563.2,1018173,573430423.8,16911
HINDUNILVR,EQ,06-Jan-14,565,567,567.8,560.2,563.95,563.5,562.8,603727,339778030.2,9750
HINDUNILVR,EQ,07-Jan-14,563.5,563,565.9,556,557.05,558.95,559.66,605461,338850930.1,12854
HINDUNILVR,EQ,08-Jan-14,558.95,558,562.15,557,558.25,559.15,559.41,564149,315590541.7,19903
HINDUNILVR,EQ,09-Jan-14,559.15,560,560,553.8,554.7,554.15,555.32,854783,474677684.6,30473
HINDUNILVR,EQ,10-Jan-14,554.15,555.35,556.95,548.4,548.95,549.8,552.47,985783,544614425.7,35986
HINDUNILVR,EQ,13-Jan-14,549.8,550,552,543.5,546,545.7,545.76,1488598,812415679.5,32845
HINDUNILVR,EQ,14-Jan-14,545.7,545.1,548.9,537.2,537.3,538.4,541.18,925057,500626406.6,30141
HINDUNILVR,EQ,15-Jan-14,538.4,538.5,546.2,538.1,545.55,545.2,543.8,2060042,1120260623,44449
HINDUNILVR,EQ,16-Jan-14,545.2,545,552.65,544.25,552,552.1,549.17,1221864,671015406.4,22198
HINDUNILVR,EQ,17-Jan-14,552.1,553,563,552.5,559.5,558.9,558.98,1475015,824498773.6,26845
HINDUNILVR,EQ,20-Jan-14,558.9,559.9,562.3,548.3,556,555.1,555.06,1549558,860103703.9,32804
HINDUNILVR,EQ,21-Jan-14,555.1,555.8,561,548.8,560,559.8,556.23,1927455,1072114622,24725
HINDUNILVR,EQ,22-Jan-14,559.8,561.95,567.85,552.9,565.4,566.45,560.22,1892894,1060430649,46708
HINDUNILVR,EQ,23-Jan-14,566.45,567,570,560.15,567.5,567.1,565.75,856175,484384983,29030
HINDUNILVR,EQ,24-Jan-14,567.1,563,568.85,556.6,568,565.8,563.73,2366263,1333928890,29804
HINDUNILVR,EQ,27-Jan-14,565.8,563.4,584.9,555.1,580.15,575.25,569.11,3220246,1832683277,54033
HINDUNILVR,EQ,28-Jan-14,575.25,581,581.65,554.5,570,569.7,565.32,4204432,2376859642,50166
HINDUNILVR,EQ,29-Jan-14,569.7,569,574.8,563.55,570,569.6,569.58,1073771,611599274.4,20756
HINDUNILVR,EQ,30-Jan-14,569.6,563.55,572.8,559.7,570.05,570.4,567.73,1287033,730689308,20677
HINDUNILVR,EQ,31-Jan-14,570.4,569,573.8,565,570,570.1,569.71,1059275,603481424,16248
HINDUNILVR,EQ,03-Feb-14,570.1,569.1,574.25,564.8,569,569.75,570.04,747170,425919217.4,8935
HINDUNILVR,EQ,04-Feb-14,569.75,568.1,573.2,565.3,571,570.25,569.96,1891501,1078084498,23289
HINDUNILVR,EQ,05-Feb-14,570.25,570.05,571.2,561.6,570.5,570,568.97,2423902,1379134218,25656
HINDUNILVR,EQ,06-Feb-14,570,570,588.2,568.3,587,586.55,582.3,1720369,1001768800,39767
HINDUNILVR,EQ,07-Feb-14,586.55,587.4,589.65,574.95,577,577.65,582.06,927008,539578420.8,35607
HINDUNILVR,EQ,10-Feb-14,577.65,575.65,579.75,562.65,563.65,564,566.33,1255220,710865540.9,50038
HINDUNILVR,EQ,11-Feb-14,564,565,569.35,561.8,563.2,562.45,564.66,1580976,892721351.5,24499
HINDUNILVR,EQ,12-Feb-14,562.45,564.85,570.35,563.4,569.75,569.45,566.86,1646508,933337301,25677
HINDUNILVR,EQ,13-Feb-14,569.45,572,572,555.55,555.9,557.25,562.18,486480,273491402,29370
HINDUNILVR,EQ,14-Feb-14,557.25,557,563.45,553.3,561.95,560.25,558.68,749383,418666936.2,31235
HINDUNILVR,EQ,17-Feb-14,560.25,558,566,558,559.7,560.25,562.26,380480,213929716.2,11809
HINDUNILVR,EQ,18-Feb-14,560.25,560,566,559.95,560.3,562.25,563.09,237065,133488910.9,6217
HINDUNILVR,EQ,19-Feb-14,562.25,562.5,562.85,557.15,558.4,558.7,559.01,456096,254964308.6,14112
HINDUNILVR,EQ,20-Feb-14,558.7,558.1,558.9,553.1,555,554.05,555.69,651988,362303087.5,16105
HINDUNILVR,EQ,21-Feb-14,554.05,557.4,557.4,551.85,555,555.35,554.42,669715,371303576,22392
HINDUNILVR,EQ,24-Feb-14,555.35,555.25,557.7,553.2,554.4,554.9,555.44,540669,300307764.1,13062
HINDUNILVR,EQ,25-Feb-14,554.9,555.5,556.9,553,554.9,554.45,554.88,541460,300445915,23350
HINDUNILVR,EQ,26-Feb-14,554.45,554,559.5,553.2,554.95,554.75,555.91,1012749,562996669.5,18151
HINDUNILVR,EQ,28-Feb-14,554.75,554,556,542.35,549.3,549.25,548.22,1797780,985575180.7,38533
HINDUNILVR,EQ,03-Mar-14,549.25,550,550.95,542,543.05,543.2,545.49,608894,332148493.4,20164
HINDUNILVR,EQ,04-Mar-14,543.2,544,556,544,554.7,554.9,552.47,734703,405901400.8,13840
HINDUNILVR,EQ,05-Mar-14,554.9,555.6,559,549.75,552,551.2,554.2,621406,344382669.1,20858
HINDUNILVR,EQ,06-Mar-14,551.2,552.6,554.55,547.4,549,549.05,549.32,1020063,560338656.7,24323
HINDUNILVR,EQ,07-Mar-14,549.05,550.5,554.45,547.2,550.5,550.4,550.26,1001114,550871431.1,23731
HINDUNILVR,EQ,10-Mar-14,550.4,552,559.8,548.75,556.45,557.2,556.16,1663986,925446629.5,29097
HINDUNILVR,EQ,11-Mar-14,557.2,558.8,564.9,552.65,563.75,560.35,558.34,1920661,1072376403,48240
HINDUNILVR,EQ,12-Mar-14,560.35,564,565.6,558,559.8,560.25,562.48,971639,546526691.4,25831
HINDUNILVR,EQ,13-Mar-14,560.25,561,567.2,559.25,562.05,561.85,563.2,1055369,594379119.5,21922
HINDUNILVR,EQ,14-Mar-14,561.85,561.85,562,551.55,554.5,553.65,554.76,1243425,689797004,21019
HINDUNILVR,EQ,18-Mar-14,553.65,554,560,550.6,557.15,556.05,553.94,1464949,811489906.1,25360
HINDUNILVR,EQ,19-Mar-14,556.05,558.1,562.1,554.65,561.55,561.6,558.86,1164209,650633128.1,19442
HINDUNILVR,EQ,20-Mar-14,561.6,561.6,574.3,561.55,573,572.55,570.74,1434348,818633927,39740
HINDUNILVR,EQ,21-Mar-14,572.55,577.7,580.7,570.1,571.25,571.7,574.65,2669144,1533832439,40890
HINDUNILVR,EQ,22-Mar-14,571.7,572.9,574.65,571.95,574,573.9,573.84,46981,26959586.05,1150
HINDUNILVR,EQ,24-Mar-14,573.9,575,584,574.15,580.9,582.35,581.03,944114,548560772.3,40704
HINDUNILVR,EQ,25-Mar-14,582.35,583,594.4,577.5,593,592.75,588.89,1319832,777236548.7,27792
HINDUNILVR,EQ,26-Mar-14,592.75,593,599.4,588.35,590.5,591.55,593.03,1208051,716406401.1,31816
HINDUNILVR,EQ,27-Mar-14,591.55,592,603,590.05,599.45,599.8,599.59,2475382,1484212709,30224
HINDUNILVR,EQ,28-Mar-14,599.8,600.1,604,590.3,602,599.8,596.86,949077,566464105,26869
HINDUNILVR,EQ,31-Mar-14,599.8,600,608.85,595,605.6,605.55,603.36,1090563,658001396.8,31074
HINDUNILVR,EQ,01-Apr-14,605.55,605,607.95,595.35,601,601.75,600.09,716986,430257199.8,23091
HINDUNILVR,EQ,02-Apr-14,601.75,604,605.9,588,596.7,594.6,595.12,2765610,1645879870,42036
HINDUNILVR,EQ,03-Apr-14,594.6,590.35,612,590.35,610,606.3,601.25,736770,442981613,21046
HINDUNILVR,EQ,04-Apr-14,606.3,611,613.5,602.5,603.8,605.3,607.17,877772,532956165.8,23620
HINDUNILVR,EQ,07-Apr-14,605.3,605.3,609.05,596.05,607.5,604.8,600.7,1601644,962114317.4,28838
HINDUNILVR,EQ,09-Apr-14,604.8,604,611.5,599.55,609,609.1,606.65,774135,469631431.2,23042
HINDUNILVR,EQ,10-Apr-14,609.1,607.9,619.8,604.45,618.9,617.9,614.47,1164071,715282329.5,34057
HINDUNILVR,EQ,11-Apr-14,617.9,613,619.5,606.25,608.85,609.4,610.97,713696,436049705.9,20845
HINDUNILVR,EQ,15-Apr-14,609.4,609,614.7,594.15,614.7,612.15,605,938013,567495426.3,35888
HINDUNILVR,EQ,16-Apr-14,612.15,610,619.2,606,606.3,607.55,611.4,1340297,819454589.2,42576
HINDUNILVR,EQ,17-Apr-14,607.55,607.15,613.85,601.55,608.95,609.45,609.46,1052882,641690825.6,36395
HINDUNILVR,EQ,21-Apr-14,609.45,606.35,610.9,596.5,597,599.1,600.86,1190995,715626747.9,28291
HINDUNILVR,EQ,22-Apr-14,599.1,599,604,593.55,595.2,596.45,596.65,871928,520231884.3,25819
HINDUNILVR,EQ,23-Apr-14,596.45,596.45,599.1,593,594.2,595.5,595.53,1408755,838950401.1,26398
HINDUNILVR,EQ,25-Apr-14,595.5,592.35,598.95,577.6,578.95,580.9,585.16,973004,569365165.6,17221
HINDUNILVR,EQ,28-Apr-14,580.9,580.9,592,567.5,580,581,578.58,2948014,1705670966,51113
HINDUNILVR,EQ,29-Apr-14,581,581,582.1,560.6,561.5,562.45,567.25,1464745,830879929.5,63251
HINDUNILVR,EQ,30-Apr-14,562.45,560.3,572.15,556,569.8,567.5,564.19,1680382,948050731.3,32588
HINDUNILVR,EQ,02-May-14,567.5,569.75,575.6,561.2,562.15,562.15,566.34,665237,376753198.9,18775
HINDUNILVR,EQ,05-May-14,562.15,560.35,562.35,556.5,557,557.15,558.85,683052,381720295.7,22080
HINDUNILVR,EQ,06-May-14,557.15,559,561.8,552.8,553,553.7,555.64,550299,305769907.1,13731
HINDUNILVR,EQ,07-May-14,553.7,553,558.45,551.45,553.5,553.15,554.69,1299628,720888639.6,17007
