Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
IBULHSGFIN,EQ,01-Jan-14,238.45,239,243,237.8,239.1,239.7,240.37,88996,21391877.05,2187
IBULHSGFIN,EQ,02-Jan-14,239.7,238.5,244.9,234,236,235.1,238.13,654062,155751913.4,7484
IBULHSGFIN,EQ,03-Jan-14,235.1,233,241.45,228.05,239.8,239.3,235.37,259601,61101363.4,3682
IBULHSGFIN,EQ,06-Jan-14,239.3,239,242,236.25,238.4,238.3,238.45,107098,25537766.8,2590
IBULHSGFIN,EQ,07-Jan-14,238.3,238.9,241.65,235.9,239,238.2,237.55,198812,47227420.45,3736
IBULHSGFIN,EQ,08-Jan-14,238.2,239.7,254,236.8,245,245.25,246.63,592579,146147350.9,14042
IBULHSGFIN,EQ,09-Jan-14,245.25,246,250,239.95,243,244.45,244.97,173164,42419350.55,5316
IBULHSGFIN,EQ,10-Jan-14,244.45,245,247.4,237.55,239.25,240.25,243.05,163444,39725809.55,6762
IBULHSGFIN,EQ,13-Jan-14,240.25,240.55,244.2,234.1,235.5,235.7,239.12,119196,28502055.45,6188
IBULHSGFIN,EQ,14-Jan-14,235.7,234.5,238.95,230.05,232.75,231.75,233.87,246820,57724278.5,6126
IBULHSGFIN,EQ,15-Jan-14,231.75,233.7,233.7,226.55,227.5,228.35,228.96,298766,68406556.85,11113
IBULHSGFIN,EQ,16-Jan-14,228.35,227.55,231.7,226,226.05,226.55,227.54,361045,82151707.3,11748
IBULHSGFIN,EQ,17-Jan-14,226.55,227.25,228.95,220.6,223.25,223.85,223.63,257728,57636010.35,9332
IBULHSGFIN,EQ,20-Jan-14,223.85,224.85,231.7,223,228.1,228.7,228.53,226925,51858857.85,7397
IBULHSGFIN,EQ,21-Jan-14,228.7,229.8,241.45,229.05,235.9,234.3,233.91,308172,72083559.5,5941
IBULHSGFIN,EQ,22-Jan-14,234.3,235.35,242.5,232.45,237,236.85,238.18,615258,146544347.6,11387
IBULHSGFIN,EQ,23-Jan-14,236.85,238,238.2,228.75,231,231.3,232.36,278004,64595716.9,5804
IBULHSGFIN,EQ,24-Jan-14,231.3,231,231,222.1,224.95,225.7,225.5,359482,81063758.5,13813
IBULHSGFIN,EQ,27-Jan-14,225.7,221.4,222.8,211,218,216.25,214.76,663106,142407251.7,17913
IBULHSGFIN,EQ,28-Jan-14,216.25,215.6,227,215.6,220.65,221.85,222.29,224509,49906630.45,5542
IBULHSGFIN,EQ,29-Jan-14,221.85,222.05,224.95,220.5,221,221.25,222.4,142875,31775840.3,4306
IBULHSGFIN,EQ,30-Jan-14,221.25,212.05,214.25,203,206.35,205.8,208.4,328047,68364291,7050
IBULHSGFIN,EQ,31-Jan-14,205.8,205.1,208.7,204.2,206.15,206.3,206.58,409172,84527165.8,6004
IBULHSGFIN,EQ,03-Feb-14,206.3,205.7,206.7,200.05,201.95,202,202.51,347672,70408621.75,3762
IBULHSGFIN,EQ,04-Feb-14,202,199.65,203.5,197.3,200.5,200.5,199.97,345354,69061113.75,3684
IBULHSGFIN,EQ,05-Feb-14,200.5,200.5,203.95,199,200.3,200.7,201.24,148053,29793910.25,5589
IBULHSGFIN,EQ,06-Feb-14,200.7,201,205,200,200.7,200.55,202.09,179929,36362581,4788
IBULHSGFIN,EQ,07-Feb-14,200.55,203.7,205.8,200,204.9,203.25,200.91,1042917,209531077.8,8592
IBULHSGFIN,EQ,10-Feb-14,203.25,204,207.25,198,198.5,199.85,202.63,165714,33578248.8,4013
IBULHSGFIN,EQ,11-Feb-14,199.85,201.35,202.25,195.5,196.5,197,199.29,232763,46386585.55,5552
IBULHSGFIN,EQ,12-Feb-14,197,196.1,200.5,196.1,196.5,196.25,197.64,202301,39983582.65,2883
IBULHSGFIN,EQ,13-Feb-14,196.25,197.4,198.35,190.2,191.85,192.1,192.73,344971,66487918.95,5043
IBULHSGFIN,EQ,14-Feb-14,192.1,192.9,194.35,189,191.25,190.9,192.42,287891,55394993.8,3007
IBULHSGFIN,EQ,17-Feb-14,190.9,191.85,194,187.05,193,192.2,190.96,84483,16132962.9,3255
IBULHSGFIN,EQ,18-Feb-14,192.2,192.85,194.95,187.5,191.05,191.95,191.44,375046,71798862.2,7737
IBULHSGFIN,EQ,19-Feb-14,191.95,191.95,193.35,190.1,190.5,190.85,191.43,419333,80271692.2,3247
IBULHSGFIN,EQ,20-Feb-14,190.85,189.75,192,188,189.9,190.05,190.79,445039,84910645.4,3262
IBULHSGFIN,EQ,21-Feb-14,190.05,190.05,195.45,190,192.05,191.9,192.27,734541,141228986.8,8416
IBULHSGFIN,EQ,24-Feb-14,191.9,193,193,188,188.15,188.95,191.07,519403,99243499.2,6529
IBULHSGFIN,EQ,25-Feb-14,188.95,189.75,199,189.75,197,196.85,193.08,2870187,554188955.3,16298
IBULHSGFIN,EQ,26-Feb-14,196.85,195.3,201,193.2,195,195.75,196.05,463850,90936879.75,9354
IBULHSGFIN,EQ,28-Feb-14,195.75,195.75,195.75,189,191.5,191.55,192.39,500610,96312560.4,13131
IBULHSGFIN,EQ,03-Mar-14,191.55,191.4,193.95,188.8,188.85,189.4,191.56,160064,30661955.1,4454
IBULHSGFIN,EQ,04-Mar-14,189.4,189.8,193.2,189.35,192.25,192.2,191.75,170836,32758079.25,4468
IBULHSGFIN,EQ,05-Mar-14,192.2,193.5,196.45,191.25,193,193.3,193.64,312644,60539857.55,4499
IBULHSGFIN,EQ,06-Mar-14,193.3,193.25,204.8,191.5,204,202.95,198.9,1026030,204081874.8,17796
IBULHSGFIN,EQ,07-Mar-14,202.95,204,212,202.1,205.95,206.9,206.4,739283,152586211.3,18867
IBULHSGFIN,EQ,10-Mar-14,206.9,205,206.2,192.65,202,202.8,198.98,748394,148918711.1,14986
IBULHSGFIN,EQ,11-Mar-14,202.8,201.5,206.75,198.65,199.8,199.8,203.15,463775,94218000.95,7991
IBULHSGFIN,EQ,12-Mar-14,199.8,199,205.9,197.55,202.5,201.65,201.06,409095,82251098.1,10908
IBULHSGFIN,EQ,13-Mar-14,201.65,201.2,226.3,199.95,214.95,214.8,216.49,1537706,332897809.5,26751
IBULHSGFIN,EQ,14-Mar-14,214.8,213.1,216.6,206.7,214.95,213.1,212.12,598226,126895737,15247
IBULHSGFIN,EQ,18-Mar-14,213.1,214.7,220.25,213.6,219.95,219.65,218.38,427471,93349989.35,10222
IBULHSGFIN,EQ,19-Mar-14,219.65,220.15,223.95,218.5,222.4,221.45,221.96,378433,83997888.85,13716
IBULHSGFIN,EQ,20-Mar-14,221.45,220.45,223,215.1,218.35,216.15,219.71,1054899,231767168.3,9337
IBULHSGFIN,EQ,21-Mar-14,216.15,219,223.9,216.1,218.65,218.85,219.96,953851,209806966.7,22259
IBULHSGFIN,EQ,22-Mar-14,218.85,219.8,221.35,217.75,218,218.3,218.64,13150,2875171.5,312
IBULHSGFIN,EQ,24-Mar-14,218.3,219.75,221,216,217.6,218.4,218.55,124918,27301037.45,2956
IBULHSGFIN,EQ,25-Mar-14,218.4,217.7,218.9,210.55,213,211.15,213.3,448734,95714549.35,3943
IBULHSGFIN,EQ,26-Mar-14,211.15,213,224.7,199.95,220.3,220.65,210.73,1638739,345331996.4,16373
IBULHSGFIN,EQ,27-Mar-14,220.65,222.75,236.25,221,236.25,234.05,229.68,759041,174338436,12015
IBULHSGFIN,EQ,28-Mar-14,234.05,233,238.7,227.8,230,229.95,231.42,280753,64970744.35,6822
IBULHSGFIN,EQ,31-Mar-14,229.95,234,240,230.1,235,237.55,235.54,519178,122285773.9,5352
IBULHSGFIN,EQ,01-Apr-14,237.55,240,243.05,235,239,238.65,239.3,1145570,274133546.5,8475
IBULHSGFIN,EQ,02-Apr-14,238.65,240.1,241.5,232.25,241,239.3,236.91,225360,53389974.5,5855
IBULHSGFIN,EQ,03-Apr-14,239.3,239,239.7,230.2,236.5,236.3,235.52,295119,69505921.15,10125
IBULHSGFIN,EQ,04-Apr-14,236.3,236.5,247,232.3,245,244.15,242.36,397556,96353545.85,7166
IBULHSGFIN,EQ,07-Apr-14,244.15,246.2,252.5,243.5,246.1,246.6,248.28,309869,76935744.75,4849
IBULHSGFIN,EQ,09-Apr-14,246.6,246.2,251.15,246,249.35,250.1,249.56,271289,67702311.35,3120
IBULHSGFIN,EQ,10-Apr-14,250.1,251,280.2,251,280.2,273.4,267.84,1109100,297060893.3,16866
IBULHSGFIN,EQ,11-Apr-14,273.4,276.95,289.3,271.15,278.05,277.6,280.18,1111724,311484995.7,15263
IBULHSGFIN,EQ,15-Apr-14,277.6,278.05,288.7,274.1,286,286.15,280.8,3125603,877676818.5,18921
IBULHSGFIN,EQ,16-Apr-14,286.15,287.9,289.7,280.5,285.45,284.6,284.1,715206,203193496,8166
IBULHSGFIN,EQ,17-Apr-14,284.6,285,287.5,281.2,283,285.6,285.52,596746,170383722.9,7022
IBULHSGFIN,EQ,21-Apr-14,285.6,285,292.3,276.8,277.65,279.15,286.77,583500,167330833.8,11360
IBULHSGFIN,EQ,22-Apr-14,279.15,279.95,288.25,279.65,286.3,285.55,285.35,236066,67360764.6,5974
IBULHSGFIN,EQ,23-Apr-14,285.55,286,293.7,256.1,273.05,276.35,275.2,2452454,674915834.5,34167
IBULHSGFIN,EQ,25-Apr-14,276.35,276.15,279.5,268.5,270.5,269.95,272.48,369386,100649817.5,7533
