Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
ICICIBANK,EQ,01-Jan-14,1098.75,1100.9,1106.05,1092,1101.85,1097.7,1097.71,564158,619279946.3,14769
ICICIBANK,EQ,02-Jan-14,1097.7,1096.15,1118,1070.1,1074,1075.6,1098.21,2058457,2260607890,55849
ICICIBANK,EQ,03-Jan-14,1075.6,1068,1075,1045,1070.05,1066.8,1058.62,2830455,2996388808,70780
ICICIBANK,EQ,06-Jan-14,1066.8,1066,1069,1035.05,1043,1040.8,1045.31,2691321,2813275549,61577
ICICIBANK,EQ,07-Jan-14,1040.8,1045.05,1059.2,1023.85,1050.6,1050,1041.69,3375730,3516452918,103736
ICICIBANK,EQ,08-Jan-14,1050,1054,1063.85,1043.3,1055.25,1054.3,1055.18,3446450,3636616504,101083
ICICIBANK,EQ,09-Jan-14,1054.3,1064.8,1065.6,1042.25,1050.35,1050.85,1050.58,3497943,3674860476,134481
ICICIBANK,EQ,10-Jan-14,1050.85,1047.35,1054.6,1018.65,1030,1024.5,1035.88,3970052,4112485317,81933
ICICIBANK,EQ,13-Jan-14,1024.5,1030.1,1061.1,1030.1,1060.3,1054.9,1048.54,3269439,3428128266,101014
ICICIBANK,EQ,14-Jan-14,1054.9,1052,1061,1033,1039,1036.45,1046.96,3078938,3223532622,78060
ICICIBANK,EQ,15-Jan-14,1036.45,1045,1068.8,1042.9,1060,1058.35,1058.28,3436176,3636436599,71621
ICICIBANK,EQ,16-Jan-14,1058.35,1066.5,1066.5,1049.05,1059.45,1058.9,1056.64,1633953,1726497589,52530
ICICIBANK,EQ,17-Jan-14,1058.9,1053.4,1061.9,1031.05,1034.5,1034.55,1044.39,1758587,1836650579,50502
ICICIBANK,EQ,20-Jan-14,1034.55,1034.5,1048,1028,1046.3,1044,1039.91,1930371,2007407874,38573
ICICIBANK,EQ,21-Jan-14,1044,1053,1080,1048.8,1079.65,1078.05,1068.73,2708689,2894863633,87255
ICICIBANK,EQ,22-Jan-14,1078.05,1080.2,1091,1069.2,1084,1087.95,1081.31,2325196,2514247847,75950
ICICIBANK,EQ,23-Jan-14,1087.95,1091,1091,1072.1,1076.1,1079.45,1079.69,1868031,2016902882,57203
ICICIBANK,EQ,24-Jan-14,1079.45,1064.1,1074,1052.6,1055.45,1058.2,1060.48,1869749,1982828457,72341
ICICIBANK,EQ,27-Jan-14,1058.2,1038.8,1039.25,1007.25,1011,1009.8,1017.26,5073528,5161098849,107929
ICICIBANK,EQ,28-Jan-14,1009.8,1010.7,1028.9,978.75,1023,1018.65,1005.73,4838691,4866410771,109824
ICICIBANK,EQ,29-Jan-14,1018.65,1031.8,1038.3,995.6,1002.2,1001.4,1021.18,4822350,4924478362,124329
ICICIBANK,EQ,30-Jan-14,1001.4,986.85,992.3,963.5,981,974.55,977.03,4990516,4875863915,95395
ICICIBANK,EQ,31-Jan-14,974.55,984.5,993.4,971.45,989.35,987.7,981.94,2633542,2585979416,78254
