Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
INDUSINDBK,EQ,01-Jan-14,420.7,422.6,424.6,421.35,424.4,423.35,422.81,436060,184371967,8153
INDUSINDBK,EQ,02-Jan-14,423.35,423.5,432.9,410.6,411.75,413.05,423.52,1488105,630235690.2,27168
INDUSINDBK,EQ,03-Jan-14,413.05,413,415.5,406.6,414.4,413.9,411,1744494,716981439.9,41944
INDUSINDBK,EQ,06-Jan-14,413.9,414.15,415,409.1,412.6,413.3,412.05,1053536,434106568.3,25825
INDUSINDBK,EQ,07-Jan-14,413.3,418,421.5,411,419.9,418.85,416.55,1751684,729671237.8,39722
INDUSINDBK,EQ,08-Jan-14,418.85,423.5,426.5,420.3,421.95,421.9,423.45,1438845,609274925.7,23693
INDUSINDBK,EQ,09-Jan-14,421.9,423.3,423.35,411.95,417.4,416.8,416.64,1444817,601966392.9,27935
INDUSINDBK,EQ,10-Jan-14,416.8,421.95,428.5,402.4,403.6,405.9,416.14,6439413,2679718155,95905
INDUSINDBK,EQ,13-Jan-14,405.9,406,415.5,401.45,414.15,413.1,408.18,2578191,1052356684,46388
INDUSINDBK,EQ,14-Jan-14,413.1,411,420.95,410.9,420,418.85,416.55,1651642,687986598.5,31829
INDUSINDBK,EQ,15-Jan-14,418.85,420.1,425.9,419,424,424.95,422.49,1604906,678062924.1,53276
INDUSINDBK,EQ,16-Jan-14,424.95,425.6,429.65,424.4,428.55,428.7,427.19,1392236,594745412.9,35599
INDUSINDBK,EQ,17-Jan-14,428.7,428.7,429.5,421,423.4,423.35,424.87,1164331,494691352.3,47292
INDUSINDBK,EQ,20-Jan-14,423.35,422.9,437,420.55,435,433.6,429.29,1078601,463035312.4,32017
INDUSINDBK,EQ,21-Jan-14,433.6,436.2,440,430.6,434.75,433.8,436.48,1291285,563625121.8,23842
INDUSINDBK,EQ,22-Jan-14,433.8,431.65,438,430.9,433.1,434.25,435.11,908648,395361249,13520
INDUSINDBK,EQ,23-Jan-14,434.25,432,435.45,427.55,430.35,429.7,430.19,1049336,451418334.7,12842
INDUSINDBK,EQ,24-Jan-14,429.7,425.5,431.5,414.05,415,414.75,420.28,2127724,894249346.1,91163
INDUSINDBK,EQ,27-Jan-14,414.75,405.3,410.1,392.6,396.35,395.3,397.01,3637896,1444290539,97590
INDUSINDBK,EQ,28-Jan-14,395.3,397.5,400.35,377.6,389.85,389.85,390.01,3241962,1264411144,73574
