Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
INFRATEL,EQ,01-Jan-14,168.55,169.5,170,167.75,167.95,168.15,168.47,13233,2229397.7,600
INFRATEL,EQ,02-Jan-14,168.15,166.6,172.3,166.6,170.25,171.5,170.93,98992,16921127.35,3989
INFRATEL,EQ,03-Jan-14,171.5,172,175.95,170,173.2,174.8,174.66,483177,84389827.3,12724
INFRATEL,EQ,06-Jan-14,174.8,175,178.7,170.25,177.4,176.05,176.29,1127035,198680501,21091
INFRATEL,EQ,07-Jan-14,176.05,176.2,180,173.85,175.45,174.8,176.92,81502,14419167.2,5604
INFRATEL,EQ,08-Jan-14,174.8,174.95,177.95,173.2,177.4,176.95,176.81,58616,10364012.2,5592
INFRATEL,EQ,09-Jan-14,176.95,175.1,178.15,175.1,177.05,177.2,177.13,52817,9355297.85,5428
INFRATEL,EQ,10-Jan-14,177.2,177.9,178.5,168.6,178,177.75,177.73,611082,108606382.9,7414
INFRATEL,EQ,13-Jan-14,177.75,176.05,178.5,175,176,176.4,176.52,22147,3909452.55,5183
INFRATEL,EQ,14-Jan-14,176.4,177.9,179.8,174,174.25,175.25,175.33,20377,3572662.7,1784
INFRATEL,EQ,15-Jan-14,175.25,172.7,176.9,172.7,175,174.9,175.14,2272058,397938459.1,11997
INFRATEL,EQ,16-Jan-14,174.9,176.55,176.55,170,170,172.8,174.15,618233,107666524.1,6892
INFRATEL,EQ,17-Jan-14,172.8,170.2,173.65,165.4,165.85,171.9,172.76,476833,82379077.65,12294
INFRATEL,EQ,20-Jan-14,171.9,166.25,170.45,166.05,167.5,167.6,167.58,62805,10524839.8,4034
INFRATEL,EQ,21-Jan-14,167.6,166.2,168,165.35,167,166.95,166.77,40312,6722952.85,1225
INFRATEL,EQ,22-Jan-14,166.95,165.25,169.5,164,164.15,165.4,166.98,14664,2448624.9,998
INFRATEL,EQ,23-Jan-14,165.4,161.6,171.45,161.6,168.5,168.05,167.19,2706015,452409748,13605
INFRATEL,EQ,24-Jan-14,168.05,170.9,175.2,169.1,172.8,174.1,172.83,1690454,292162360.5,23941
INFRATEL,EQ,27-Jan-14,174.1,175,175.1,166,168,167.75,168.22,736309,123863930.1,10090
INFRATEL,EQ,28-Jan-14,167.75,168,173.65,167.5,172,171.75,171.94,184255,31680592.25,9684
INFRATEL,EQ,29-Jan-14,171.75,175,177.55,172.75,173.55,174,174.68,415425,72565284.75,18023
INFRATEL,EQ,30-Jan-14,174,173,173.1,168.5,171.5,171.25,171.38,178340,30563419.95,5781
INFRATEL,EQ,31-Jan-14,171.25,171.95,173.1,170.5,171.75,171.95,171.94,173173,29774790.8,6994
INFRATEL,EQ,03-Feb-14,171.95,172,172,162.35,163.7,164.45,167.8,331524,55630307.05,14648
INFRATEL,EQ,04-Feb-14,164.45,165,168,163.7,165.95,165.25,165.98,115192,19119568.2,5965
INFRATEL,EQ,05-Feb-14,165.25,164.05,169.8,164.05,165.5,165.85,167.63,133255,22337213.6,8727
