Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
INFY,EQ,01-Jan-14,3485.65,3492,3499,3462.05,3465.4,3468,3473.69,184836,642063885.4,11876
INFY,EQ,02-Jan-14,3468,3463.25,3508,3463.25,3484.2,3480.55,3483.33,550593,1917898709,28599
INFY,EQ,03-Jan-14,3480.55,3475,3575,3454.25,3561.2,3565.15,3539.91,1255793,4445389364,74223
INFY,EQ,06-Jan-14,3565.15,3575.1,3580.5,3468.6,3510.9,3517.9,3520.33,1387291,4883727082,79022
INFY,EQ,07-Jan-14,3517.9,3519.05,3525.9,3446.7,3460,3457.15,3478.47,964211,3353983327,66664
INFY,EQ,08-Jan-14,3457.15,3461,3475,3421,3432.4,3428.1,3437.05,1123799,3862550701,94416
INFY,EQ,09-Jan-14,3428.1,3440,3482,3417.85,3448.3,3450.8,3453.73,1573851,5435659118,122460
INFY,EQ,10-Jan-14,3450.8,3490,3575,3448,3556,3551.25,3534.32,3782272,13367759100,190570
INFY,EQ,13-Jan-14,3551.25,3582,3675,3582,3664,3665,3660.54,2139989,7833521978,132647
INFY,EQ,14-Jan-14,3665,3645,3695,3640.45,3691.9,3686.75,3668.22,928229,3404948215,59808
INFY,EQ,15-Jan-14,3686.75,3695.3,3724.35,3681,3718,3712.05,3707.19,2141268,7938093291,130924
INFY,EQ,16-Jan-14,3712.05,3699,3737.45,3693.65,3721.95,3725.05,3721.34,2201029,8190777827,96512
INFY,EQ,17-Jan-14,3725.05,3729,3764.65,3720,3741,3729.75,3747.76,3208487,12024653127,95916
INFY,EQ,20-Jan-14,3729.75,3712,3759.95,3704.45,3755.5,3749.3,3733.07,1220243,4555251904,77103
INFY,EQ,21-Jan-14,3749.3,3750,3770,3718.35,3758,3758.35,3745.09,1512808,5665601042,51076
INFY,EQ,22-Jan-14,3758.35,3741.2,3778,3740.05,3770,3765.9,3763.46,846220,3184713955,81973
INFY,EQ,23-Jan-14,3765.9,3784.1,3799,3760.85,3796.5,3792.5,3780.22,988418,3736441660,90117
INFY,EQ,24-Jan-14,3792.5,3765,3796.95,3754.7,3764.8,3758.15,3773.3,859573,3243427784,58213
INFY,EQ,27-Jan-14,3758.15,3720,3763.9,3711.2,3739.2,3732.2,3739.09,1012381,3785379767,51163
INFY,EQ,28-Jan-14,3732.2,3707,3708.7,3666.85,3685,3675.1,3683.48,1763568,6496073289,81381
INFY,EQ,29-Jan-14,3675.1,3666,3743.7,3653.65,3718,3717.8,3708.69,1012760,3756012545,48870
INFY,EQ,30-Jan-14,3717.8,3703.7,3716.7,3660,3700,3704.25,3689.46,897954,3312964929,57064
INFY,EQ,31-Jan-14,3704.25,3700,3739.75,3686.55,3692.4,3701.1,3717.93,671241,2495628289,33186
INFY,EQ,03-Feb-14,3701.1,3685,3692,3624.8,3625,3629.15,3642.18,548014,1995964029,27647
INFY,EQ,04-Feb-14,3629.15,3581,3591.95,3546.55,3573.25,3561.1,3566.21,566889,2021644292,37361
INFY,EQ,05-Feb-14,3561.1,3580,3589,3542.75,3581.8,3581.25,3568,540874,1929840250,37096
INFY,EQ,06-Feb-14,3581.25,3572,3583,3541,3562,3563.7,3558.71,718738,2557783010,56963
INFY,EQ,07-Feb-14,3563.7,3587,3601.85,3548.85,3571,3566.55,3584.01,943932,3383061498,74043
INFY,EQ,10-Feb-14,3566.55,3579.9,3586,3557.5,3564.7,3573.8,3572.73,756178,2701617778,50814
INFY,EQ,11-Feb-14,3573.8,3584,3622,3573.5,3596,3596.25,3599.61,729199,2624835041,32700
INFY,EQ,12-Feb-14,3596.25,3600.5,3627.45,3593.2,3599.35,3600.1,3609.08,526089,1898697518,31693
INFY,EQ,13-Feb-14,3600.1,3604.8,3617.95,3580.05,3595,3585.8,3593.28,448540,1611730573,23430
INFY,EQ,14-Feb-14,3585.8,3615.55,3664,3603.25,3654.95,3644.3,3627.72,745271,2703634556,59800
INFY,EQ,17-Feb-14,3644.3,3685,3685,3648.85,3661.95,3658.15,3666.46,1696240,6219188039,36332
INFY,EQ,18-Feb-14,3658.15,3647,3694.6,3647,3676,3682,3676.17,622280,2287609486,16735
INFY,EQ,19-Feb-14,3682,3695.65,3762,3695.1,3760,3753.4,3734.66,883038,3297849882,58699
INFY,EQ,20-Feb-14,3753.4,3744.9,3744.9,3706,3713,3711.25,3722.63,1102106,4102736413,26707
INFY,EQ,21-Feb-14,3711.25,3736,3755.4,3727.25,3754.95,3750.7,3741.75,689748,2580864425,61267
INFY,EQ,24-Feb-14,3750.7,3746,3753.7,3730,3751.5,3749.9,3746.04,544701,2040472153,38487
INFY,EQ,25-Feb-14,3749.9,3755,3792.1,3755,3784,3782.9,3782.72,1012439,3829772494,33909
INFY,EQ,26-Feb-14,3782.9,3780,3817.8,3772.1,3817,3807.5,3800.42,919021,3492666508,48908
INFY,EQ,28-Feb-14,3807.5,3761.1,3837.15,3761.1,3828.65,3824.85,3812.58,1229937,4689238737,76621
INFY,EQ,03-Mar-14,3824.85,3825,3849.95,3791.95,3795,3798.25,3812.78,900522,3433492207,55090
INFY,EQ,04-Mar-14,3798.25,3770,3824.45,3761.9,3799,3799.55,3798.75,867239,3294424418,49982
