Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
IOC,EQ,01-Jan-14,214.15,212.6,214.8,207.5,207.95,208.55,210.62,434131,91435185.5,6096
IOC,EQ,02-Jan-14,208.55,210.9,212.2,205.1,205.7,205.8,208.92,925310,193318045.3,8873
IOC,EQ,03-Jan-14,205.8,205.8,207.25,202.6,204.2,203.45,204.09,304665,62179049.65,7577
IOC,EQ,06-Jan-14,203.45,205.5,206.5,203,204.3,204.55,204.74,1005131,205787051.1,14307
IOC,EQ,07-Jan-14,204.55,204,205,198.1,198.45,199.75,201.39,922477,185776459.6,18656
IOC,EQ,08-Jan-14,199.75,199.75,202.35,195,195.4,195.5,196.73,1240027,243950784.5,18614
IOC,EQ,09-Jan-14,195.5,196.7,200.75,193.75,199.25,198.85,198.22,1024051,202989335.5,13415
IOC,EQ,10-Jan-14,198.85,200.4,203.6,199.55,200.6,200.7,201.26,874603,176020031.1,11355
IOC,EQ,13-Jan-14,200.7,201.9,208.9,201.6,206.8,207.35,204.99,778592,159602739.3,11352
IOC,EQ,14-Jan-14,207.35,205.5,208.4,203.85,205,206.1,206.08,416467,85823512.25,9647
IOC,EQ,15-Jan-14,206.1,205.15,210,205.15,209.1,209.55,208.53,390233,81376780.3,7616
IOC,EQ,16-Jan-14,209.55,210.05,213,209.35,212,212.25,211.32,485614,102620334.1,10548
IOC,EQ,17-Jan-14,212.25,214,227.9,214,224.5,225.1,222.7,3298324,734547934,44529
IOC,EQ,20-Jan-14,225.1,224,226.15,220.2,223.7,224.75,223.37,884380,197543228.8,21029
IOC,EQ,21-Jan-14,224.75,225,227.9,222.8,224.9,225.1,224.7,377422,84808520.55,6060
IOC,EQ,22-Jan-14,225.1,226.5,229.9,225.5,228.4,228.75,227.33,381172,86650598.4,6172
IOC,EQ,23-Jan-14,228.75,228.55,230.6,226.65,228.65,227.95,228.59,464583,106198447.2,7150
IOC,EQ,24-Jan-14,227.95,227,229.1,225.1,227.5,227.85,227.55,334388,76090347.25,9216
IOC,EQ,27-Jan-14,227.85,225,227.2,221.5,223.6,223.6,224.24,412891,92586860.4,6075
IOC,EQ,28-Jan-14,223.6,224,225.5,221.05,223.35,223.7,223.69,313361,70095662.6,5389
IOC,EQ,29-Jan-14,223.7,224,239.5,223.6,236,235.6,233.69,1286601,300664704.8,18074
IOC,EQ,30-Jan-14,235.6,234,238.85,231.5,237.45,236.9,235.69,1263079,297691716.7,16731
IOC,EQ,31-Jan-14,236.9,239.7,247,233.7,245.05,245.35,242.57,841386,204098676.2,16485
IOC,EQ,03-Feb-14,245.35,245,248.9,239.9,245,245.1,245.08,479607,117539915,8668
IOC,EQ,04-Feb-14,245.1,245.65,245.65,241.1,242.05,242.8,243.11,327683,79664318.25,5794
IOC,EQ,05-Feb-14,242.8,241.5,244,235.8,237.9,238.1,238.07,366974,87365459.7,7595
IOC,EQ,06-Feb-14,238.1,239.9,248,236,246.45,246.4,244.63,735368,179891673.1,11654
IOC,EQ,07-Feb-14,246.4,248,249.65,244.05,245.5,246.05,246.46,387141,95416374.7,5778
IOC,EQ,10-Feb-14,246.05,246,250.75,243.5,250.05,249.55,247.54,332745,82369205,5924
IOC,EQ,11-Feb-14,249.55,250.95,259.45,247.25,258.5,258.4,256.51,901554,231255702.2,15084
IOC,EQ,12-Feb-14,258.4,260,260.05,251.2,256.6,257.05,255.47,746365,190670377.5,12353
IOC,EQ,13-Feb-14,257.05,259.65,259.65,242.6,244.9,244.5,249.7,316851,79116858.7,7076
IOC,EQ,14-Feb-14,244.5,240.1,244,238.4,240.75,240.1,241.1,571620,137819130,9343
IOC,EQ,17-Feb-14,240.1,241,243.7,238,240.55,240.85,240.46,408216,98157606.35,6916
IOC,EQ,18-Feb-14,240.85,241,245.25,236.7,237.3,238.3,240.56,366949,88272918.65,8693
IOC,EQ,19-Feb-14,238.3,238,242,233.2,242,241,237.27,460837,109342931.2,9868
IOC,EQ,20-Feb-14,241,239.95,243.15,236.45,237.35,237.8,238.81,285929,68283175.55,5125
IOC,EQ,21-Feb-14,237.8,238,244.7,237.15,243.1,243.05,241.89,736359,178114905.2,10580
IOC,EQ,24-Feb-14,243.05,243.1,250.45,242.9,244.1,244.05,246.13,550712,135546852.1,7469
IOC,EQ,25-Feb-14,244.05,244,248.95,244,246,247.45,246.96,428073,105718767,5702
IOC,EQ,26-Feb-14,247.45,247.5,253.1,241.25,248.9,248,247.91,700516,173665220.6,10018
