Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
ITC,EQ,01-Jan-14,321.85,322.3,323.4,321.1,322.75,322.4,322.59,1239519,399860491.8,17450
ITC,EQ,02-Jan-14,322.4,322.35,325,314.3,315.8,314.95,319.06,4523191,1443188867,55314
ITC,EQ,03-Jan-14,314.95,315,316,310.35,316,314.75,313.36,7999918,2506863398,88945
ITC,EQ,06-Jan-14,314.75,315,316.7,313.5,316.55,315.65,315.55,5436752,1715593397,55433
ITC,EQ,07-Jan-14,315.65,316.5,317.4,312.75,317,316.7,315.82,5186092,1637895133,56963
ITC,EQ,08-Jan-14,316.7,317.5,318,313.75,316.85,316.85,316.15,4983658,1575578369,67758
ITC,EQ,09-Jan-14,316.85,316.7,316.7,312.65,316,315.6,314.63,5109246,1607525747,77106
ITC,EQ,10-Jan-14,315.6,317.7,324.5,314,322.6,322.6,321.26,6124872,1967681361,72982
ITC,EQ,13-Jan-14,322.6,323.6,326.3,322.6,326,325.45,324.85,4238931,1377008387,65986
ITC,EQ,14-Jan-14,325.45,326,330,323.85,324.1,324.45,326.49,5045534,1647313903,77542
ITC,EQ,15-Jan-14,324.45,325.1,329.5,321.35,328.7,328.85,325.53,5899190,1920379007,161397
ITC,EQ,16-Jan-14,328.85,329,330.9,323.65,326.6,325.5,325.94,3163725,1031180241,56529
ITC,EQ,17-Jan-14,325.5,326,328,322.5,325,324.85,324.93,7518595,2443044750,71280
ITC,EQ,20-Jan-14,324.85,324.5,330.5,323.1,330.1,330.2,328.5,5738121,1884995006,64788
ITC,EQ,21-Jan-14,330.2,330.25,332.35,328.5,328.5,329.05,329.93,4650020,1534161034,41384
ITC,EQ,22-Jan-14,329.05,328.5,328.75,322.8,326.5,327.35,324.71,7578940,2460956375,61872
ITC,EQ,23-Jan-14,327.35,326.35,330,325.3,329.55,328.95,328.22,4195413,1377008723,48121
ITC,EQ,24-Jan-14,328.95,327.9,330.4,323.4,324.5,324.25,325.65,3418348,1113173240,75045
ITC,EQ,27-Jan-14,324.25,320.5,325.5,318.65,324.7,324.2,323.2,6162652,1991751849,69520
ITC,EQ,28-Jan-14,324.2,324.15,327.95,318.9,327.4,326.65,322.79,8743040,2822159377,95507
ITC,EQ,29-Jan-14,326.65,327.3,328.5,324.2,325.55,325,325.52,6083587,1980328042,96824
ITC,EQ,30-Jan-14,325,321.55,325.7,318,325,324.6,321.14,10228302,3284717500,82138
ITC,EQ,31-Jan-14,324.6,324.9,325.7,322.1,325,325.1,324.61,6254388,2030219665,96224
ITC,EQ,03-Feb-14,325.1,322.65,324.75,319.7,321.3,320.3,321.8,4410235,1419211124,74789
ITC,EQ,04-Feb-14,320.3,318.5,325.75,315.9,325.2,324.9,321,8587629,2756619833,88437
ITC,EQ,05-Feb-14,324.9,322.5,324.75,317.5,318.75,318.95,319.03,6082648,1940559767,81996
ITC,EQ,06-Feb-14,318.95,320,325.3,316.5,325,324.55,321.47,7733999,2486237163,56582
ITC,EQ,07-Feb-14,324.55,327,327,320.2,324,323.45,322.57,7953386,2565499679,57788
ITC,EQ,10-Feb-14,323.45,322.55,325.35,321,325,325,323.53,4546761,1471026914,48189
ITC,EQ,11-Feb-14,325,324.1,326.25,322.55,325.1,325.1,325.08,5051779,1642237009,50199
ITC,EQ,12-Feb-14,325.1,325.5,327,319,319.8,320.55,322.4,6080660,1960395267,94977
ITC,EQ,13-Feb-14,320.55,320.7,323,315.25,316.2,316.9,319.47,2762835,882640796.2,46793
ITC,EQ,14-Feb-14,316.9,318.1,320.3,314.7,319.75,319.8,317.3,3872073,1228595954,57430
ITC,EQ,17-Feb-14,319.8,321,322.25,317.55,320.2,320.1,319.92,3300648,1055951472,56647
ITC,EQ,18-Feb-14,320.1,320,321.55,316.15,316.55,316.9,318.46,3899317,1241771556,52741
ITC,EQ,19-Feb-14,316.9,317.8,318.85,316.1,316.5,316.65,317.39,2156544,684456102.5,39953
ITC,EQ,20-Feb-14,316.65,316,316.95,311.4,312,311.85,313.72,4543177,1425288268,53703
ITC,EQ,21-Feb-14,311.85,313.5,317.85,312.6,317.5,317.6,316.3,4587503,1451033252,95965
ITC,EQ,24-Feb-14,317.6,316,320.5,316,319.05,320.05,319.46,2766261,883710406.3,34531
ITC,EQ,25-Feb-14,320.05,319.1,322.4,319.1,322.15,321.95,321.58,3569371,1147839430,49580
ITC,EQ,26-Feb-14,321.95,322.8,329.85,322.5,328.4,328.75,326.94,7954645,2600705962,69639
ITC,EQ,28-Feb-14,328.75,324.95,332,324.95,326,327.65,328.74,7939096,2609899707,90843
ITC,EQ,03-Mar-14,327.65,327.8,330.95,326.05,329,329.2,329.09,6264761,2061656872,55914
ITC,EQ,04-Mar-14,329.2,330.4,334,328.2,331.6,331.65,331.36,6195328,2052862974,44721
ITC,EQ,05-Mar-14,331.65,331.75,333.95,329.45,333.3,333.3,332.2,4046876,1344369346,55252
ITC,EQ,06-Mar-14,333.3,332.7,335.15,330.35,334.25,334.55,332.9,3787234,1260772414,44004
ITC,EQ,07-Mar-14,334.55,332.1,339.4,331,337,338.15,335.44,13365837,4483430799,84426
ITC,EQ,10-Mar-14,338.15,336,338,334.25,334.95,335.6,335.71,6000250,2014364913,116348
ITC,EQ,11-Mar-14,335.6,335.4,336.3,328.8,335.35,334,333.29,6005198,2001472251,92907
ITC,EQ,12-Mar-14,334,334.3,343,334.25,341.75,341,340.33,6885987,2343478724,93961
ITC,EQ,13-Mar-14,341,341.35,346.8,341.3,343.65,343.4,343.88,4016811,1381308128,78042
ITC,EQ,14-Mar-14,343.4,342.1,348.15,340,347.55,347.2,344.49,4427770,1525316528,48272
ITC,EQ,18-Mar-14,347.2,350,357,347.65,356.85,355.9,353.11,8826161,3116591373,107727
ITC,EQ,19-Mar-14,355.9,356,360,355.55,359.9,359.7,358.71,5674963,2035652655,69415
ITC,EQ,20-Mar-14,359.7,358.55,358.55,352.3,356.55,355.8,355.01,7363060,2613982868,75244
ITC,EQ,21-Mar-14,355.8,356.5,358.7,352.55,357,357.7,355.53,7185771,2554728589,68705
ITC,EQ,22-Mar-14,357.7,357.2,357.7,355.6,356.9,356.6,356.74,121659,43400507.2,1766
ITC,EQ,24-Mar-14,356.6,356.05,363.3,355.35,359.85,360.65,360.63,7028349,2534655920,73541
ITC,EQ,25-Mar-14,360.65,359,365,358.7,362.8,362.8,362.34,5782709,2095312009,52458
ITC,EQ,26-Mar-14,362.8,363,363.55,353.75,359.5,359.05,357.74,9724988,3478977031,122819
ITC,EQ,27-Mar-14,359.05,359,362.7,356.05,358.5,359.9,359.55,16985803,6107229109,87556
ITC,EQ,28-Mar-14,359.9,361.5,361.5,354,358.05,358.45,356.74,6248530,2229115763,91442
ITC,EQ,31-Mar-14,358.45,359.15,361,349.65,352.95,352.85,354.07,7999584,2832387010,96583
ITC,EQ,01-Apr-14,352.85,353.5,353.6,345.85,351.8,351.95,349.59,6583391,2301490761,109334
ITC,EQ,02-Apr-14,351.95,352.6,353,340.35,344.5,344.35,344.09,16744268,5761536779,146064
ITC,EQ,03-Apr-14,344.35,344.6,347.65,340.75,347,345.9,344.9,6907418,2382339135,94425
ITC,EQ,04-Apr-14,345.9,346.9,348.8,342.3,344.9,344.75,344.35,6873702,2366970257,75378
ITC,EQ,07-Apr-14,344.75,344.75,346.8,340.65,345.1,345.45,343.83,7542128,2593194794,70736
ITC,EQ,09-Apr-14,345.45,345.6,349.5,343,349,347.95,345.87,6034878,2087297047,69837
ITC,EQ,10-Apr-14,347.95,348.2,349.7,343,343.1,343.85,344.52,7082516,2440093079,64781
ITC,EQ,11-Apr-14,343.85,342.8,344.8,340.35,342.5,343.5,342.77,7788062,2669477724,69019
ITC,EQ,15-Apr-14,343.5,342.7,343.95,336.7,340.85,340.95,339.49,4622474,1569290681,65624
ITC,EQ,16-Apr-14,340.95,340.95,347.65,340.95,346.3,346.05,345.6,4357004,1505796418,68210
ITC,EQ,17-Apr-14,346.05,347.2,353.75,344,352.7,353.25,350.27,5474177,1917465150,70273
ITC,EQ,21-Apr-14,353.25,352.4,355.7,349.1,352.4,353.4,353.1,4417056,1559677104,58521
ITC,EQ,22-Apr-14,353.4,352.9,354.05,349.05,350.9,350.75,350.9,3304165,1159431698,44880
ITC,EQ,23-Apr-14,350.75,352,355,348.55,354,353.2,352.01,7548941,2657292311,55979
ITC,EQ,25-Apr-14,353.2,353.7,356,342.5,342.65,343.45,346.03,4573557,1582571878,61194
ITC,EQ,28-Apr-14,343.45,345.45,345.45,340,341.6,342,341.83,4857464,1660439431,92761
ITC,EQ,29-Apr-14,342,341,342.9,338.5,340.45,340.3,340.2,4288868,1459066603,69228
ITC,EQ,30-Apr-14,340.3,340.3,344.95,338.6,340.3,340.75,341.9,4303806,1471477126,56233
ITC,EQ,02-May-14,340.75,341.1,342.5,340,340.25,340.25,340.55,2895562,986089245,66868
ITC,EQ,05-May-14,340.25,340.5,345.5,340.5,344.65,344.7,344.18,4373250,1505178083,63767
ITC,EQ,06-May-14,344.7,346,351,345.3,348,347.95,349.34,4992019,1743901924,76078
ITC,EQ,07-May-14,347.95,348,350.4,345.5,345.95,346.65,348.51,4691029,1634851377,39480
ITC,EQ,08-May-14,346.65,347,347.85,340.6,342,342.15,342.99,5542843,1901161429,57383
ITC,EQ,09-May-14,342.15,342.8,349.2,341.25,345.1,345.55,345.59,5270985,1821589556,53895
ITC,EQ,12-May-14,345.55,345.35,360,345,359.8,359.15,354.65,7407664,2627135092,65792
ITC,EQ,13-May-14,359.15,360,364.85,358,361,360.85,361.25,7361466,2659315912,104446
ITC,EQ,14-May-14,360.85,361.3,369,361.3,365.5,365.65,365.17,6874921,2510512679,73378
ITC,EQ,15-May-14,365.65,365.65,369.7,364.15,367.7,368.15,367.76,6374832,2344386691,69951
ITC,EQ,16-May-14,368.15,369.8,387.5,352.5,356,356.95,371.69,25898026,9626005237,150326
ITC,EQ,19-May-14,356.95,360,361,336.5,340,338.1,343.33,16155904,5546735240,149861
ITC,EQ,20-May-14,338.1,342,355,334.55,340,340.85,340.68,6161017,2098927727,115089
