Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
JSWSTEEL,EQ,01-Jan-14,1017.2,1019.8,1022.7,1011.55,1015.7,1015.4,1016.73,259256,263594073.9,5762
JSWSTEEL,EQ,02-Jan-14,1015.4,1017.65,1040,991.7,1004.95,1009.1,1024.03,1379033,1412173390,28340
JSWSTEEL,EQ,03-Jan-14,1009.1,1005.1,1009.7,986,993.05,994.05,993.55,738014,733256583.9,16090
JSWSTEEL,EQ,06-Jan-14,994.05,998.7,1041.7,996.5,1034.45,1034.3,1029.9,1109492,1142663131,30007
JSWSTEEL,EQ,07-Jan-14,1034.3,1035.45,1046.2,1014,1030.5,1027.55,1028.43,888140,913392278.4,29995
JSWSTEEL,EQ,08-Jan-14,1027.55,1027.25,1033.7,1018,1029,1026.3,1025.42,474541,486605178.7,19124
JSWSTEEL,EQ,09-Jan-14,1026.3,1029,1032,1007.8,1030,1025.6,1019.73,522166,532469337.7,17550
JSWSTEEL,EQ,10-Jan-14,1025.6,1030,1034,1015.2,1023.05,1023.3,1024.15,479360,490938188.7,18196
JSWSTEEL,EQ,13-Jan-14,1023.3,1023.25,1031.25,1010,1016.3,1019.3,1019.94,629451,642005033.3,19305
JSWSTEEL,EQ,14-Jan-14,1019.3,1015,1024.9,1002.1,1005.95,1009.85,1011.7,451497,456778419.4,13424
JSWSTEEL,EQ,15-Jan-14,1009.85,1008.25,1019.5,985.2,991,990.35,1002.39,743118,744895433.5,25427
JSWSTEEL,EQ,16-Jan-14,990.35,996.95,1026,986.2,1024.9,1023.45,1012.55,716737,725732613.3,27132
JSWSTEEL,EQ,17-Jan-14,1023.45,1023.5,1024.6,992,1000,1000.2,1003.26,444206,445654146,17109
JSWSTEEL,EQ,20-Jan-14,1000.2,999,1010.25,981.5,984.25,987,992.37,463208,459672332.5,15954
JSWSTEEL,EQ,21-Jan-14,987,990.5,1001.85,983.85,991.5,990.75,991.39,387780,384442693.4,13055
JSWSTEEL,EQ,22-Jan-14,990.75,991,1000,987,996.5,994.55,993.9,330293,328277494.5,10859
JSWSTEEL,EQ,23-Jan-14,994.55,994.45,1007.35,990.1,993.25,994.25,997.67,458629,457559685,17816
JSWSTEEL,EQ,24-Jan-14,994.25,985.05,994.8,965.4,967.65,970.05,975.76,643599,627996925.9,23715
JSWSTEEL,EQ,27-Jan-14,970.05,960,960,908.65,915.1,914.7,928.64,629543,584616485.9,30777
JSWSTEEL,EQ,28-Jan-14,914.7,915.25,946.5,908,929.45,930.6,930.6,1397221,1300259645,42278
JSWSTEEL,EQ,29-Jan-14,930.6,937.25,944.2,922.5,931,933.05,932.34,535742,499493884.2,23437
JSWSTEEL,EQ,30-Jan-14,933.05,923.3,923.7,880.7,901.9,896.2,895.16,1166595,1044291593,35357
JSWSTEEL,EQ,31-Jan-14,896.2,902,921.15,898.2,917.5,917.35,913.37,717752,655570837.6,24655
JSWSTEEL,EQ,03-Feb-14,917.35,908.85,914.9,847.3,850,852.6,870.1,927684,807180451.8,27171
JSWSTEEL,EQ,04-Feb-14,852.6,839,865,826.25,844.55,843.3,847.19,817416,692510465.9,25952
JSWSTEEL,EQ,05-Feb-14,843.3,847.65,856.5,833.25,848,846.8,844.07,637562,538146155.8,20057
JSWSTEEL,EQ,06-Feb-14,846.8,854.25,861.2,827.65,843.9,842.35,846.01,870134,736143949.6,23877
JSWSTEEL,EQ,07-Feb-14,842.35,856,872.85,847.9,870,868.8,864.7,1062774,918975975.2,26780
JSWSTEEL,EQ,10-Feb-14,868.8,870.1,883,840.65,843.15,849.95,862.03,759280,654524447,21718
JSWSTEEL,EQ,11-Feb-14,849.95,853.5,866.45,850.6,860,859.6,858.91,502126,431282687.9,19434
JSWSTEEL,EQ,12-Feb-14,859.6,862.55,865.25,836.15,837.05,843.4,846.04,487145,412142278.4,21133
JSWSTEEL,EQ,13-Feb-14,843.4,850,850,808.15,809.95,815.1,828.84,540654,448115031,19949
JSWSTEEL,EQ,14-Feb-14,815.1,815.9,838,804,836.7,834.25,822.04,647996,532677920.7,19642
