Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
KOTAKBANK,EQ,01-Jan-14,728.25,732,732.05,720.75,723.8,722.55,724.09,392768,284400857.1,9567
KOTAKBANK,EQ,02-Jan-14,722.55,722.6,731.45,703,705.5,707.4,720.98,456139,328869016.2,10105
KOTAKBANK,EQ,03-Jan-14,707.4,707.1,716.3,696.6,713,712.55,711.03,572567,407111839.5,21391
KOTAKBANK,EQ,06-Jan-14,712.55,710,717,705.6,712,714.1,711.31,446715,317753251.5,12691
KOTAKBANK,EQ,07-Jan-14,714.1,712,715,700,707.65,708.15,705.43,643794,454151760.5,29097
KOTAKBANK,EQ,08-Jan-14,708.15,709,717,703.65,713,712.9,713.05,312983,223170969.2,15112
KOTAKBANK,EQ,09-Jan-14,712.9,710.5,715.55,706.65,709,710.15,711.09,307583,218719247.4,16037
KOTAKBANK,EQ,10-Jan-14,710.15,704.1,714.8,698,699.8,700.45,706.66,366224,258795523.4,15837
KOTAKBANK,EQ,13-Jan-14,700.45,695.15,724.75,695.15,723.95,716.9,709.56,472492,335259933.9,38606
KOTAKBANK,EQ,14-Jan-14,716.9,716,723.1,707,714,711.3,712.88,263826,188076639.5,7899
KOTAKBANK,EQ,15-Jan-14,711.3,714,731.15,712.55,726.35,729.15,724.24,555643,402416754.7,22535
KOTAKBANK,EQ,16-Jan-14,729.15,730.3,735,723,730.35,731.45,731.72,551182,403309898.8,12294
KOTAKBANK,EQ,17-Jan-14,731.45,730.5,737.75,720,725,727.1,728.42,323149,235388215.8,10006
KOTAKBANK,EQ,20-Jan-14,727.1,725.8,737.5,720,726,728.15,727.74,499317,363375270.4,9552
KOTAKBANK,EQ,21-Jan-14,728.15,729.7,732,704,705.3,706.3,711.61,1700142,1209835307,41805
KOTAKBANK,EQ,22-Jan-14,706.3,705,718,698.2,709,710.3,709.9,1320297,937278402,37368
KOTAKBANK,EQ,23-Jan-14,710.3,707,711.55,703.2,706.65,705.3,707.12,337870,238913557.2,14759
KOTAKBANK,EQ,24-Jan-14,705.3,695,704.8,681,683.95,684.75,687.79,857803,589986034.7,30235
KOTAKBANK,EQ,27-Jan-14,684.75,678.1,682.5,654.55,656,658.1,667.64,1614766,1078084267,36843
KOTAKBANK,EQ,28-Jan-14,658.1,657,670,645.05,660.35,659.8,660.59,1339459,884826702.2,30819
KOTAKBANK,EQ,29-Jan-14,659.8,667,674.95,662.9,663.9,664,666.46,537280,358074372.6,23429
KOTAKBANK,EQ,30-Jan-14,664,650.1,660,647.75,648,650.05,652.23,842363,549416326,24462
KOTAKBANK,EQ,31-Jan-14,650.05,649.5,661.3,648.75,656.5,657.05,656.45,557033,365665520.6,18369
KOTAKBANK,EQ,03-Feb-14,657.05,651.3,658,649.8,655.1,654.95,651.77,1159223,755542257.9,19491
KOTAKBANK,EQ,04-Feb-14,654.95,648,667.85,643.6,665.2,665.3,659.39,507935,334927305.8,22797
KOTAKBANK,EQ,05-Feb-14,665.3,665,671.4,650.35,670.75,667.5,660.85,831542,549523275.3,28586
KOTAKBANK,EQ,06-Feb-14,667.5,672,676.1,652.5,659.95,660.5,662.37,1090566,722357244.5,29745
KOTAKBANK,EQ,07-Feb-14,660.5,662,666.5,652.4,656,658.85,658.67,718389,473179192.3,41047
KOTAKBANK,EQ,10-Feb-14,658.85,661.85,661.85,644,645,647.25,649.99,739896,480925823.2,26761
KOTAKBANK,EQ,11-Feb-14,647.25,648.9,652,640.65,646,647.25,648.32,491337,318545420.9,14284
KOTAKBANK,EQ,12-Feb-14,647.25,650,656.3,644.1,648.1,649.55,651.95,522187,340437437.2,23950
KOTAKBANK,EQ,13-Feb-14,649.55,649,654.1,632.5,634.4,636.8,641.83,389287,249854910.5,18894
KOTAKBANK,EQ,14-Feb-14,636.8,638,653.3,630.5,647,646.45,644.41,802791,517324246.3,19271
KOTAKBANK,EQ,17-Feb-14,646.45,647.2,653.35,643.1,653,650.75,648.27,463833,300691029,22635
KOTAKBANK,EQ,18-Feb-14,650.75,651,683,648.05,680.95,680.3,670.57,1066159,714938915.3,34876
KOTAKBANK,EQ,19-Feb-14,680.3,680,688.4,670.5,688,685.9,679.92,1117922,760095593.3,28335
KOTAKBANK,EQ,20-Feb-14,685.9,681.7,682.9,666.75,669.2,669.75,672.7,569856,383341674,29604
KOTAKBANK,EQ,21-Feb-14,669.75,670,677.8,664.5,668.95,672.05,671.36,476116,319646276.3,28436
KOTAKBANK,EQ,24-Feb-14,672.05,668.1,680.85,662,679.5,677.6,671.18,737179,494777770.6,25838
KOTAKBANK,EQ,25-Feb-14,677.6,680.3,683.4,672.15,674.95,675.75,677.66,437969,296795816.3,28972
KOTAKBANK,EQ,26-Feb-14,675.75,675.1,690.9,675.1,685.5,685.4,686.55,755679,518811334.2,31340
KOTAKBANK,EQ,28-Feb-14,685.4,685.4,694,675.95,684.3,684.5,684.07,932185,637681366.3,24723
KOTAKBANK,EQ,03-Mar-14,684.5,682,692.65,668,669.45,669.95,680.91,450227,306562464.7,24008
KOTAKBANK,EQ,04-Mar-14,669.95,671,678.9,665.45,676.3,676.7,674.26,689246,464728532.1,18651
KOTAKBANK,EQ,05-Mar-14,676.7,681,684.2,670.6,681,680.8,678.45,715217,485238550.7,44345
KOTAKBANK,EQ,06-Mar-14,680.8,683,691.45,678,690.4,687.35,685.54,614541,421291824.9,26901
KOTAKBANK,EQ,07-Mar-14,687.35,697.7,717.5,691.35,712,711.55,706.39,1856207,1311197506,45895
KOTAKBANK,EQ,10-Mar-14,711.55,710,755,700.35,753,752.4,736.9,1474855,1086827794,40349
KOTAKBANK,EQ,11-Mar-14,752.4,755.8,757.65,734.5,749.05,744.2,744.86,722103,537865698.1,23404
KOTAKBANK,EQ,12-Mar-14,744.2,745.25,752.7,735.05,743.1,744.85,744.7,689681,513603430.8,32309
KOTAKBANK,EQ,13-Mar-14,744.85,745,776.65,743.1,763.25,764.35,767.54,1001207,768467530.8,27683
KOTAKBANK,EQ,14-Mar-14,764.35,756.65,761.4,733,756.75,755.95,746.89,803453,600092450.8,24920
KOTAKBANK,EQ,18-Mar-14,755.95,757.4,775,757.4,765,765.3,763.9,831145,634912020.2,19317
KOTAKBANK,EQ,19-Mar-14,765.3,767.65,769.75,756.75,764,762.4,761.74,569588,433879261.7,27896
KOTAKBANK,EQ,20-Mar-14,762.4,765,765,742,750,747.25,750.47,813158,610247184.9,17229
KOTAKBANK,EQ,21-Mar-14,747.25,753.5,755,738.35,741.4,744.1,745.24,1018554,759066392.3,30188
KOTAKBANK,EQ,22-Mar-14,744.1,746,749.55,737.2,743,741.25,740.72,45351,33592455.95,1457
KOTAKBANK,EQ,24-Mar-14,741.25,744.3,769.85,744.3,769.85,765.55,762.39,913587,696507796.5,32030
KOTAKBANK,EQ,25-Mar-14,765.55,765,777.45,765,773.5,772.65,770.82,828786,638842564.6,24416
KOTAKBANK,EQ,26-Mar-14,772.65,775,779.9,763.35,769.8,771.55,772.19,859268,663514317.9,44521
KOTAKBANK,EQ,27-Mar-14,771.55,771.6,779.95,761,767.6,771.9,770.93,1420067,1094776640,35163
KOTAKBANK,EQ,28-Mar-14,771.9,776.7,788,767,780.3,778,776.06,1097615,851816085.1,28579
KOTAKBANK,EQ,31-Mar-14,778,780.3,784.7,768.3,780,781.05,778.4,762073,593195552.4,34041
KOTAKBANK,EQ,01-Apr-14,781.05,781.5,782.1,752,763,763.7,765.07,804588,615562822.5,43744
KOTAKBANK,EQ,02-Apr-14,763.7,768,773.3,758.95,772,769.55,765.14,1148295,878604605.6,23411
KOTAKBANK,EQ,03-Apr-14,769.55,771.3,771.8,755.55,760.4,759.8,760.4,754872,574002639,27089
KOTAKBANK,EQ,04-Apr-14,759.8,752.2,761,750,753.5,755.1,755.5,509684,385065967,19275
KOTAKBANK,EQ,07-Apr-14,755.1,757,772,752.9,767.5,769.45,762.17,846392,645098534,29598
KOTAKBANK,EQ,09-Apr-14,769.45,774.8,785,767.15,785,784.55,776.67,1044819,811478915.9,35786
KOTAKBANK,EQ,10-Apr-14,784.55,782.55,812,780.25,800,803.25,798.66,1224427,977900858.2,31109
KOTAKBANK,EQ,11-Apr-14,803.25,795.2,808,792,804.9,805.65,801.27,780936,625743572.9,27765
KOTAKBANK,EQ,15-Apr-14,805.65,805,805,782.55,789.35,790.85,790.99,576653,456128096.3,22860
KOTAKBANK,EQ,16-Apr-14,790.85,789.9,792.45,773.5,785,784.25,783.65,415763,325811351.5,20632
KOTAKBANK,EQ,17-Apr-14,784.25,784,804,780.1,801.55,800.8,793.25,577666,458234873,31470
KOTAKBANK,EQ,21-Apr-14,800.8,806.7,809,794.7,800.5,801.35,800.25,1561001,1249185097,19516
KOTAKBANK,EQ,22-Apr-14,801.35,803.15,806.75,795.55,801.9,801.3,801.07,471394,377618214.9,12335
KOTAKBANK,EQ,23-Apr-14,801.3,800,829.7,797.3,827,822.4,817.44,1293194,1057102875,34743
KOTAKBANK,EQ,25-Apr-14,822.4,822,834.6,805.7,807,808.5,817.27,688906,563022077.1,21916
KOTAKBANK,EQ,28-Apr-14,808.5,808.1,829.9,796.8,823.4,823.95,815.63,734270,598892240.3,22827
KOTAKBANK,EQ,29-Apr-14,823.95,821.1,824.55,804.4,808.6,807,811.99,476633,387020585.7,21969
KOTAKBANK,EQ,30-Apr-14,807,805,818.95,795.5,805,802.6,806.05,771049,621501155.8,28057
KOTAKBANK,EQ,02-May-14,802.6,803.55,810.6,798.75,802.7,802.7,803.28,532441,427696894.9,18923
KOTAKBANK,EQ,05-May-14,802.7,798.2,811.7,797.75,806.65,807.6,805.89,345131,278138589.8,10017
KOTAKBANK,EQ,06-May-14,807.6,809.6,812,800.55,808.6,806.95,805.08,365964,294630625.7,18701
KOTAKBANK,EQ,07-May-14,806.95,800.3,816.3,800.3,811.8,810.1,809.64,519729,420794675.2,18148
KOTAKBANK,EQ,08-May-14,810.1,812.2,820.5,807.35,808.95,812,814.2,912541,742986561,50619
KOTAKBANK,EQ,09-May-14,812,812.8,855,810.55,855,850.75,833.65,1066626,889187579.9,33198
KOTAKBANK,EQ,12-May-14,850.75,852.2,865,847.2,848.65,850.7,855.64,939514,803888418.3,30844
KOTAKBANK,EQ,13-May-14,850.7,855.25,869,848.1,858.15,861.05,860.43,1127551,970182178.6,23353
KOTAKBANK,EQ,14-May-14,861.05,859.5,885,852.6,859.85,859.45,862,726800,626499060.5,27189
KOTAKBANK,EQ,15-May-14,859.45,858,875,858,865.5,869.9,869.81,773735,672999550.4,33274
KOTAKBANK,EQ,16-May-14,869.9,886,951,886,904.1,905.65,930.68,2070370,1926853413,64922
KOTAKBANK,EQ,19-May-14,905.65,909.4,932,906.65,914.9,917,918.56,1002156,920537888.5,40775
KOTAKBANK,EQ,20-May-14,917,919.7,919.9,898.2,898.6,903.05,909.45,931968,847577446.6,21170
