Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
LT,EQ,01-Jan-14,1070.25,1075.15,1079.9,1066.4,1067,1068.55,1071.41,462879,495934356.8,17320
LT,EQ,02-Jan-14,1068.55,1067.25,1079.9,1028.3,1034,1036.05,1052.35,1548334,1629391605,62769
LT,EQ,03-Jan-14,1036.05,1020,1032.95,1008.05,1014.25,1012.05,1014.85,2467735,2504380992,148158
LT,EQ,06-Jan-14,1012.05,1012.1,1025.95,1000.05,1009.9,1010.5,1011.89,1719745,1740200268,73791
LT,EQ,07-Jan-14,1010.5,1015,1028.55,1008.1,1019,1019.5,1020.28,1888942,1927253286,59082
LT,EQ,08-Jan-14,1019.5,1022,1025.9,996.75,998.8,998.35,1005.63,2056177,2067748043,92487
LT,EQ,09-Jan-14,998.35,998.85,1004,970,972.25,971.9,980.72,2935310,2878703028,111919
LT,EQ,10-Jan-14,971.9,972.75,984,951.5,957,956.05,970.27,3212216,3116721615,115138
LT,EQ,13-Jan-14,956.05,955.1,987.9,955.1,987,980.55,972.92,2350686,2287030096,90328
LT,EQ,14-Jan-14,980.55,978.05,996.8,968,973.2,972,983.31,1817257,1786925493,69369
LT,EQ,15-Jan-14,972,975.3,1003.5,975.3,997.5,999.1,992.87,1801661,1788815285,87771
LT,EQ,16-Jan-14,999.1,1005.6,1012.95,991.3,1002.35,1004,1004.07,1844717,1852225608,66182
LT,EQ,17-Jan-14,1004,999.3,1011.65,995.65,1003.05,1002.85,1003.01,1422009,1426287974,48983
LT,EQ,20-Jan-14,1002.85,1002,1009.9,989.25,1001.65,998.95,998.01,1541104,1538029847,54665
LT,EQ,21-Jan-14,998.95,1006.3,1017.55,1005.05,1013.5,1011.5,1012.09,1139904,1153690275,58570
LT,EQ,22-Jan-14,1011.5,1013.9,1017.3,996.55,1008.35,1004.8,1005.99,2163806,2176764114,105574
LT,EQ,23-Jan-14,1004.8,1010.1,1043.4,1010.1,1031.5,1032.95,1033.7,4525023,4677514114,157285
LT,EQ,24-Jan-14,1032.95,1029,1029.45,1004.15,1006.45,1006.35,1012.06,2521804,2552205519,104192
LT,EQ,27-Jan-14,1006.35,988.7,992.45,973.05,982.5,980.15,980.17,2230495,2186256834,94419
LT,EQ,28-Jan-14,980.15,979,996.55,974,983.6,983.5,984.42,2314629,2278561045,80055
LT,EQ,29-Jan-14,983.5,991.05,1006,988.65,994.9,993.15,996.53,1734253,1728226595,75451
LT,EQ,30-Jan-14,993.15,978.95,987.45,974.4,979,980.45,981.68,1925247,1889980908,51653
