Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
M&amp;M,EQ,01-Jan-14,944.2,948,953,942.5,947.9,948,948.36,311759,295659206.4,7834
M&amp;M,EQ,02-Jan-14,948,944,959,930,931,936.1,949.56,503776,478365876.3,18923
M&amp;M,EQ,03-Jan-14,936.1,928,934,897.5,901.15,900.25,907.56,1045971,949280352.6,43489
M&amp;M,EQ,06-Jan-14,900.25,903.7,904.9,887.4,900.6,895.4,894.41,638053,570682418.7,29853
M&amp;M,EQ,07-Jan-14,895.4,896,908.05,890.1,906.95,903.1,898.46,899197,807888797.4,40821
M&amp;M,EQ,08-Jan-14,903.1,908,914.9,899.05,910,908.6,908.12,588184,534139639.4,21092
M&amp;M,EQ,09-Jan-14,908.6,910,917.45,890,891.4,894.35,906.17,459440,416329251.1,18181
M&amp;M,EQ,10-Jan-14,894.35,894,896,864.8,872.65,874.55,876.38,896627,785790355.4,48319
M&amp;M,EQ,13-Jan-14,874.55,873,891.05,873,888.7,888.25,884.33,507675,448950074.9,20329
M&amp;M,EQ,14-Jan-14,888.25,883,900.85,882.65,890,891.05,893.16,671699,599936550.7,18723
M&amp;M,EQ,15-Jan-14,891.05,891.5,907,886.95,905.65,904.9,896.11,824994,739286383.2,34094
M&amp;M,EQ,16-Jan-14,904.9,905.5,906.1,888.35,893.5,892.65,893.9,826060,738413283.7,48292
M&amp;M,EQ,17-Jan-14,892.65,891,905.4,891,900,899.55,900.08,916751,825147395,30908
M&amp;M,EQ,20-Jan-14,899.55,891,913.25,891,906,906.75,907.44,508424,461362890,24765
M&amp;M,EQ,21-Jan-14,906.75,906,921.75,898,900.8,903.6,911.9,519638,473858415.7,29401
M&amp;M,EQ,22-Jan-14,903.6,898.15,918,898.15,914.45,916.45,912.98,955815,872640383.4,24462
M&amp;M,EQ,23-Jan-14,916.45,916.45,917,886.7,890,890.1,893.92,1047415,936305088.7,62356
M&amp;M,EQ,24-Jan-14,890.1,882.5,892.5,874,886.5,884.8,881.49,1991029,1755065007,81596
M&amp;M,EQ,27-Jan-14,884.8,861.2,875,858.25,867,866.85,866.54,1304447,1130353904,44546
M&amp;M,EQ,28-Jan-14,866.85,865,880,863.05,875.8,875.1,874.69,1129327,987814572.8,41334
M&amp;M,EQ,29-Jan-14,875.1,878.95,886.55,859,863.4,861.95,874.76,784718,686436739.9,41680
M&amp;M,EQ,30-Jan-14,861.95,859,878,849.95,871.1,867.9,865.14,774710,670233534.3,22936
M&amp;M,EQ,31-Jan-14,867.9,874,898.6,869.05,887.5,890.2,890.76,942208,839285230.8,27440
M&amp;M,EQ,03-Feb-14,890.2,882.2,891.6,867,885.05,884.85,880.72,990012,871924838.6,37793
M&amp;M,EQ,04-Feb-14,884.85,875,876,846.6,858,853.75,854.34,1822968,1557442811,67737
M&amp;M,EQ,05-Feb-14,853.75,857,881,856,876,878.35,870.43,917994,799053865,29388
M&amp;M,EQ,06-Feb-14,878.35,875.5,899.7,866.9,898,896.95,884.32,1110998,982477208.8,35215
M&amp;M,EQ,07-Feb-14,896.95,902.55,903,886.45,895,895.55,893.06,721608,644435818,17089
M&amp;M,EQ,10-Feb-14,895.55,895.25,902.5,887,895,894.2,891.68,790281,704675937.4,30246
M&amp;M,EQ,11-Feb-14,894.2,898.1,902.3,887,896.5,897.05,894.46,696770,623234752.8,33227
M&amp;M,EQ,12-Feb-14,897.05,897.7,900.85,889.95,895.1,895.5,895.8,438370,392693489.1,21552
M&amp;M,EQ,13-Feb-14,895.5,895,911,895,905.75,906.65,906.04,804727,729117672.8,48046
M&amp;M,EQ,14-Feb-14,906.65,907,913.7,886.65,906,904.4,901.39,1268648,1143543407,39725
M&amp;M,EQ,17-Feb-14,904.4,904.95,935.7,897.3,934,928.1,917.28,1121503,1028735487,26849
M&amp;M,EQ,18-Feb-14,928.1,935,939.9,924.5,935,935.15,933.93,1021824,954314160.1,36837
M&amp;M,EQ,19-Feb-14,935.15,936,947.3,935.95,943,943.2,942.42,891891,840539864.4,27394
M&amp;M,EQ,20-Feb-14,943.2,936.15,941.6,927.1,931,929.95,934.94,825663,771946319.1,21959
M&amp;M,EQ,21-Feb-14,929.95,930.3,939,922.85,931,930,931.56,467313,435328967,25458
M&amp;M,EQ,24-Feb-14,930,930,946,928.05,943.1,944.1,941.9,391298,368562505.7,13417
M&amp;M,EQ,25-Feb-14,944.1,945.9,949.3,935.55,942,943.9,942.92,955190,900666794.9,33247
M&amp;M,EQ,26-Feb-14,943.9,943,970,936.45,965.2,964.7,957.69,854094,817956078,24422
M&amp;M,EQ,28-Feb-14,964.7,965,978.9,949,973,974.5,965.69,953836,921113205,34294
M&amp;M,EQ,03-Mar-14,974.5,972.7,977.95,950,951.8,952.25,964.11,534471,515289071.6,23293
M&amp;M,EQ,04-Mar-14,952.25,950.1,965.35,944.6,954,955.8,956.26,575424,550254020.2,27225
M&amp;M,EQ,05-Mar-14,955.8,957.5,958.75,940.2,950,948.55,946.52,609756,577147557.4,22408
M&amp;M,EQ,06-Mar-14,948.55,950.3,961,948.55,954.15,955.35,954.93,958756,915548754.2,28645
M&amp;M,EQ,07-Mar-14,955.35,960,991.95,951.55,980.15,983.55,978.34,1001714,980016203.5,27708
M&amp;M,EQ,10-Mar-14,983.55,979.3,1021,975,1018.8,1015.85,1003.76,1234628,1239273979,44820
M&amp;M,EQ,11-Mar-14,1015.85,1012,1021.85,984.1,991.95,994.5,994.94,767406,763524499.1,38041
M&amp;M,EQ,12-Mar-14,994.5,989.4,998,983.3,996,991.25,988.72,1633533,1615103741,32509
M&amp;M,EQ,13-Mar-14,991.25,1001.9,1025,994.35,1017.5,1016.05,1015.05,1215049,1233331975,48259
M&amp;M,EQ,14-Mar-14,1016.05,1012.9,1035.5,996,1029.05,1027,1012.21,1237442,1252553689,48585
M&amp;M,EQ,18-Mar-14,1027,1028.45,1054.9,1005.05,1010.8,1009.6,1026.76,1271369,1305390879,80508
M&amp;M,EQ,19-Mar-14,1009.6,1011,1021.9,978,980.1,980.45,997.7,2025079,2020426376,53459
M&amp;M,EQ,20-Mar-14,980.45,982.9,992,972.25,977,978.3,979.58,753676,738282468.1,31527
M&amp;M,EQ,21-Mar-14,978.3,985,990,965.5,973.8,970.45,977.24,1073949,1049504878,27353
M&amp;M,EQ,22-Mar-14,970.45,981.1,982.75,971,971,973.9,975.99,39379,38433449.7,1518
M&amp;M,EQ,24-Mar-14,973.9,980,995,976.45,985.5,987.8,988.4,1091726,1079062563,26483
M&amp;M,EQ,25-Mar-14,987.8,987,995,971,973.15,973.4,978.66,757147,740992820.4,27644
M&amp;M,EQ,26-Mar-14,973.4,980,983.3,952.05,961,958.95,972.1,1213646,1179787766,41992
M&amp;M,EQ,27-Mar-14,958.95,960,975,958.65,966.6,964.85,967.7,2217504,2145881579,80447
M&amp;M,EQ,28-Mar-14,964.85,969,973,955.5,965.5,968.25,964.44,1562397,1506832683,81262
M&amp;M,EQ,31-Mar-14,968.25,972.3,985,966,980,980.7,978.85,1665520,1630293525,44100
M&amp;M,EQ,01-Apr-14,980.7,985,1003.35,980.7,1000,1000.15,994.25,1075558,1069377077,34354
M&amp;M,EQ,02-Apr-14,1000.15,1006.5,1009,992,999,1002,1001.02,1105540,1106669788,45547
M&amp;M,EQ,03-Apr-14,1002,1004.7,1011,989.55,1009,1007.2,999.74,643179,643012779.4,30603
M&amp;M,EQ,04-Apr-14,1007.2,1006,1006,991.15,1000.6,999,997.71,678999,677446581,25543
M&amp;M,EQ,07-Apr-14,999,1000,1018.35,1000,1014,1014.1,1009.37,899498,907923635.3,34518
M&amp;M,EQ,09-Apr-14,1014.1,1018,1025,1011.55,1023,1023.15,1017.7,980468,997819675.3,41437
M&amp;M,EQ,10-Apr-14,1023.15,1019,1027.6,996.2,1021,1021.15,1014.59,929301,942856235.1,37837
M&amp;M,EQ,11-Apr-14,1021.15,1012.1,1019,1000,1001,1005.5,1006.94,610992,615232393.5,23294
M&amp;M,EQ,15-Apr-14,1005.5,996.5,1005.7,975.6,985,984.7,982.85,852330,837714623.9,52098
M&amp;M,EQ,16-Apr-14,984.7,985,993.3,965.05,975.65,976.55,977.71,1162213,1136306064,42512
M&amp;M,EQ,17-Apr-14,976.55,980,1000,978.25,995.35,996.95,990.4,671953,665499151.5,23132
M&amp;M,EQ,21-Apr-14,996.95,1000,1039.9,991.4,1033.15,1033.15,1026.87,1506204,1546683049,47558
M&amp;M,EQ,22-Apr-14,1033.15,1035,1046,1021,1024,1026.4,1029.47,731931,753501954,19507
M&amp;M,EQ,23-Apr-14,1026.4,1026.65,1042,1023.75,1038.7,1039.15,1036.52,1211192,1255427113,34649
M&amp;M,EQ,25-Apr-14,1039.15,1038,1080.9,1032.05,1065.9,1070.7,1061.52,1321499,1402794347,42278
M&amp;M,EQ,28-Apr-14,1070.7,1065,1074,1056.9,1065.6,1067,1068.25,913827,976195514.1,20267
M&amp;M,EQ,29-Apr-14,1067,1067,1083,1061.6,1067.25,1068,1069.21,855403,914606479.5,23731
M&amp;M,EQ,30-Apr-14,1068,1070,1091.95,1062.1,1076.85,1074.2,1077.13,1355176,1459698555,41821
M&amp;M,EQ,02-May-14,1074.2,1059,1061.65,1045.1,1057.85,1057.85,1055.43,798421,842674038,39283
M&amp;M,EQ,05-May-14,1057.85,1050,1072.45,1050,1057.05,1059.6,1063,617292,656178525.1,30901
M&amp;M,EQ,06-May-14,1059.6,1062.5,1069,1056.3,1067,1065.5,1062.9,328008,348640236.4,16413
M&amp;M,EQ,07-May-14,1065.5,1066,1073,1060,1063.45,1061.95,1063.94,411121,437406342.2,14236
M&amp;M,EQ,08-May-14,1061.95,1065,1073.65,1057.1,1068,1064.15,1063.41,489585,520631612.1,16021
M&amp;M,EQ,09-May-14,1064.15,1070,1110,1061.05,1109.25,1102.55,1092.68,858295,937843869.8,31134
M&amp;M,EQ,12-May-14,1102.55,1101,1139.75,1100,1137.5,1129.75,1118.32,811004,906959401.2,42711
M&amp;M,EQ,13-May-14,1129.75,1141,1177.3,1106.2,1126.85,1122.9,1145.62,790272,905353612.1,47714
M&amp;M,EQ,14-May-14,1122.9,1105,1111.65,1073.75,1081.65,1085.45,1080.39,10204162,11024501987,70108
M&amp;M,EQ,15-May-14,1085.45,1080,1113.4,1079.5,1101.05,1104.55,1101.46,1056404,1163582000,55579
M&amp;M,EQ,16-May-14,1104.55,1120,1183.9,1102.4,1119.45,1114.7,1145.97,1676026,1920680429,57013
M&amp;M,EQ,19-May-14,1114.7,1139.9,1139.9,1076.8,1090,1099.6,1101.57,1095507,1206776859,62835
M&amp;M,EQ,20-May-14,1099.6,1101,1152.25,1076.3,1134,1136.45,1125.49,1029777,1159004760,43055
M&amp;M,EQ,21-May-14,1136.45,1127,1163.3,1122.1,1156,1150.3,1140.12,896177,1021748919,56224
M&amp;M,EQ,22-May-14,1150.3,1154.7,1172,1125.55,1131,1137.6,1146.61,831455,953356348.5,48774
M&amp;M,EQ,23-May-14,1137.6,1133,1165.9,1133,1161.1,1159.3,1150.6,996854,1146980792,53529
M&amp;M,EQ,26-May-14,1159.3,1173.9,1253.75,1170,1244.7,1229.15,1223.55,2270149,2777643351,67195
M&amp;M,EQ,27-May-14,1229.15,1240.15,1240.15,1173.75,1200,1198,1193.65,812712,970094425.7,44357
M&amp;M,EQ,28-May-14,1198,1200,1207,1156.1,1165.5,1161.6,1167.85,1177751,1375431673,57007
M&amp;M,EQ,29-May-14,1161.6,1165,1184,1164.35,1172.95,1176.95,1174.94,1198529,1408198895,51555
M&amp;M,EQ,30-May-14,1176.95,1189,1278.7,1150,1233.05,1235.5,1215.41,4215542,5123598662,104139
M&amp;M,EQ,02-Jun-14,1235.5,1235,1269.5,1198,1238.15,1239.25,1234.27,1078154,1330735868,39636
M&amp;M,EQ,03-Jun-14,1239.25,1240.5,1242,1218.5,1226,1230.75,1232.13,1040600,1282157237,48704
M&amp;M,EQ,04-Jun-14,1230.75,1231.1,1248,1203,1214.3,1219.85,1223.99,849936,1040309908,72341
