Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
MARUTI,EQ,01-Jan-14,1763.9,1770,1776.9,1756.55,1763,1764,1767.52,214453,379049358.7,8019
MARUTI,EQ,02-Jan-14,1764,1759,1814.8,1759,1770,1768.4,1795.52,1565710,2811257306,32695
MARUTI,EQ,03-Jan-14,1768.4,1766,1808.65,1752.25,1807,1798.6,1783.2,583504,1040501738,28778
MARUTI,EQ,06-Jan-14,1798.6,1805,1819.4,1792.55,1808,1807.7,1805.2,549379,991736292.9,40747
MARUTI,EQ,07-Jan-14,1807.7,1838,1854.25,1820.1,1849,1845.75,1842.78,1614578,2975305366,64159
MARUTI,EQ,08-Jan-14,1845.75,1850,1860,1827.05,1850.4,1837.5,1842.67,1398622,2577200159,46114
MARUTI,EQ,09-Jan-14,1837.5,1858.8,1859,1801.1,1811.45,1811.8,1827.79,947521,1731873597,54092
MARUTI,EQ,10-Jan-14,1811.8,1811.1,1814.55,1768,1791.05,1794.1,1798.18,670378,1205462508,41112
MARUTI,EQ,13-Jan-14,1794.1,1800,1814.75,1765,1787.7,1782.75,1785.9,559984,1000073468,24506
MARUTI,EQ,14-Jan-14,1782.75,1783,1791.8,1759.1,1770.85,1773.35,1771.58,530939,940602003.5,36970
MARUTI,EQ,15-Jan-14,1773.35,1790,1807,1767.1,1803,1800.1,1788.35,612338,1095076670,34081
MARUTI,EQ,16-Jan-14,1800.1,1803.1,1810.8,1785,1786.65,1789.85,1794.91,429527,770962851.9,23834
MARUTI,EQ,17-Jan-14,1789.85,1778.2,1808.8,1766.3,1777,1775.2,1787.74,310359,554840080.3,18283
MARUTI,EQ,20-Jan-14,1775.2,1774,1797.35,1762,1779.9,1778.2,1780.57,340046,605475045.4,12708
MARUTI,EQ,21-Jan-14,1778.2,1782,1812.7,1782,1802,1801.9,1804.15,541958,977773367.3,24532
MARUTI,EQ,22-Jan-14,1801.9,1805.5,1819,1795,1805.3,1807.85,1809.59,424767,768652980.3,22093
MARUTI,EQ,23-Jan-14,1807.85,1796.1,1819.9,1788.45,1792,1793.8,1806.12,493794,891851647.9,22476
MARUTI,EQ,24-Jan-14,1793.8,1784.9,1804.9,1769.25,1770.8,1774.25,1785.19,377713,674289917.7,18148
MARUTI,EQ,27-Jan-14,1774.25,1755,1755,1690,1703.95,1702.3,1710.75,923081,1579157282,55790
MARUTI,EQ,28-Jan-14,1702.3,1715,1751.5,1540.4,1543.4,1566,1623.33,6599087,10712505678,191743
MARUTI,EQ,29-Jan-14,1566,1615.2,1697.8,1615.2,1675.05,1673.85,1669.77,6737926,11250770804,229212
MARUTI,EQ,30-Jan-14,1673.85,1668,1674,1625.6,1633.4,1635.9,1643.99,1651215,2714574011,78978
MARUTI,EQ,31-Jan-14,1635.9,1655,1655,1620.85,1641.4,1636.25,1635.36,729347,1192742562,43804
MARUTI,EQ,03-Feb-14,1636.25,1620,1660,1613.05,1614.85,1618.5,1630.85,957497,1561537855,46845
MARUTI,EQ,04-Feb-14,1618.5,1601,1630,1590,1619.85,1619.65,1614.05,703285,1135137286,29784
MARUTI,EQ,05-Feb-14,1619.65,1619,1623.1,1602.1,1606,1606.7,1609.7,627278,1009729641,34074
MARUTI,EQ,06-Feb-14,1606.7,1610.2,1644.95,1593,1643,1639.7,1622.31,1237835,2008152353,37502
MARUTI,EQ,07-Feb-14,1639.7,1654.95,1670.4,1648.5,1666,1664.95,1662.42,921283,1531561493,45377
MARUTI,EQ,10-Feb-14,1664.95,1665,1701.6,1665,1682.6,1688.85,1683.26,896683,1509350857,38532
MARUTI,EQ,11-Feb-14,1688.85,1690.25,1698,1668.1,1677,1678.15,1677.89,294694,494464491.8,13202
MARUTI,EQ,12-Feb-14,1678.15,1685,1689.8,1643.1,1645,1647.7,1657.63,442825,734041563.8,16399
MARUTI,EQ,13-Feb-14,1647.7,1646,1658.8,1632.5,1634,1641.25,1643.44,439092,721619868,27025
MARUTI,EQ,14-Feb-14,1641.25,1642,1653.55,1615.65,1640.05,1643.4,1634.44,451950,738686471.7,35772
MARUTI,EQ,17-Feb-14,1643.4,1635,1674.9,1635,1670.5,1665.7,1657.98,617227,1023348700,20013
MARUTI,EQ,18-Feb-14,1665.7,1675,1733.65,1666.1,1706,1708.45,1702.21,954637,1624991304,39224
MARUTI,EQ,19-Feb-14,1708.45,1714,1721,1692,1695.65,1698.1,1702.99,341015,580744321.2,17006
MARUTI,EQ,20-Feb-14,1698.1,1697,1706,1674.2,1682,1683.3,1688.88,344996,582656823.9,18581
MARUTI,EQ,21-Feb-14,1683.3,1686.1,1702.4,1671.55,1672.7,1675.6,1686.24,340948,574919784,22035
MARUTI,EQ,24-Feb-14,1675.6,1675,1695,1645.8,1683,1684.4,1678.31,326898,548635637.4,21061
MARUTI,EQ,25-Feb-14,1684.4,1690.1,1693.9,1672.4,1678,1678,1679.21,245384,412050832.1,16439
MARUTI,EQ,26-Feb-14,1678,1668,1684.1,1651,1670.5,1664.05,1665.35,584837,973956500.2,25505
MARUTI,EQ,28-Feb-14,1664.05,1640,1659.05,1573,1592,1589,1591.1,1768632,2814079092,121660
MARUTI,EQ,03-Mar-14,1589,1582,1616.9,1575,1582.5,1582.2,1593,1060385,1689189894,81950
MARUTI,EQ,04-Mar-14,1582.2,1577,1603,1550,1600.05,1597.4,1580.08,797764,1260530035,36271
MARUTI,EQ,05-Mar-14,1597.4,1614.7,1636.95,1593.55,1621.9,1625.4,1620.77,728060,1180018222,30932
MARUTI,EQ,06-Mar-14,1625.4,1629.7,1657,1618,1648,1650.45,1637.4,422906,692468158.5,16774
MARUTI,EQ,07-Mar-14,1650.45,1655,1747,1640.2,1738,1735.05,1706.01,944177,1610779025,35540
MARUTI,EQ,10-Mar-14,1735.05,1730,1817.25,1716.65,1799.45,1801.1,1777.13,1324717,2354196920,59960
MARUTI,EQ,11-Mar-14,1801.1,1804,1811.7,1744.8,1752,1754.15,1775.87,703249,1248875344,34014
MARUTI,EQ,12-Mar-14,1754.15,1725,1791,1680,1763,1764.05,1745.89,1443683,2520510849,50798
MARUTI,EQ,13-Mar-14,1764.05,1766,1790.9,1733,1748,1747.35,1767.46,641720,1134212121,23905
MARUTI,EQ,14-Mar-14,1747.35,1715,1756.35,1710,1737,1738.45,1735.77,588996,1022359556,22231
MARUTI,EQ,18-Mar-14,1738.45,1900,1909,1852.25,1869.5,1868.2,1870.92,1795672,3359564579,62885
MARUTI,EQ,19-Mar-14,1868.2,1873,1889,1850.75,1864.6,1869.75,1868.37,621508,1161207893,31913
MARUTI,EQ,20-Mar-14,1869.75,1869,1874.8,1848.05,1860.8,1856.55,1863.14,310199,577942884.9,17464
MARUTI,EQ,21-Mar-14,1856.55,1856.55,1879.25,1856.55,1867.95,1868.55,1869.2,284182,531192735.5,16736
MARUTI,EQ,22-Mar-14,1868.55,1871,1878.9,1868.65,1869.15,1872.5,1873.37,37419,70099757.1,1681
MARUTI,EQ,24-Mar-14,1872.5,1877.65,1903,1873.25,1882,1886.3,1887.1,329812,622389791.9,13445
MARUTI,EQ,25-Mar-14,1886.3,1881,1912,1875.85,1911,1901.7,1894.3,395158,748546270.2,19440
MARUTI,EQ,26-Mar-14,1901.7,1911,1949,1911,1940,1937.1,1938.09,634815,1230331376,25631
MARUTI,EQ,27-Mar-14,1937.1,1941,1968.4,1920.15,1931.5,1935.55,1939.84,825829,1601973507,25656
MARUTI,EQ,28-Mar-14,1935.55,1935.9,1956.55,1920.1,1927,1931.4,1935.93,326409,631904984.2,13198
MARUTI,EQ,31-Mar-14,1931.4,1937.95,1980,1925,1967.05,1971.75,1960.48,437613,857930843.2,18507
MARUTI,EQ,01-Apr-14,1971.75,1976,1980,1922.1,1927,1930.85,1944.93,288560,561228606.3,12985
MARUTI,EQ,02-Apr-14,1930.85,1935,1948.7,1922.85,1935.85,1933.2,1936.34,268932,520743929.1,11297
MARUTI,EQ,03-Apr-14,1933.2,1940,1964.4,1927,1940.3,1939.7,1942.35,307539,597348926.9,13048
MARUTI,EQ,04-Apr-14,1939.7,1940,1950,1917.15,1925,1927.2,1933.74,195927,378872453.3,8163
MARUTI,EQ,07-Apr-14,1927.2,1925,1936,1872,1906,1904.95,1897.68,319401,606122144.7,15414
MARUTI,EQ,09-Apr-14,1904.95,1890,1940,1876,1933.7,1932.5,1914.53,698363,1337040345,36905
MARUTI,EQ,10-Apr-14,1932.5,1933,1973.5,1916.1,1949,1959.95,1954.95,486855,951777905.9,18849
MARUTI,EQ,11-Apr-14,1959.95,1941,1948.7,1923.15,1936.25,1935.7,1933.72,504763,976070021.5,18600
MARUTI,EQ,15-Apr-14,1935.7,1924.3,1948.6,1904,1925,1927.2,1921.29,228758,439510885.8,8913
MARUTI,EQ,16-Apr-14,1927.2,1929.25,1964.8,1926.45,1935.3,1935.25,1948.09,371554,723821882.8,19426
MARUTI,EQ,17-Apr-14,1935.25,1937.5,1961.5,1915.9,1960.1,1951.35,1948.73,337629,657948048,18799
MARUTI,EQ,21-Apr-14,1951.35,1953.45,2001,1953.45,1989.4,1988.3,1986.94,481905,957517292.6,27682
MARUTI,EQ,22-Apr-14,1988.3,1998.95,2006.85,1967,1977,1975.6,1983.21,323792,642148065.2,19104
MARUTI,EQ,23-Apr-14,1975.6,1984.9,1994,1969,1985,1982.05,1982.1,398691,790247245.5,16899
MARUTI,EQ,25-Apr-14,1982.05,1990,1994,1917,1955,1956.2,1943.67,1064921,2069854823,38593
MARUTI,EQ,28-Apr-14,1956.2,1950,1966.8,1936.95,1951.75,1950.45,1952.58,258675,505083213.1,14492
MARUTI,EQ,29-Apr-14,1950.45,1955,1961,1910.3,1915.7,1916.5,1934.98,335612,649402740.8,20362
MARUTI,EQ,30-Apr-14,1916.5,1921.1,1940.8,1911,1927,1923,1928.5,243902,470363816.2,12751
MARUTI,EQ,02-May-14,1923,1895,1908.7,1880.05,1883.4,1883.4,1892.15,324650,614285840.5,13721
MARUTI,EQ,05-May-14,1883.4,1883,1916.4,1866,1898.85,1897.85,1891.02,352889,667321516.9,14913
MARUTI,EQ,06-May-14,1897.85,1899,1916.05,1883,1910,1910.25,1902.39,239206,455063693.1,11999
MARUTI,EQ,07-May-14,1910.25,1905.2,1907.2,1878.1,1887.85,1881.25,1888.11,246112,464685540.5,6185
MARUTI,EQ,08-May-14,1881.25,1888,1900,1876.2,1900,1896.6,1892.63,180796,342179468.9,11931
MARUTI,EQ,09-May-14,1896.6,1880,1983.75,1880,1976.15,1974.85,1953.16,457287,893156670.3,23085
MARUTI,EQ,12-May-14,1974.85,1975,2064.85,1965.05,2052.95,2049.9,2029.35,555623,1127554808,30399
MARUTI,EQ,13-May-14,2049.9,2080,2120,2042.55,2090.3,2090.35,2091.43,528807,1105965329,24689
MARUTI,EQ,14-May-14,2090.35,2092,2120,2059.5,2082,2085.2,2077.22,329237,683898800.2,20592
MARUTI,EQ,15-May-14,2085.2,2082,2127,2078,2127,2117.85,2107.3,441637,930662807.1,30422
MARUTI,EQ,16-May-14,2117.85,2200,2318.5,2140.1,2157.65,2152.15,2224.43,808438,1798313174,35150
MARUTI,EQ,19-May-14,2152.15,2190,2250,2190,2211.95,2214.65,2228.23,490566,1093093463,21615
MARUTI,EQ,20-May-14,2214.65,2222,2236.8,2182.55,2190.9,2194,2203.84,225127,496143375.5,10259
MARUTI,EQ,21-May-14,2194,2201,2209.95,2166,2166,2169.2,2181.69,186665,407244273.8,15997
MARUTI,EQ,22-May-14,2169.2,2204.95,2287,2204.95,2256.45,2264.8,2266.31,679922,1540912761,28352
MARUTI,EQ,23-May-14,2264.8,2278.7,2403,2265.35,2390.15,2385.85,2319.45,397790,922655205.2,19261
MARUTI,EQ,26-May-14,2385.85,2407.5,2505,2314.05,2340.1,2341.3,2431.79,778712,1893663197,32119
MARUTI,EQ,27-May-14,2341.3,2345.95,2368,2289,2300,2302.05,2326.56,241821,562610673.7,14061
MARUTI,EQ,28-May-14,2302.05,2290,2360.3,2285.25,2310,2309.95,2318.88,352579,817587098.3,16212
MARUTI,EQ,29-May-14,2309.95,2303.1,2337.7,2255.05,2313.55,2305.85,2301.31,352983,812322013,13436
MARUTI,EQ,30-May-14,2305.85,2314.15,2339.95,2254,2266.15,2271.8,2294.53,189180,434079671.5,10660
MARUTI,EQ,02-Jun-14,2271.8,2270,2340.35,2270,2339,2324.3,2316,246577,571073536.1,11434
MARUTI,EQ,03-Jun-14,2324.3,2344.7,2356.8,2310,2342.3,2336.85,2338.01,372134,870053804.2,14850
MARUTI,EQ,04-Jun-14,2336.85,2339.3,2393.05,2338,2377.75,2372.05,2371.23,296026,701946862.8,15244
MARUTI,EQ,05-Jun-14,2372.05,2410,2427,2367.15,2371,2381.2,2393.67,553410,1324682144,28945
MARUTI,EQ,06-Jun-14,2381.2,2402,2412.9,2380,2388,2392.05,2394.88,252012,603539503.8,9514
MARUTI,EQ,09-Jun-14,2392.05,2415,2449,2387.05,2432.5,2435.15,2423.73,315081,763671343.5,13426
MARUTI,EQ,10-Jun-14,2435.15,2475,2484,2411,2473.45,2464.3,2453.9,559445,1372822605,24317
MARUTI,EQ,11-Jun-14,2464.3,2470,2482.5,2433,2440,2448.55,2455.43,395488,971093061.7,25015
MARUTI,EQ,12-Jun-14,2448.55,2420,2488.35,2406.75,2486.8,2480.85,2463.66,446513,1100054725,19474
MARUTI,EQ,13-Jun-14,2480.85,2485,2496,2393.55,2404.8,2403.35,2445.95,328108,802536288.8,15222
MARUTI,EQ,16-Jun-14,2403.35,2399,2409,2360.5,2380,2381.15,2381.72,225806,537807346.7,16920
MARUTI,EQ,17-Jun-14,2381.15,2388,2422.5,2381,2407,2414.45,2403.53,190284,457353537.7,9858
MARUTI,EQ,18-Jun-14,2414.45,2415,2449,2400,2435,2435,2426.4,501190,1216087932,25913
MARUTI,EQ,19-Jun-14,2435,2441,2449,2371,2371.25,2380.05,2398.56,305893,733702156.7,20106
MARUTI,EQ,20-Jun-14,2380.05,2363.25,2397.35,2362,2365.15,2366.4,2377.94,135952,323285204.6,9454
MARUTI,EQ,23-Jun-14,2366.4,2392,2394.95,2351.05,2385,2380.3,2372.9,158501,376106957.4,8853
MARUTI,EQ,24-Jun-14,2380.3,2390,2422,2389.2,2419,2414.6,2407.13,217974,524690792.4,9391
MARUTI,EQ,25-Jun-14,2414.6,2414.95,2528,2391.1,2464,2471,2441.58,430866,1051994633,17162
MARUTI,EQ,26-Jun-14,2471,2485,2503.95,2437.5,2480.35,2486.9,2471.11,539042,1332031392,23707
MARUTI,EQ,27-Jun-14,2486.9,2480.05,2480.05,2440,2443,2454.7,2462.18,151990,374226100,9079
MARUTI,EQ,30-Jun-14,2454.7,2454.95,2469.5,2428.2,2437.5,2439.35,2446.91,240672,588902342.8,14562
MARUTI,EQ,01-Jul-14,2439.35,2453.8,2605.4,2446.6,2582.5,2583.8,2552.18,1505073,3841210486,70942
MARUTI,EQ,02-Jul-14,2583.8,2593.8,2665,2568.25,2641.35,2641.95,2628.6,775548,2038603881,37878
MARUTI,EQ,03-Jul-14,2641.95,2650,2662,2615,2633.1,2629.9,2637.03,395691,1043448810,18847
MARUTI,EQ,04-Jul-14,2629.9,2627,2654.3,2616.65,2643,2642.5,2638.74,346996,915632823.5,16099
MARUTI,EQ,07-Jul-14,2642.5,2649,2660,2618.6,2645,2638.85,2635.09,252391,665071902,9741
MARUTI,EQ,08-Jul-14,2638.85,2660,2661.15,2578,2600,2589.65,2608.79,325370,848822830.3,14218
MARUTI,EQ,09-Jul-14,2589.65,2607,2607,2492.2,2524.9,2516.45,2558.08,406355,1039488844,20630
