Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
NTPC,EQ,01-Jan-14,137,137.5,138.65,136.6,138.05,138.2,137.53,1213227,166858408.7,7992
NTPC,EQ,02-Jan-14,138.2,138.8,138.8,134.65,134.8,134.9,136.49,4764799,650338884.8,30661
NTPC,EQ,03-Jan-14,134.9,135,135.5,131.5,132.05,131.75,132.93,7228862,960902555.3,51709
NTPC,EQ,06-Jan-14,131.75,132.8,133,130.35,132.2,132.15,131.92,3035769,400477198.8,20584
NTPC,EQ,07-Jan-14,132.15,132.15,132.8,129.5,130,129.85,130.43,3445366,449381369.4,29290
NTPC,EQ,08-Jan-14,129.85,130.65,132.9,129.1,129.3,129.55,130.61,5938919,775705229.1,64402
NTPC,EQ,09-Jan-14,129.55,129.8,134,129.5,133.5,133.65,133.18,7315773,974312053.7,43439
NTPC,EQ,10-Jan-14,133.65,133.75,133.9,131,131.1,131.4,132.58,2480925,328929292.2,18407
NTPC,EQ,13-Jan-14,131.4,130.5,133.4,130.4,132.5,132.75,132.27,2283443,302040321.9,11981
NTPC,EQ,14-Jan-14,132.75,131.7,132.5,130.8,131.3,131.25,131.37,2715535,356752102.5,27700
NTPC,EQ,15-Jan-14,131.25,132.25,132.85,131.45,132.1,132.25,132.17,5583147,737899278,51008
NTPC,EQ,16-Jan-14,132.25,132.55,134.2,132.55,133.05,133.15,133.79,5238158,700806217.8,24330
NTPC,EQ,17-Jan-14,133.15,133.2,133.75,131.15,132,131.6,132.99,9686445,1288199154,41462
NTPC,EQ,20-Jan-14,131.6,132,133.5,131.5,131.55,131.85,132.33,2288260,302798798.5,10282
NTPC,EQ,21-Jan-14,131.85,131.6,133,129.75,130.7,130.75,130.68,9067857,1184945918,19701
NTPC,EQ,22-Jan-14,130.75,130.5,133.2,130.5,132.4,132.65,132.61,4438582,588611492,22067
NTPC,EQ,23-Jan-14,132.65,131.75,132.4,130.75,131.3,131.1,131.62,3964418,521805665.2,14937
NTPC,EQ,24-Jan-14,131.1,130.8,131.9,130.65,131.65,131.5,131.16,3080062,403977460.3,19052
NTPC,EQ,27-Jan-14,131.5,130.25,130.7,129.1,129.5,129.45,129.61,2699822,349929077.9,16514
NTPC,EQ,28-Jan-14,129.45,129.8,132,128.15,128.4,128.5,129.12,3764855,486117949.9,26133
NTPC,EQ,29-Jan-14,128.5,129.75,130.5,127.25,127.75,127.8,128.82,4019121,517762091.2,45412
NTPC,EQ,30-Jan-14,127.8,127.05,130.15,126.15,128.6,128.2,127.67,6001934,766296597.5,35561
NTPC,EQ,31-Jan-14,128.2,125.7,126.95,123.5,126.2,126.45,125.52,4369223,548424913,33801
NTPC,EQ,03-Feb-14,126.45,126,126.3,125.1,126.2,126,125.74,2904211,365186199.4,35093
NTPC,EQ,04-Feb-14,126,125.9,130.65,125.4,130.6,130.2,128.75,10508446,1352958940,45421
NTPC,EQ,05-Feb-14,130.2,130.6,132.7,127.1,132.5,132.4,130.55,8496884,1109301683,67970
NTPC,EQ,06-Feb-14,132.4,132,134.1,130.8,133.3,133.6,132.85,8205918,1090160937,36328
NTPC,EQ,07-Feb-14,133.6,133.7,136.1,132.75,135.8,135.95,135.24,12080553,1633743281,33126
NTPC,EQ,10-Feb-14,135.95,135.15,136.6,133.3,133.8,135.2,135.34,10642466,1440344747,67668
NTPC,EQ,11-Feb-14,135.2,134.4,134.7,130.05,131.25,132.15,133.65,3603027,481554142.9,13030
NTPC,EQ,12-Feb-14,132.15,132.2,132.5,130.05,131,130.75,131.49,6154520,809230696.3,38955
NTPC,EQ,13-Feb-14,130.75,131.2,131.45,129.65,130.1,130.1,130.25,6901586,898950260.7,12541
