Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
ONGC,EQ,01-Jan-14,288.9,290,290.9,287.35,288.1,288.1,288.89,656262,189589861.3,9407
ONGC,EQ,02-Jan-14,288.1,289.95,292.85,280.15,281.6,281.7,286.24,1985332,568287494.9,48251
ONGC,EQ,03-Jan-14,281.7,283,285.75,275.1,276.5,275.8,280.07,3826218,1071606576,77622
ONGC,EQ,06-Jan-14,275.8,278,284.8,277.15,281.05,280.95,281.94,2316164,653020921.1,46435
ONGC,EQ,07-Jan-14,280.95,281,282.9,275.05,275.7,276.25,277.47,2300324,638264030.7,37504
ONGC,EQ,08-Jan-14,276.25,277.15,278.7,272.1,273,273.2,275.52,2217349,610926828.1,51314
ONGC,EQ,09-Jan-14,273.2,274,281.45,271,281,280.3,277.92,2572754,715010671.5,42965
ONGC,EQ,10-Jan-14,280.3,280.95,287.7,276,283.5,284.05,284.07,4362261,1239187882,58091
ONGC,EQ,13-Jan-14,284.05,290,293.9,288.5,292.1,292.9,291.27,3595971,1047382204,46246
ONGC,EQ,14-Jan-14,292.9,292.9,292.9,286.5,291,290.25,289.69,2686109,778141946.3,48929
ONGC,EQ,15-Jan-14,290.25,292,294.8,288,291.3,291.8,291.16,2183231,635679363.9,47801
ONGC,EQ,16-Jan-14,291.8,294,294,283.65,287.45,286.95,287.23,2858379,821014060.6,49921
ONGC,EQ,17-Jan-14,286.95,284.05,291.5,283.55,287.25,287.5,288.1,4027546,1160347052,73533
ONGC,EQ,20-Jan-14,287.5,287,291.5,284.55,286.7,287.15,287.14,3971327,1140318699,60283
ONGC,EQ,21-Jan-14,287.15,287.55,289,284.45,287.25,287,286.54,3288577,942320104.4,46254
ONGC,EQ,22-Jan-14,287,287,290.95,285,290.5,289.8,287.5,2397661,689331540.2,53542
ONGC,EQ,23-Jan-14,289.8,289.05,289.5,283.75,284.9,285.1,285.13,3264028,930678876.3,70932
ONGC,EQ,24-Jan-14,285.1,284.25,285.55,281.45,284.1,283.2,283.27,2275351,644537453.3,46389
ONGC,EQ,27-Jan-14,283.2,276.1,281.4,275.75,276.55,277,278.18,2676954,744669474,53572
ONGC,EQ,28-Jan-14,277,275.05,280.5,274.55,275.05,275.25,276.67,2059985,569944301,43935
ONGC,EQ,29-Jan-14,275.25,275.75,278.8,274,276.6,277,276.03,2294659,633397616.5,43667
ONGC,EQ,30-Jan-14,277,274,279.1,271.15,272.05,272.2,274.2,6064188,1662815782,49608
ONGC,EQ,31-Jan-14,272.2,273.25,276.35,270.1,275.85,275.55,274.01,3087288,845959734.6,36124
ONGC,EQ,03-Feb-14,275.55,273,275.3,266.05,266.55,267.8,270.2,3861042,1043243289,58553
ONGC,EQ,04-Feb-14,267.8,265.55,269.2,264.15,267.9,268,267.28,3104062,829641581.1,55702
ONGC,EQ,05-Feb-14,268,267.9,271.5,265.4,270.35,270.25,268.41,2803119,752389658.9,60871
ONGC,EQ,06-Feb-14,270.25,270.9,273,266,267.8,267.9,268.69,2060174,553540204.5,48799
ONGC,EQ,07-Feb-14,267.9,270.4,271.85,267.7,269.25,269.3,270.04,1741598,470293954.6,25682
ONGC,EQ,10-Feb-14,269.3,269,274.2,269,272.1,272.25,271.76,2325246,631910129.1,32509
ONGC,EQ,11-Feb-14,272.25,273.5,276.3,270.85,276,275.95,274.36,5011587,1374996288,64995
ONGC,EQ,12-Feb-14,275.95,277.1,283.8,276,282.6,283.1,281.05,3322056,933656166.8,71202
ONGC,EQ,13-Feb-14,283.1,283,284,272.55,274,273.5,275.68,2125612,585983451,36319
ONGC,EQ,14-Feb-14,273.5,275,277.35,271.1,275.05,276.4,273.85,2508935,687074162.9,45606
ONGC,EQ,17-Feb-14,276.4,277,280,272.7,277.1,277.75,276.78,1474196,408033510.7,44777
ONGC,EQ,18-Feb-14,277.75,277.1,278.95,271,276.6,276.8,275.73,2590285,714230084.9,63468
ONGC,EQ,19-Feb-14,276.8,277,279.95,275.65,279.5,279.4,278.39,1655701,460931698.4,29854
ONGC,EQ,20-Feb-14,279.4,277.1,279,275.55,276.8,276.2,276.76,1254646,347233492.8,15821
ONGC,EQ,21-Feb-14,276.2,276.95,278.85,275.7,277,276.95,277.05,1186738,328783985.9,39047
ONGC,EQ,24-Feb-14,276.95,276.1,284,276.1,283.05,282.2,280.3,1511420,423655213.4,34574
ONGC,EQ,25-Feb-14,282.2,283.95,284.4,279.3,281.5,281.75,281.25,1680566,472654624,74244
ONGC,EQ,26-Feb-14,281.75,281,285.7,277.85,283,283.45,282.24,6390295,1803617981,75884
ONGC,EQ,28-Feb-14,283.45,282.3,292.75,282.3,288.95,291.35,289.64,4181097,1210993677,81828
ONGC,EQ,03-Mar-14,291.35,289.55,294,287,291.2,290.6,290.37,2184186,634227535.1,109099
ONGC,EQ,04-Mar-14,290.6,290.6,297.7,289.3,296.4,295.85,294.22,2096982,616973474.5,73907
ONGC,EQ,05-Mar-14,295.85,297,303.05,297,300.8,300.5,300.37,3527160,1059459951,66546
ONGC,EQ,06-Mar-14,300.5,300.9,310,300.5,309.1,308.85,306.11,2450798,750201941.8,66854
ONGC,EQ,07-Mar-14,308.85,308.9,318.2,305.5,317.2,316.1,312.67,3488871,1090871853,74281
ONGC,EQ,10-Mar-14,316.1,313.55,326.75,310.5,317.5,319.9,319.12,5252702,1676228813,67828
ONGC,EQ,11-Mar-14,319.9,317.5,324.95,316.55,322.7,323.1,320.55,5613633,1799455780,99336
ONGC,EQ,12-Mar-14,323.1,320.75,321.8,315.2,317.5,316.95,318.21,3949998,1256920598,70126
ONGC,EQ,13-Mar-14,316.95,317,327,316.4,324.4,324.15,323.95,4992895,1617458859,59209
ONGC,EQ,14-Mar-14,324.15,322.1,328.5,321.35,322,322.75,324.37,3147651,1020999738,39449
ONGC,EQ,18-Mar-14,322.75,323,332,321.55,323.95,324.95,327.4,7022283,2299063796,67404
ONGC,EQ,19-Mar-14,324.95,326.45,328.45,312.3,314.25,313.8,317.71,4366289,1387212443,82553
ONGC,EQ,20-Mar-14,313.8,314,317.5,309,316.5,315.8,314.11,4948327,1554332351,104810
ONGC,EQ,21-Mar-14,315.8,317.2,318.85,305.35,308.1,306.4,309.01,8908566,2752843508,74629
ONGC,EQ,22-Mar-14,306.4,307.45,308.45,305.45,308,307.9,307.59,242167,74487132.3,2677
ONGC,EQ,24-Mar-14,307.9,310.4,322,310.4,321.35,321.1,317.23,6719742,2131701379,75156
ONGC,EQ,25-Mar-14,321.1,309,321.4,306.25,320.3,319.9,313.49,7156466,2243489723,90660
ONGC,EQ,26-Mar-14,319.9,320.5,327.8,320,325,325.3,324.2,3797124,1231042834,63258
