Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
POWERGRID,EQ,01-Jan-14,99.9,99.85,99.9,99.15,99.5,99.5,99.48,1792257,178290584.3,9211
POWERGRID,EQ,02-Jan-14,99.5,100.1,102.4,100,101.7,101.9,101.43,16723346,1696267689,48312
POWERGRID,EQ,03-Jan-14,101.9,101.9,102.75,100.15,100.65,100.7,101.14,6030050,609900026.8,34012
POWERGRID,EQ,06-Jan-14,100.7,101,101,99.1,99.6,99.9,99.84,3714326,370852242.9,15142
POWERGRID,EQ,07-Jan-14,99.9,99.9,100,98.55,98.8,98.8,99.38,7173768,712930303.2,47515
POWERGRID,EQ,08-Jan-14,98.8,98.55,99.5,98.5,98.7,98.75,98.91,5992789,592739955.4,30589
POWERGRID,EQ,09-Jan-14,98.75,98.75,99.5,98.5,98.8,98.85,98.91,7295617,721596512.9,30338
POWERGRID,EQ,10-Jan-14,98.85,99.5,99.5,96.55,97.25,97.45,97.34,12188622,1186472192,53981
POWERGRID,EQ,13-Jan-14,97.45,96.8,98.4,96.8,97.9,98,98,6623537,649094561.3,33309
POWERGRID,EQ,14-Jan-14,98,97.9,98.5,97.15,97.55,97.45,97.6,3522541,343787264.1,27854
POWERGRID,EQ,15-Jan-14,97.45,97.55,99.5,97.1,97.5,97.5,97.86,4628819,452984413.3,30272
POWERGRID,EQ,16-Jan-14,97.5,97.9,98.65,97.65,97.9,98.25,98.15,8533114,837516941.4,70490
POWERGRID,EQ,17-Jan-14,98.25,98,98.25,96.7,97.55,97.25,97.39,6316862,615208783.4,31805
POWERGRID,EQ,20-Jan-14,97.25,97,98.9,97,98.35,98.5,98.21,7341050,720981993.2,34573
POWERGRID,EQ,21-Jan-14,98.5,98.15,98.75,97.7,97.9,97.85,97.96,6541602,640844012,49045
POWERGRID,EQ,22-Jan-14,97.85,97.9,98.9,97.85,97.9,98.1,98.11,6927453,679670577.8,51585
