Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
RELIANCE,EQ,01-Jan-14,895.2,897.45,898.25,887.6,888.25,888.8,891.42,1337074,1191892428,26754
RELIANCE,EQ,02-Jan-14,888.8,887.7,896,870.1,873,875,885.11,1376901,1218714772,45289
RELIANCE,EQ,03-Jan-14,875,871.6,873.35,855,865.2,864.25,864.22,2933613,2535278982,95307
RELIANCE,EQ,06-Jan-14,864.25,862.1,863.25,850,855.15,854.95,854.84,3043781,2601945347,69293
RELIANCE,EQ,07-Jan-14,854.95,854.6,859.95,840.05,840.65,842.1,846.4,3957111,3349305776,202802
RELIANCE,EQ,08-Jan-14,842.1,844.4,857.35,844.4,849,849.05,850.03,2909048,2472792581,129198
RELIANCE,EQ,09-Jan-14,849.05,850.45,853.8,845.05,853,850.7,849.4,1899340,1613298089,94510
RELIANCE,EQ,10-Jan-14,850.7,848.35,876.3,848,856.15,858.15,863.52,3392170,2929214449,107766
RELIANCE,EQ,13-Jan-14,858.15,868.25,883,868,881.5,880.4,876.44,2756390,2415820516,61589
RELIANCE,EQ,14-Jan-14,880.4,878.5,884.55,872.45,879.2,881.5,880.74,2760267,2431078193,69490
RELIANCE,EQ,15-Jan-14,881.5,884.7,895,881,882.5,885.45,889.77,2893960,2574946741,89015
RELIANCE,EQ,16-Jan-14,885.45,888.7,893.3,882.05,885.2,886.15,888.21,4123266,3662316129,84894
RELIANCE,EQ,17-Jan-14,886.15,889.15,896.9,880.25,883.5,884.75,890.33,3534630,3146980529,96563
RELIANCE,EQ,20-Jan-14,884.75,886.9,889,866.1,868,869.75,872.35,3789008,3305346255,124858
RELIANCE,EQ,21-Jan-14,869.75,872.65,873.6,862,862.9,863.05,865.66,2241570,1940428294,75224
RELIANCE,EQ,22-Jan-14,863.05,863.5,875.35,858.15,868,872.45,869.82,1947009,1693549591,69492
RELIANCE,EQ,23-Jan-14,872.45,860.6,871.3,860.6,866,865.8,866.4,3146981,2726544717,95616
RELIANCE,EQ,24-Jan-14,865.8,862,874.65,861.1,866.8,867.65,868.87,2715344,2359271346,78817
RELIANCE,EQ,27-Jan-14,867.65,856,860.8,840.35,846.75,843.15,850.73,2822051,2400797631,87797
RELIANCE,EQ,28-Jan-14,843.15,847,856,842.7,845.7,844.85,848.94,2645575,2245943921,81449
RELIANCE,EQ,29-Jan-14,844.85,849.8,852.5,835,835.6,836.6,843.22,2828526,2385070075,65752
RELIANCE,EQ,30-Jan-14,836.6,831.4,833.85,822.2,825.6,825,827.27,3223490,2666709542,68894
RELIANCE,EQ,31-Jan-14,825,827,833.45,826.15,830.55,831.15,830.2,2523182,2094742988,85962
RELIANCE,EQ,03-Feb-14,831.15,826.2,829.8,819.45,820.5,820.9,824.7,1880728,1551033363,40585
RELIANCE,EQ,04-Feb-14,820.9,814.5,826.65,813.15,823.75,821.55,819.02,2825803,2314386691,90471
RELIANCE,EQ,05-Feb-14,821.55,820.1,821.5,806.9,816.3,817.25,815.06,2582636,2104992138,75411
RELIANCE,EQ,06-Feb-14,817.25,820,824.1,808.15,815.9,815.85,816.24,2474757,2020001612,73975
RELIANCE,EQ,07-Feb-14,815.85,822.1,823.8,810.6,813,814.45,816.81,1933597,1579390182,62348
RELIANCE,EQ,10-Feb-14,814.45,815.25,825.6,811.15,821.75,821.95,821.91,2364740,1943602538,47168
RELIANCE,EQ,11-Feb-14,821.95,823,825,802.75,803.75,805.25,810.89,2882244,2337196118,98774
RELIANCE,EQ,12-Feb-14,805.25,808,821.9,807.4,815,817.9,816.72,2246719,1834938958,80982
RELIANCE,EQ,13-Feb-14,817.9,818.9,818.9,805.05,806.8,807.4,810.99,1978914,1604882419,61870
RELIANCE,EQ,14-Feb-14,807.4,811.9,824,808,821.9,822.05,817.07,2107250,1721764400,71157
RELIANCE,EQ,17-Feb-14,822.05,817.65,822,807.05,812.75,812.3,813.47,2070622,1684380684,47002
RELIANCE,EQ,18-Feb-14,812.3,807.1,817.85,807.1,812.3,813.15,814.74,1312359,1069228271,35271
RELIANCE,EQ,19-Feb-14,813.15,813,820,810,813.1,812.25,814.84,1401247,1141789088,46860
RELIANCE,EQ,20-Feb-14,812.25,811.3,813.7,803.1,804.15,805.45,807.99,1838151,1485198578,59171
RELIANCE,EQ,21-Feb-14,805.45,807.1,816,805.6,810.75,811.5,810.98,1430079,1159765008,50061
RELIANCE,EQ,24-Feb-14,811.5,808.05,814.95,805.3,812.9,812.35,809.76,1554509,1258781653,55055
RELIANCE,EQ,25-Feb-14,812.35,814.3,816,807.55,809.45,810.55,812.26,1609074,1306981466,61409
RELIANCE,EQ,26-Feb-14,810.55,811,816.85,808.25,812,810.7,811.85,3110571,2525321438,70887
RELIANCE,EQ,28-Feb-14,810.7,810.7,815.35,793.1,797.3,799.95,801.57,4331622,3472076789,150067
RELIANCE,EQ,03-Mar-14,799.95,800.1,806.8,797.15,804.25,803.4,802.72,2659675,2134976241,86665
RELIANCE,EQ,04-Mar-14,803.4,803,814.65,802.6,812.35,812.95,810.74,2056575,1667345286,70600
RELIANCE,EQ,05-Mar-14,812.95,815.55,818,805.15,806.5,807,809.77,2703603,2189299347,144272
RELIANCE,EQ,06-Mar-14,807,809.35,824.4,809.3,822.25,822.45,818.32,2325283,1902824246,70837
RELIANCE,EQ,07-Mar-14,822.45,825,874,825,867.9,869.4,855.41,7679752,6569368606,229349
RELIANCE,EQ,10-Mar-14,869.4,865.1,903.65,863.4,883.9,885.45,889.63,7513409,6684155923,240401
RELIANCE,EQ,11-Mar-14,885.45,885,887.8,872.1,874,874.75,878.5,2921335,2566388632,77472
RELIANCE,EQ,12-Mar-14,874.75,874,882.9,867.65,869.25,871.35,873.56,2155857,1883269554,76702
RELIANCE,EQ,13-Mar-14,871.35,875,894.75,874.7,877.9,879.55,887.29,3936620,3492940479,97516
RELIANCE,EQ,14-Mar-14,879.55,874,889.95,869.05,886,886.15,878.11,3780891,3320035661,79517
RELIANCE,EQ,18-Mar-14,886.15,889.5,908.8,889.5,894.5,896.45,900.41,4351046,3917706432,135768
RELIANCE,EQ,19-Mar-14,896.45,900,909.9,895.25,902.9,903,902.16,3743369,3377121566,95735
RELIANCE,EQ,20-Mar-14,903,901.6,907.5,898.15,905.7,906,905.58,6791651,6150356376,72165
RELIANCE,EQ,21-Mar-14,906,907,913.35,882.15,884.6,885.8,894.3,5040481,4507714576,101131
RELIANCE,EQ,22-Mar-14,885.8,887.6,889.85,883.55,889.4,888.15,887.08,231511,205368142.6,5236
RELIANCE,EQ,24-Mar-14,888.15,891.25,908.75,891.1,906,905.4,903.35,6586731,5950153930,95424
RELIANCE,EQ,25-Mar-14,905.4,879,882.5,872.5,877.8,879.3,878.62,7154556,6286122267,92718
RELIANCE,EQ,26-Mar-14,879.3,881.25,902.95,881.15,891,891.2,892.07,3156965,2816248771,71768
RELIANCE,EQ,27-Mar-14,891.2,894.85,904.9,892.1,899,900.75,901.67,12665322,11419909214,75157
RELIANCE,EQ,28-Mar-14,900.75,900,919.95,900,914.8,916.15,914.31,4267110,3901466914,75417
RELIANCE,EQ,31-Mar-14,916.15,916.25,939.8,913.2,937.8,930.75,923.95,4286368,3960375109,109416
RELIANCE,EQ,01-Apr-14,930.75,936,945,929.3,941.4,942.6,937.24,3575180,3350811073,91068
RELIANCE,EQ,02-Apr-14,942.6,945,962,938.1,955.95,958.2,955.12,6121499,5846773766,96616
RELIANCE,EQ,03-Apr-14,958.2,956.8,962.95,940.4,951.5,952.65,951.03,6069088,5771857878,79015
RELIANCE,EQ,04-Apr-14,952.65,952,953.25,941.55,944.25,944.25,945.66,2860462,2705035429,73252
RELIANCE,EQ,07-Apr-14,944.25,944,954.95,934.35,941,944.15,942.57,2949923,2780508378,69335
RELIANCE,EQ,09-Apr-14,944.15,950,966.7,947.15,966.6,962.15,954.44,3071917,2931955188,116088
RELIANCE,EQ,10-Apr-14,962.15,964.7,973.9,962.2,968.95,969.05,968.44,2434297,2357477318,79645
RELIANCE,EQ,11-Apr-14,969.05,962.3,971.05,950.6,951.25,953.75,958.39,2672508,2561297698,78289
RELIANCE,EQ,15-Apr-14,953.75,950,954,936.6,945.8,949.1,944.92,2117715,2001067225,58753
RELIANCE,EQ,16-Apr-14,949.1,946.5,959,938.1,941.8,941.3,948.01,2830152,2683006479,64798
RELIANCE,EQ,17-Apr-14,941.3,945,961.8,943.8,961,959.1,954.84,1793418,1712423998,54277
RELIANCE,EQ,21-Apr-14,959.1,969.95,969.95,956.1,957,959.6,960.85,2701214,2595459751,77933
RELIANCE,EQ,22-Apr-14,959.6,960,988.75,956.1,966.95,967.75,973.54,4418930,4301996176,96518
RELIANCE,EQ,23-Apr-14,967.75,969,982,964.25,966.8,967.15,970.17,3494693,3390452355,64113
RELIANCE,EQ,25-Apr-14,967.15,968,969,946,946.6,948.25,952.06,3029220,2883995660,121611
RELIANCE,EQ,28-Apr-14,948.25,949.8,956,941.35,945.65,945,949.29,3796899,3604370609,59276
RELIANCE,EQ,29-Apr-14,945,946.05,951.75,938,940.5,940.3,942.04,1919298,1808054294,59007
RELIANCE,EQ,30-Apr-14,940.3,943.9,960,929.1,936.1,935.8,944.61,3289582,3107378166,84582
RELIANCE,EQ,02-May-14,935.8,940,947.4,926,928.1,928.1,933.63,2073376,1935770461,62398
RELIANCE,EQ,05-May-14,928.1,925,958.5,925,944.4,946.85,946.08,3474292,3286954568,60809
RELIANCE,EQ,06-May-14,946.85,947.9,967,947.55,965.15,963.35,960.34,2832651,2720312054,54806
RELIANCE,EQ,07-May-14,963.35,960.1,971.4,957.05,958.9,960.85,964.17,2416483,2329911071,49398
RELIANCE,EQ,08-May-14,960.85,963.1,970.1,950.75,962,960.3,960.99,2731382,2624820061,54741
RELIANCE,EQ,09-May-14,960.3,955.8,999,955.8,997,997.6,986.41,4217843,4160518620,145066
RELIANCE,EQ,12-May-14,997.6,994.9,1049,994.1,1027,1028.7,1028.7,7051280,7253673332,174802
RELIANCE,EQ,13-May-14,1028.7,1040,1068.8,1034.5,1061.1,1063.4,1049.33,6140492,6443380127,147434
RELIANCE,EQ,14-May-14,1063.4,1064,1068,1041.1,1044.9,1045.5,1050.6,4428958,4653078319,99674
RELIANCE,EQ,15-May-14,1045.5,1045.5,1060,1039.25,1058,1053.4,1049.48,4769324,5005306039,90269
RELIANCE,EQ,16-May-14,1053.4,1090.1,1145.25,1062.1,1075,1079.25,1105.14,12031151,13296117101,257255
RELIANCE,EQ,19-May-14,1079.25,1091,1124.75,1086.9,1115.25,1120.05,1107.68,5439813,6025545018,136549
RELIANCE,EQ,20-May-14,1120.05,1127.9,1129,1075.7,1080,1079.85,1089.48,5145199,5605582755,173348
RELIANCE,EQ,21-May-14,1079.85,1079.85,1102.95,1073.75,1075,1078.4,1083.67,5026907,5447486809,150006
RELIANCE,EQ,22-May-14,1078.4,1086,1113.4,1084.7,1103.2,1100.8,1100.57,4284833,4715737326,146254
RELIANCE,EQ,23-May-14,1100.8,1111.55,1132,1102,1129,1127.45,1117.42,3786896,4231558829,118761
RELIANCE,EQ,26-May-14,1127.45,1132.5,1140,1075,1098.95,1101.7,1118.82,3674151,4110703985,106221
