Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
TATASTEEL,EQ,01-Jan-14,424.2,425,426.8,423.65,426,425.9,425.61,1193408,507920530.4,18827
TATASTEEL,EQ,02-Jan-14,425.9,426,435.5,417,418,419.2,427.92,4000266,1711775549,58196
TATASTEEL,EQ,03-Jan-14,419.2,416.5,419.4,409,413.25,412.5,413.1,3183770,1315202483,47622
TATASTEEL,EQ,06-Jan-14,412.5,410.95,415.7,404.6,407.7,408.3,410.35,2704614,1109847972,38597
TATASTEEL,EQ,07-Jan-14,408.3,409.9,411.9,392.55,393,394.7,400.72,3900410,1562980259,63469
TATASTEEL,EQ,08-Jan-14,394.7,394.65,397.25,389.6,391.4,392.4,393.53,4541009,1787033554,93400
TATASTEEL,EQ,09-Jan-14,392.4,394.35,399.3,387.6,391.2,390.8,393.17,3988227,1568070761,66816
TATASTEEL,EQ,10-Jan-14,390.8,392.8,393.2,383.5,384,384.5,387.56,3265618,1265632066,49272
TATASTEEL,EQ,13-Jan-14,384.5,385.25,389.2,381.75,387.2,385.95,385.61,2748209,1059735571,45737
TATASTEEL,EQ,14-Jan-14,385.95,385,389,373.3,374.25,374.35,379.18,3645778,1382411249,50669
TATASTEEL,EQ,15-Jan-14,374.35,376,380,372.6,375.45,375,376.51,3307933,1245461759,63933
TATASTEEL,EQ,16-Jan-14,375,376.5,384.5,375.85,381,381.1,381.69,3644145,1390942090,49491
TATASTEEL,EQ,17-Jan-14,381.1,381,385.7,375.15,378.3,377.65,379.91,3436367,1305505357,52679
TATASTEEL,EQ,20-Jan-14,377.65,377.5,379.25,370.1,374.95,374.55,373.74,3285182,1227807036,46328
TATASTEEL,EQ,21-Jan-14,374.55,376,386,376,386,383.6,381.24,4092506,1560231789,45560
TATASTEEL,EQ,22-Jan-14,383.6,384.3,394,384.3,392.85,393.25,390.94,4633136,1811258204,66808
TATASTEEL,EQ,23-Jan-14,393.25,392.85,393,387.1,388.75,389.25,389.49,2497038,972560542.8,37258
TATASTEEL,EQ,24-Jan-14,389.25,385.1,386,374.45,376.5,376,378.34,2981354,1127969758,51220
TATASTEEL,EQ,27-Jan-14,376,369.4,369.65,352,353.7,353.55,359.43,4413205,1586221422,70581
TATASTEEL,EQ,28-Jan-14,353.55,354,368.9,352.5,365.8,366.65,361.94,4850538,1755587227,73114
TATASTEEL,EQ,29-Jan-14,366.65,368.5,369.35,356.25,359.2,358,361.32,4538964,1640001422,73680
TATASTEEL,EQ,30-Jan-14,358,353,354,341.2,348.7,346.55,347.04,5617880,1949625477,87849
TATASTEEL,EQ,31-Jan-14,346.55,348.4,357.9,347.55,355.7,356.05,354.56,5196593,1842496970,105350
TATASTEEL,EQ,03-Feb-14,356.05,354.9,354.9,342.05,342.15,343.1,347.17,3559039,1235596272,85886
TATASTEEL,EQ,04-Feb-14,343.1,338.05,346.85,336.05,345.2,342.95,342,7271517,2486862557,100456
TATASTEEL,EQ,05-Feb-14,342.95,344.85,360.9,344.05,360.5,359.4,352.14,4757607,1675348083,79597
TATASTEEL,EQ,06-Feb-14,359.4,361.9,367.2,356.25,361.5,361.25,361.79,6470705,2341005941,97260
TATASTEEL,EQ,07-Feb-14,361.25,362.6,387,362.6,386.45,384.45,377.74,11721063,4427495153,154931
TATASTEEL,EQ,10-Feb-14,384.45,386.9,393.2,380.55,382.55,382.5,386.68,6243610,2414266861,78889
TATASTEEL,EQ,11-Feb-14,382.5,387,393,385.3,391.8,389.75,388.37,4273585,1659740775,57925
TATASTEEL,EQ,12-Feb-14,389.75,385.55,386.9,372.75,373.8,374.35,378.35,9379584,3548809616,116319
TATASTEEL,EQ,13-Feb-14,374.35,376,378.8,365.2,365.2,367.45,372.89,5852885,2182505414,87770
TATASTEEL,EQ,14-Feb-14,367.45,368.9,372.4,359.45,371.95,370.8,366.87,6037488,2214970879,83506
TATASTEEL,EQ,17-Feb-14,370.8,371.45,375.4,366.5,375.3,374.05,371.44,3431363,1274543392,50643
TATASTEEL,EQ,18-Feb-14,374.05,373.95,381.9,372.1,380.7,379.65,378.72,3606426,1365818825,56428
TATASTEEL,EQ,19-Feb-14,379.65,379.85,379.9,371.15,374,373.85,374.06,3167125,1184702905,59104
TATASTEEL,EQ,20-Feb-14,373.85,369.15,369.8,364,366.7,366.75,366.63,4279353,1568928304,66517
TATASTEEL,EQ,21-Feb-14,366.75,366.75,375.75,366.75,375.35,374.4,372.76,3182327,1186253842,53175
TATASTEEL,EQ,24-Feb-14,374.4,373.8,373.8,366.3,369.3,369.2,368.57,3273797,1206611539,48432
