Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
TCS,EQ,01-Jan-14,2172.05,2180.1,2184.5,2151.1,2153.7,2153.3,2159.55,264976,572228100.1,15040
TCS,EQ,02-Jan-14,2153.3,2166,2189,2156.15,2167.95,2167,2170.96,863474,1874565230,60050
TCS,EQ,03-Jan-14,2167,2164.7,2229.1,2147.25,2224.1,2222.2,2206.7,1309087,2888756659,84697
TCS,EQ,06-Jan-14,2222.2,2229,2244,2197,2234.8,2239.6,2224.18,1155905,2570940803,75432
TCS,EQ,07-Jan-14,2239.6,2240,2256.45,2199,2207.9,2206.15,2227.87,1448743,3227613039,62312
TCS,EQ,08-Jan-14,2206.15,2212,2244,2210,2229.95,2232.65,2230.54,1275010,2843954798,98989
TCS,EQ,09-Jan-14,2232.65,2228.75,2255.5,2222.1,2239,2241.95,2239.21,1291103,2891057118,65056
TCS,EQ,10-Jan-14,2241.95,2260,2309.8,2235,2290,2280.9,2277.05,1684667,3836071889,114749
TCS,EQ,13-Jan-14,2280.9,2285,2384,2285,2380,2368.75,2345.06,1907158,4472403153,98245
TCS,EQ,14-Jan-14,2368.75,2372,2384.8,2320,2330,2326.75,2339,1487482,3479222657,80128
TCS,EQ,15-Jan-14,2326.75,2342.45,2378.2,2327,2361,2353.6,2353.56,1524427,3587831227,96472
TCS,EQ,16-Jan-14,2353.6,2380,2380.1,2325,2359,2350.3,2348.09,1498981,3519743198,71105
TCS,EQ,17-Jan-14,2350.3,2298,2298,2206.05,2219.85,2213.05,2243.52,3782378,8485841479,175551
TCS,EQ,20-Jan-14,2213.05,2218.95,2350,2215.5,2334.9,2338.2,2297.8,3005279,6905529096,117743
TCS,EQ,21-Jan-14,2338.2,2334,2339.25,2275.1,2285.25,2280.3,2296.99,1566141,3597417846,80762
TCS,EQ,22-Jan-14,2280.3,2287.1,2296.85,2264.1,2270.35,2274.05,2278.77,1192015,2716333487,46033
