Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
TECHM,EQ,01-Jan-14,1837.85,1845,1845,1825.1,1827.75,1828.1,1832.15,174558,319817084.6,7326
TECHM,EQ,02-Jan-14,1828.1,1828.1,1841.75,1793.35,1816.85,1816.1,1825.89,348875,637007090.3,13304
TECHM,EQ,03-Jan-14,1816.1,1818,1845.9,1810.25,1835,1835.5,1832.67,331824,608124216,18308
TECHM,EQ,06-Jan-14,1835.5,1840,1843.5,1810,1813.95,1815.85,1818.23,371264,675041968.9,17953
TECHM,EQ,07-Jan-14,1815.85,1816.55,1825.35,1786,1806.9,1804.05,1802.96,478580,862859584.4,29631
TECHM,EQ,08-Jan-14,1804.05,1809,1859.8,1805,1839.95,1840.6,1842.27,770246,1418999763,36321
TECHM,EQ,09-Jan-14,1840.6,1849.85,1853.9,1811.3,1829,1829.05,1829.02,528676,966961383.7,57488
TECHM,EQ,10-Jan-14,1829.05,1844.7,1891.8,1833.9,1878,1878.9,1874.74,1185007,2221576454,74722
TECHM,EQ,13-Jan-14,1878.9,1880.9,1905,1873.15,1885.6,1884.5,1890.29,706487,1335464392,40087
TECHM,EQ,14-Jan-14,1884.5,1888.85,1906.1,1880,1891.9,1893.25,1892.59,702878,1330261212,65481
TECHM,EQ,15-Jan-14,1893.25,1900,1905.75,1857.45,1883.45,1884.05,1883.73,749411,1411691500,60027
TECHM,EQ,16-Jan-14,1884.05,1884,1891.5,1850,1866.05,1866.25,1867.07,679856,1269339631,54845
TECHM,EQ,17-Jan-14,1866.25,1867.5,1869.6,1770,1774,1775.25,1801.35,892144,1607061796,62446
TECHM,EQ,20-Jan-14,1775.25,1769.3,1834.7,1752.8,1830,1828.7,1807.89,805087,1455508338,48191
TECHM,EQ,21-Jan-14,1828.7,1830.65,1855,1811,1828,1828.65,1829.69,542938,993406134.7,30448
TECHM,EQ,22-Jan-14,1828.65,1827.9,1856,1825,1842.75,1842.15,1845.67,395129,729278759.7,20825
TECHM,EQ,23-Jan-14,1842.15,1842,1849.45,1815.55,1827.15,1830.65,1827.02,616668,1126665402,38758
TECHM,EQ,24-Jan-14,1830.65,1820.1,1846,1787,1799.7,1793.55,1811.49,461871,836673301.7,17722
TECHM,EQ,27-Jan-14,1793.55,1790,1793,1757.5,1759,1760.25,1770.85,812590,1438975029,40841
TECHM,EQ,28-Jan-14,1760.25,1761,1778.95,1720.25,1740,1738.75,1741.04,474221,825639712.8,24115
TECHM,EQ,29-Jan-14,1738.75,1750,1771.25,1743.95,1750.5,1749.55,1755.84,712722,1251423112,43544
TECHM,EQ,30-Jan-14,1749.55,1748.25,1748.25,1703.6,1729,1718.3,1717.4,786613,1350928462,40546
TECHM,EQ,31-Jan-14,1718.3,1745,1800,1724.15,1795,1786.95,1774.5,916397,1626142776,61706
TECHM,EQ,03-Feb-14,1786.95,1797,1811,1760.6,1767.05,1763.1,1775.62,993841,1764688469,34402
TECHM,EQ,04-Feb-14,1763.1,1747.95,1784.05,1696.4,1775.2,1770.85,1743.73,945632,1648930759,41913
TECHM,EQ,05-Feb-14,1770.85,1825.8,1849.95,1815.05,1838,1839.85,1836.33,2589699,4755536634,78794
TECHM,EQ,06-Feb-14,1839.85,1839,1851.4,1821.5,1846,1845.5,1838.18,754033,1386048759,29325
TECHM,EQ,07-Feb-14,1845.5,1850,1870,1815.1,1819,1823.15,1841.56,886851,1633190640,59062
TECHM,EQ,10-Feb-14,1823.15,1823.25,1840.75,1801,1835,1832.15,1824.41,618201,1127854863,43912
TECHM,EQ,11-Feb-14,1832.15,1823.5,1877,1823.5,1865,1861.7,1860.16,1048297,1949998476,55939
