Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
TITAN,EQ,01-Jan-14,229.5,230,232.5,229.35,230.65,230.8,231.17,538938,124588330,7615
TITAN,EQ,02-Jan-14,230.8,229.5,235.95,225.1,226.4,226.35,232.1,1570396,364491673.6,17856
TITAN,EQ,03-Jan-14,226.35,226,228.75,224,228.25,227.4,226.9,818984,185823548.7,9943
TITAN,EQ,06-Jan-14,227.4,228,230.3,225.55,227.35,227.8,228.22,497192,113469538.6,6959
TITAN,EQ,07-Jan-14,227.8,230,230.9,224.8,226,226.05,226.49,713955,161704822.3,8356
TITAN,EQ,08-Jan-14,226.05,226.9,226.95,222.1,223.2,222.75,224.19,878308,196903675.5,10359
TITAN,EQ,09-Jan-14,222.75,225.15,227.45,221.4,223.75,223.85,224.25,1126716,252662984.2,14644
TITAN,EQ,10-Jan-14,223.85,224,227.25,219,220.05,220.25,223.6,983757,219965468.6,12222
TITAN,EQ,13-Jan-14,220.25,221,223.4,214.1,220.95,221.1,221.04,1253786,277138384.7,15468
TITAN,EQ,14-Jan-14,221.1,221.25,222.4,220,220.65,221,221.01,364394,80536020.95,5146
TITAN,EQ,15-Jan-14,221,221.15,222.25,216.15,218,218.05,218.56,1060362,231756765.4,13656
TITAN,EQ,16-Jan-14,218.05,218.05,219.7,216.65,217.5,218.2,217.99,809129,176379490.5,15288
TITAN,EQ,17-Jan-14,218.2,216.7,220.75,216.55,217.15,217.05,218.33,645915,141020706.8,8487
TITAN,EQ,20-Jan-14,217.05,216.1,217.95,215,216.4,216.5,216.45,392820,85025353.25,6571
TITAN,EQ,21-Jan-14,216.5,217,220.3,216.1,217.4,217.8,218.46,875408,191245956.1,11334
TITAN,EQ,22-Jan-14,217.8,217.2,219.25,216.25,216.75,217.35,217.61,656092,142775454.2,9313
TITAN,EQ,23-Jan-14,217.35,216.75,227.4,216.2,227.1,225.35,223.98,2570554,575756586.2,23806
TITAN,EQ,24-Jan-14,225.35,226.4,227.9,218,219.2,218.7,222.25,2042034,453848043.8,22997
TITAN,EQ,27-Jan-14,218.7,217,218,212.35,216.35,215.85,215.46,830741,178987374,11247
TITAN,EQ,28-Jan-14,215.85,216.5,218.6,214.95,216.95,217,216.85,440878,95602982.65,6335
TITAN,EQ,29-Jan-14,217,218.4,219,212,213.55,214.65,216.01,1075952,232414369.7,10492
TITAN,EQ,30-Jan-14,214.65,210,224.4,202.45,222,222.8,216.41,5930481,1283396530,61130
TITAN,EQ,31-Jan-14,222.8,222.8,223.5,216.65,220.7,221.55,220,1223691,269214791.6,17479
TITAN,EQ,03-Feb-14,221.55,220.15,227.5,218.65,219.7,219.95,223.55,1428280,319292515.4,16795
TITAN,EQ,04-Feb-14,219.95,218.7,225.9,217.1,222.3,221.75,222.44,1093372,243208938,13660
TITAN,EQ,05-Feb-14,221.75,221.2,224,219,220.8,220.9,220.95,545189,120459086.2,6400
TITAN,EQ,06-Feb-14,220.9,221.9,226.2,219.35,225.75,225.55,223.22,977396,218175863.2,12415
TITAN,EQ,07-Feb-14,225.55,226.05,228.6,223.15,225.15,225.7,225.92,1025574,231699056.6,13519
TITAN,EQ,10-Feb-14,225.7,225,233.75,223.6,230.6,230.95,230.61,1757160,405217229,22189
TITAN,EQ,11-Feb-14,230.95,231.25,235.65,230.1,232.15,232.3,233.62,1510573,352900277.3,19223
TITAN,EQ,12-Feb-14,232.3,233,233.8,228.6,229.15,230.3,231.57,714283,165405634.7,7535
TITAN,EQ,13-Feb-14,230.3,230,232,226.6,229,229.35,229.61,755689,173515234.4,11424
TITAN,EQ,14-Feb-14,229.35,230,232.6,226.65,232.5,231.55,230.07,723069,166357408.1,9459
TITAN,EQ,17-Feb-14,231.55,233.65,236.3,225.15,229,228.95,231.28,2328888,538634086.7,27809
TITAN,EQ,18-Feb-14,228.95,231,231,225.95,228.05,228.65,228.64,609396,139332731.9,7437
TITAN,EQ,19-Feb-14,228.65,228.9,233.9,228.2,232.3,232.6,231.89,1306199,302889551.9,15408
TITAN,EQ,20-Feb-14,232.6,233,237.8,231.1,233.9,234.15,235.33,1303544,306757798,16837
TITAN,EQ,21-Feb-14,234.15,235.2,236.8,232.8,233.6,234.05,234.6,691017,162110434.4,12499
TITAN,EQ,24-Feb-14,234.05,234.7,237.5,231.5,237.35,235.7,234.5,729670,171106833.4,8224
TITAN,EQ,25-Feb-14,235.7,237.35,244.3,236.5,243.05,243.2,241.49,2388002,576690477.7,35818
TITAN,EQ,26-Feb-14,243.2,244.5,247.3,242.5,244.4,245.6,245.36,1495138,366850730.3,17101
TITAN,EQ,28-Feb-14,245.6,246.1,246.9,240.05,242.2,242.5,243.08,716553,174179392.7,10733
TITAN,EQ,03-Mar-14,242.5,242.5,251.5,239.5,249,249.25,248.15,2029854,503702022.8,24252
TITAN,EQ,04-Mar-14,249.25,250.5,258.4,250.3,254.05,254.8,254.6,2544333,647778599.9,26989
TITAN,EQ,05-Mar-14,254.8,252.55,252.85,244,245.7,245.65,246.76,1424629,351543444.5,19547
TITAN,EQ,06-Mar-14,245.65,245.6,250.6,243.15,245.95,246.8,246.47,1075669,265122547.5,14368
TITAN,EQ,07-Mar-14,246.8,249.6,256.4,246,254.3,255,251.65,1893634,476523775.6,22729
TITAN,EQ,10-Mar-14,255,254,258.5,249.3,250.1,250.55,253.08,1527237,386508632.2,21805
TITAN,EQ,11-Mar-14,250.55,252.25,254.5,247,250.2,248.75,249.46,1189688,296782864.6,10991
TITAN,EQ,12-Mar-14,248.75,248.5,257,248.4,252.1,252.25,253.84,1350784,342876905,16666
TITAN,EQ,13-Mar-14,252.25,254,258.5,248.4,250.5,251.65,255.65,1672077,427470704.4,20898
TITAN,EQ,14-Mar-14,251.65,251.75,254.35,248.5,254,253.15,251.66,653400,164437562.7,9027
TITAN,EQ,18-Mar-14,253.15,254.95,257,253.15,254.9,255.35,255.27,1294867,330543362.8,13230
TITAN,EQ,19-Mar-14,255.35,256,257.25,251.55,254.3,254.85,255.03,829853,211639625.9,10164
TITAN,EQ,20-Mar-14,254.85,257,262.45,252,253.75,253.4,257.58,2161044,556644422.3,28216
TITAN,EQ,21-Mar-14,253.4,256.4,257.4,253.4,255.1,255,255.85,948531,242678872.9,11677
TITAN,EQ,22-Mar-14,255,255,256.5,254.05,255.1,254.95,255.32,52070,13294701.25,993
TITAN,EQ,24-Mar-14,254.95,254.3,258.5,251.15,252.55,252.9,254.29,637996,162234234.9,7722
TITAN,EQ,25-Mar-14,252.9,253.05,257.3,253.05,255,255.4,255.4,654922,167264255.4,6839
TITAN,EQ,26-Mar-14,255.4,256,256.9,248.2,249.5,248.75,251.6,658823,165761106.2,11213
TITAN,EQ,27-Mar-14,248.75,249.2,254.65,246.1,254.1,253.8,251.55,1316243,331099885.1,17449
TITAN,EQ,28-Mar-14,253.8,254.8,256.1,250.4,253.15,253.15,252.79,674424,170488177.9,7179
TITAN,EQ,31-Mar-14,253.15,255,268.35,254.1,262.4,262.7,264.01,2092440,552423448.9,24257
TITAN,EQ,01-Apr-14,262.7,266.45,268,260.6,264.95,265.15,265.1,986673,261564472.6,12882
TITAN,EQ,02-Apr-14,265.15,266.45,267,263,265.25,265.35,264.86,357890,94791287.95,5438
TITAN,EQ,03-Apr-14,265.35,266,270.85,263,270,268,268.48,1540496,413596919.5,17255
TITAN,EQ,04-Apr-14,268,270.1,274.3,266,267.9,269.8,271.58,961371,261092933.3,12304
TITAN,EQ,07-Apr-14,269.8,269,269,260.1,262.9,262.75,262.13,856375,224481246.4,8171
TITAN,EQ,09-Apr-14,262.75,263.1,265.9,261.85,265.45,264.25,264.11,832258,219805183.3,9559
TITAN,EQ,10-Apr-14,264.25,263.2,267.9,262.2,263.5,262.95,264.22,638846,168793913.9,7348
TITAN,EQ,11-Apr-14,262.95,262,266.4,261.5,262.4,262.75,263.7,470768,124142879.4,7158
TITAN,EQ,15-Apr-14,262.75,260.35,265.3,255.45,257.7,257.4,259.55,667585,173270289.2,9431
TITAN,EQ,16-Apr-14,257.4,257,262,254.6,256.2,255.65,258.47,580798,150120961.5,7601
TITAN,EQ,17-Apr-14,255.65,256,259,255.3,258.2,257.2,257.56,426231,109781171.7,4988
TITAN,EQ,21-Apr-14,257.2,255,262.7,254.05,259.75,259.45,259.18,785424,203562330.7,9861
TITAN,EQ,22-Apr-14,259.45,259.35,264.75,258.1,260.85,261.25,262.13,931899,244281250.3,11257
TITAN,EQ,23-Apr-14,261.25,262,266.5,251.5,255.3,255,257.64,3942894,1015853313,23337
TITAN,EQ,25-Apr-14,255,255,259.85,253,258.05,258.2,257.44,724290,186462715.4,12029
TITAN,EQ,28-Apr-14,258.2,258,259.8,255.3,258.25,258.3,257.53,400140,103048525,5153
TITAN,EQ,29-Apr-14,258.3,258.45,262.2,255.7,259.75,260,259.65,516059,133995817.6,6926
TITAN,EQ,30-Apr-14,260,261,262.85,252.8,254,254.85,258.34,604717,156220979.8,7991
TITAN,EQ,02-May-14,254.85,258,259.7,255,258.05,258.05,257.67,491561,126661077.2,7307
TITAN,EQ,05-May-14,258.05,258,263,255.75,262.3,262.1,260.02,695564,180861276.8,9130
TITAN,EQ,06-May-14,262.1,263.95,277.4,257.7,277.35,271.2,267.96,3380968,905971546.4,35613
TITAN,EQ,07-May-14,271.2,278.5,279.9,271.1,272.2,272.45,275.02,3860273,1061662724,39890
TITAN,EQ,08-May-14,272.45,273.25,278.8,269.7,277.3,277.45,274.56,1584633,435080638.8,19998
TITAN,EQ,09-May-14,277.45,277.5,282.8,275.65,276.25,277.5,279.29,1505616,420506630.5,18450
TITAN,EQ,12-May-14,277.5,278,287.5,274,287,285.05,281.79,1545871,435613332.6,18934
TITAN,EQ,13-May-14,285.05,286.2,309.6,286.2,297.5,296.1,299.56,2241102,671349202.7,27746
TITAN,EQ,14-May-14,296.1,298,309.4,291.3,306.4,304.7,300.77,1663916,500453077.6,19109
TITAN,EQ,15-May-14,304.7,307.9,320,306.45,316.45,317.4,313.73,3647048,1144201962,44229
TITAN,EQ,16-May-14,317.4,325,344.75,305.15,306.9,307,322.5,2831569,913174567.8,33139
TITAN,EQ,19-May-14,307,307.1,315,297.65,306.6,307.3,306.44,1545228,473524585,22010
TITAN,EQ,20-May-14,307.3,311.9,322.25,307,313.95,314.1,315.05,2443570,769857059.5,29126
TITAN,EQ,21-May-14,314.1,317.6,321.95,309.5,310,310.45,313.98,1064527,334237151.5,14930
TITAN,EQ,22-May-14,310.45,341.45,353.1,330.1,330.8,331.4,336.92,6665571,2245787378,75100
TITAN,EQ,23-May-14,331.4,335,335.7,324.55,325.55,325.35,327.21,2001146,654789069.7,27468
TITAN,EQ,26-May-14,325.35,327.8,328.8,313.4,320,321.25,322.8,1183200,381933567.4,14837
TITAN,EQ,27-May-14,321.25,322.9,322.9,315,318.3,319,318.4,577127,183754687.5,8709
TITAN,EQ,28-May-14,319,321.7,325,313.1,316.25,315.1,318.78,904132,288223147.9,11985
TITAN,EQ,29-May-14,315.1,315.95,321.4,312.4,314,313.85,316.08,1251206,395484863.3,11948
TITAN,EQ,30-May-14,313.85,315,316.9,308.8,310.9,310,312.44,776871,242723271.7,9173
TITAN,EQ,02-Jun-14,310,307.1,318.2,307.1,318.2,315.15,313.88,656591,206088143.7,7738
TITAN,EQ,03-Jun-14,315.15,316,322.55,314.1,321.35,320.25,319.15,1463591,467100788.1,15800
TITAN,EQ,04-Jun-14,320.25,323.45,328.4,318.05,321,320.2,324.33,1421190,460939171.1,19103
TITAN,EQ,05-Jun-14,320.2,323,325.9,320.2,322.8,323.35,323.69,1024094,331489137.6,12247
TITAN,EQ,06-Jun-14,323.35,325.9,328.5,316,327.5,327.25,324.4,1220841,396038294.3,13242
TITAN,EQ,09-Jun-14,327.25,326.1,332.5,325.1,326.15,326.6,328.4,1552181,509730977.8,18946
TITAN,EQ,10-Jun-14,326.6,325.3,343,323,341.9,341.4,335.77,2957655,993081998.5,31094
TITAN,EQ,11-Jun-14,341.4,344.95,347,326.1,327.75,328.9,338.54,3146759,1065308228,40105
TITAN,EQ,12-Jun-14,328.9,328.75,332.95,323.15,328.25,328.65,329.82,854622,281874692.1,15172
TITAN,EQ,13-Jun-14,328.65,330.5,333.9,302.75,320.65,319.9,321.23,1264687,406255116,19601
TITAN,EQ,16-Jun-14,319.9,318,326.1,312.45,322.35,322.6,320.14,1186910,379980381.7,18677
TITAN,EQ,17-Jun-14,322.6,319.5,324.35,317.65,322.6,322.45,321.76,1189474,382720838.4,16490
TITAN,EQ,18-Jun-14,322.45,322.9,327.9,311.85,313.5,314.35,320.43,1361754,436350807.4,21075
TITAN,EQ,19-Jun-14,314.35,319,323.45,313.3,323.05,320.45,318.04,908802,289035439.9,11526
TITAN,EQ,20-Jun-14,320.45,326,335.75,323.15,335.75,333.85,330.9,2824583,934663700.5,32860
TITAN,EQ,23-Jun-14,333.85,336.9,338.8,323.9,326,326.05,330.92,1682795,556866251.8,16623
TITAN,EQ,24-Jun-14,326.05,324.5,339,324.5,337.4,337.75,334.34,1532090,512232707.3,20893
TITAN,EQ,25-Jun-14,337.75,339.6,344.85,335.9,340.8,342.7,342.08,2113727,723070060.5,21899
TITAN,EQ,26-Jun-14,342.7,344.4,351.5,338,346.6,346.8,346.04,3835909,1327361542,28573
TITAN,EQ,27-Jun-14,346.8,347.25,356.85,346.85,354,353.15,353.3,2008738,709687514.4,24298
TITAN,EQ,30-Jun-14,353.15,354.2,360.8,350.2,352.45,353.05,354.84,1515387,537721175.1,25286
TITAN,EQ,01-Jul-14,353.05,352.9,358.9,351,355,355.8,355.23,796331,282878486.5,9980
TITAN,EQ,02-Jul-14,355.8,358,361.85,353.3,359.9,359.5,359.25,1073593,385690353,14612
TITAN,EQ,03-Jul-14,359.5,361.8,362.3,356,360.5,360.8,359.91,848205,305279723.8,13045
TITAN,EQ,04-Jul-14,360.8,361,361.65,352.3,356.7,357.2,357.39,662164,236652190.3,8992
TITAN,EQ,07-Jul-14,357.2,358.9,362.7,354.45,358,357.4,357.21,732610,261694986.9,10109
TITAN,EQ,08-Jul-14,357.4,360.1,362.1,337.4,341.15,341.5,353.31,1169214,413097133.9,14755
TITAN,EQ,09-Jul-14,341.5,336.2,350.45,335.75,349.7,347.95,345.07,1197600,413251894.9,15097
TITAN,EQ,10-Jul-14,347.95,350,352,323.6,327.9,327.2,337.9,1909597,645262004.8,24794
TITAN,EQ,11-Jul-14,327.2,323.9,337.7,323.25,330,330.4,332.43,1219953,405552060.3,19047
TITAN,EQ,14-Jul-14,330.4,327,327,318.1,323.3,322,322.5,988868,318907231,15702
TITAN,EQ,15-Jul-14,322,320.75,329,320.75,327.7,327.75,325.68,1104243,359630893.8,13968
TITAN,EQ,16-Jul-14,327.75,325.5,328.95,324.4,328,327.9,326.48,549883,179523552.8,8237
TITAN,EQ,17-Jul-14,327.9,325.15,336.8,324.4,335,334.5,332.68,868312,288868277.7,11040
TITAN,EQ,18-Jul-14,334.5,338,338.5,327.6,329.2,329.95,331.65,794164,263387592.5,10046
TITAN,EQ,21-Jul-14,329.95,328.2,333,326.1,331,330.95,330.33,550719,181920246,7723
TITAN,EQ,22-Jul-14,330.95,330.35,339.8,330.35,339,337.75,335.53,850103,285231658.9,9512
TITAN,EQ,23-Jul-14,337.75,340,342.5,335.3,341.05,340.65,339.88,886420,301278715.4,12326
