Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
ULTRACEMCO,EQ,01-Jan-14,1764.1,1769,1773,1746,1772,1769.25,1761.82,51796,91255164.25,4403
ULTRACEMCO,EQ,02-Jan-14,1769.25,1760.5,1777.9,1726,1731,1731.1,1748.53,81220,142015461.8,7225
ULTRACEMCO,EQ,03-Jan-14,1731.1,1720,1753.45,1705.1,1727,1727.2,1727.97,78848,136246733.7,5819
ULTRACEMCO,EQ,06-Jan-14,1727.2,1726.5,1732.8,1706.9,1723.05,1724.3,1720.59,65748,113125056.9,3579
ULTRACEMCO,EQ,07-Jan-14,1724.3,1729,1734.65,1682,1687,1690.2,1703.63,98004,166962259.2,11598
ULTRACEMCO,EQ,08-Jan-14,1690.2,1695,1712,1681.45,1692,1700.85,1699.22,84069,142851934.3,6522
ULTRACEMCO,EQ,09-Jan-14,1700.85,1700,1700,1675.6,1676.5,1688.55,1690.73,332263,561767482.3,20806
ULTRACEMCO,EQ,10-Jan-14,1688.55,1684.7,1691.85,1643.65,1672,1671.8,1669.06,251293,419422445.6,8260
ULTRACEMCO,EQ,13-Jan-14,1671.8,1670.25,1691.9,1651.9,1669.5,1669.55,1672.66,152716,255442566.3,6278
ULTRACEMCO,EQ,14-Jan-14,1669.55,1660.5,1670,1634,1650.05,1648,1653.99,87817,145248508.6,6893
ULTRACEMCO,EQ,15-Jan-14,1648,1652.25,1720,1641.3,1710,1710.1,1686.13,132016,222595538,18271
ULTRACEMCO,EQ,16-Jan-14,1710.1,1712.25,1755,1697.4,1752,1747.2,1734.27,214732,372403615.4,9545
ULTRACEMCO,EQ,17-Jan-14,1747.2,1748,1756,1706.5,1716,1719.25,1731.36,285994,495157712,15740
ULTRACEMCO,EQ,20-Jan-14,1719.25,1719.5,1725,1685,1718.75,1718.95,1713.47,242621,415723768.1,20914
ULTRACEMCO,EQ,21-Jan-14,1718.95,1720,1720,1696.2,1700.1,1699.75,1706.38,223992,382215143.1,7823
ULTRACEMCO,EQ,22-Jan-14,1699.75,1704,1704,1668,1702.05,1694.7,1686.75,664324,1120549008,8818
ULTRACEMCO,EQ,23-Jan-14,1694.7,1695.05,1729.9,1676,1724.95,1706.05,1700.72,70498,119897092.9,5121
ULTRACEMCO,EQ,24-Jan-14,1706.05,1711,1732,1691.5,1700,1699.75,1702.04,140784,239620480.7,13152
ULTRACEMCO,EQ,27-Jan-14,1699.75,1674,1708.5,1662.05,1700,1700.05,1695.64,157548,267145460.5,8466
ULTRACEMCO,EQ,28-Jan-14,1700.05,1693,1709.5,1670.05,1695,1694.8,1691.17,63905,108074399.3,5261
ULTRACEMCO,EQ,29-Jan-14,1694.8,1701.1,1729,1672.1,1701,1703.35,1698.55,100701,171046058.2,8980
ULTRACEMCO,EQ,30-Jan-14,1703.35,1681,1709.9,1662.5,1698.9,1686.15,1685.44,227549,383520718.5,14427
ULTRACEMCO,EQ,31-Jan-14,1686.15,1714.9,1720,1678,1714,1710.7,1700.16,95706,162715878.1,9413
ULTRACEMCO,EQ,03-Feb-14,1710.7,1725,1736.95,1675.8,1683.7,1690.05,1713.2,84364,144532129.9,6509
ULTRACEMCO,EQ,04-Feb-14,1690.05,1678,1717,1665,1671.05,1674.1,1680.97,91012,152988699.7,8288
ULTRACEMCO,EQ,05-Feb-14,1674.1,1675.2,1687.1,1665,1681,1679.65,1673.64,577216,966049410.1,8968
ULTRACEMCO,EQ,06-Feb-14,1679.65,1699.8,1703,1650.3,1692.8,1696.75,1683.17,150039,252540975.3,7364
ULTRACEMCO,EQ,07-Feb-14,1696.75,1692,1739,1692,1739,1729.05,1719.75,78752,135434117.3,8426
ULTRACEMCO,EQ,10-Feb-14,1729.05,1738,1750.25,1720.15,1723.8,1724.85,1728.79,51216,88541477.7,9476
ULTRACEMCO,EQ,11-Feb-14,1724.85,1731.3,1731.3,1692,1700,1699.35,1701.2,50543,85983651.9,7338
ULTRACEMCO,EQ,12-Feb-14,1699.35,1705.5,1714,1696,1705.15,1705.7,1705.29,77023,131346894.4,7802
ULTRACEMCO,EQ,13-Feb-14,1705.7,1709.6,1714.6,1676,1679.5,1688.45,1695.64,89929,152487422.5,5826
ULTRACEMCO,EQ,14-Feb-14,1688.45,1688.45,1690.1,1651.1,1653,1666.35,1664.9,70557,117470165.6,6471
ULTRACEMCO,EQ,17-Feb-14,1666.35,1670.1,1679.85,1657.5,1662.25,1667.5,1667.47,31840,53092165.8,2728
ULTRACEMCO,EQ,18-Feb-14,1667.5,1675,1703,1673.65,1690,1690.9,1691.55,76714,129765571.6,2498
ULTRACEMCO,EQ,19-Feb-14,1690.9,1705,1715,1696.35,1705,1706.45,1708.59,71257,121749237.6,4192
ULTRACEMCO,EQ,20-Feb-14,1706.45,1693.4,1716,1675.25,1703.8,1702.05,1699.37,92694,157521853.9,4974
ULTRACEMCO,EQ,21-Feb-14,1702.05,1700,1813.3,1690.05,1799,1799.95,1768.53,274804,485998687,24361
ULTRACEMCO,EQ,24-Feb-14,1799.95,1786,1845,1771.15,1840,1838.15,1818.41,157657,286685123.2,11127
ULTRACEMCO,EQ,25-Feb-14,1838.15,1838,1879,1834,1863,1865.75,1852.04,148155,274388351.5,13707
ULTRACEMCO,EQ,26-Feb-14,1865.75,1853.2,1863,1818.25,1843,1844.1,1842.89,219350,404236924.6,15294
ULTRACEMCO,EQ,28-Feb-14,1844.1,1851.75,1864,1826.15,1830,1839.2,1841.93,226586,417354680.3,28391
ULTRACEMCO,EQ,03-Mar-14,1839.2,1834.8,1845.9,1820.4,1828,1826.75,1833.27,46525,85292871.5,5413
ULTRACEMCO,EQ,04-Mar-14,1826.75,1829.25,1885.9,1823.55,1874,1877.55,1850.62,144401,267231070.3,14323
ULTRACEMCO,EQ,05-Mar-14,1877.55,1888.9,1910,1855.35,1894.95,1897.95,1892.76,199776,378128901.8,18112
ULTRACEMCO,EQ,06-Mar-14,1897.95,1895.1,1967.65,1895.1,1960,1960.05,1941.65,131172,254689817.5,12693
ULTRACEMCO,EQ,07-Mar-14,1960.05,1942.3,1998,1942.3,1976,1973.75,1977.76,182120,360188807.5,11256
ULTRACEMCO,EQ,10-Mar-14,1973.75,1952.55,2009,1952.55,1990,1989.75,1993.4,178005,354835372.1,14520
ULTRACEMCO,EQ,11-Mar-14,1989.75,1990,2019.9,1973.05,2000,2003.3,2003.75,180057,360789604.3,14569
ULTRACEMCO,EQ,12-Mar-14,2003.3,2003.3,2003.3,1952.4,1967.9,1964.45,1967.25,102832,202296369.6,12410
ULTRACEMCO,EQ,13-Mar-14,1964.45,1970.25,2017.8,1950,1965,1958.4,1978.74,135092,267311327,14519
ULTRACEMCO,EQ,14-Mar-14,1958.4,1952,1983.8,1935.6,1969.95,1969.95,1965.11,174903,343703329.3,11729
ULTRACEMCO,EQ,18-Mar-14,1969.95,1979.95,1983.6,1960.65,1970,1968.2,1974.61,136012,268570951.8,13630
ULTRACEMCO,EQ,19-Mar-14,1968.2,1965.4,1987.75,1965.4,1979,1978.85,1979.19,129451,256207856.1,10252
ULTRACEMCO,EQ,20-Mar-14,1978.85,1965.05,1982.1,1936.6,1949,1944.55,1953.07,112317,219363436.3,11775
ULTRACEMCO,EQ,21-Mar-14,1944.55,1952,1965,1931,1950.8,1955.3,1953.88,242376,473574672.2,16170
ULTRACEMCO,EQ,22-Mar-14,1955.3,1950.1,1958.75,1938,1955,1952.35,1951.06,1886,3679691.9,221
ULTRACEMCO,EQ,24-Mar-14,1952.35,1964.05,1980,1962,1972,1973.1,1976.26,297221,587386224.3,14107
ULTRACEMCO,EQ,25-Mar-14,1973.1,1976.5,1998,1971.6,1980,1980.2,1981.47,392969,778655146.4,14250
ULTRACEMCO,EQ,26-Mar-14,1980.2,1986.1,1994,1982,1989,1989.45,1989.91,170191,338663975.5,8744
ULTRACEMCO,EQ,27-Mar-14,1989.45,1980.35,2084.95,1962.3,2059,2058.75,2046.25,399044,816545166.3,23484
ULTRACEMCO,EQ,28-Mar-14,2058.75,2064,2161.8,2064,2147,2147.1,2134.23,373217,796529222.3,43301
ULTRACEMCO,EQ,31-Mar-14,2147.1,2160,2195,2159.8,2185.85,2186.95,2177.82,279470,608636108.1,13649
ULTRACEMCO,EQ,01-Apr-14,2186.95,2186,2186,2132.35,2165,2158.05,2158.15,85570,184672969.5,10023
ULTRACEMCO,EQ,02-Apr-14,2158.05,2160.35,2177.35,2106.35,2132.35,2128.6,2143.01,184921,396286707.5,15175
ULTRACEMCO,EQ,03-Apr-14,2128.6,2130,2174.7,2114,2150,2147.5,2149.27,160503,344963675.1,14234
ULTRACEMCO,EQ,04-Apr-14,2147.5,2160,2166,2116.55,2159,2150.2,2145.37,96943,207978127.3,8838
ULTRACEMCO,EQ,07-Apr-14,2150.2,2152.1,2238.8,2152.1,2217,2225.55,2214.38,186052,411989747.2,15703
ULTRACEMCO,EQ,09-Apr-14,2225.55,2227,2238,2212,2225,2223.65,2223.5,138297,307503717.8,13663
ULTRACEMCO,EQ,10-Apr-14,2223.65,2222,2255.95,2205.05,2246.05,2245.8,2237.94,163427,365740342.5,16081
ULTRACEMCO,EQ,11-Apr-14,2245.8,2210.1,2280,2210.1,2259,2259.25,2259.34,103340,233480488.7,11421
ULTRACEMCO,EQ,15-Apr-14,2259.25,2260,2260,2203.3,2218,2212.15,2216.9,111024,246129477.4,10949
ULTRACEMCO,EQ,16-Apr-14,2212.15,2224,2235.9,2186.9,2200,2200,2206.98,177450,391628521.6,12037
ULTRACEMCO,EQ,17-Apr-14,2200,2202.35,2226.55,2182.45,2213.25,2217.6,2211.04,207383,458532729.6,13236
ULTRACEMCO,EQ,21-Apr-14,2217.6,2220,2239.8,2210.45,2218,2219.25,2224.6,112577,250438832,8196
ULTRACEMCO,EQ,22-Apr-14,2219.25,2222.6,2229.9,2196,2203,2202.1,2206.94,159728,352509787.2,22091
ULTRACEMCO,EQ,23-Apr-14,2202.1,2204,2219,2155,2170,2169.7,2180.84,340327,742199452,24536
ULTRACEMCO,EQ,25-Apr-14,2169.7,2199.45,2220,2066.7,2091.95,2079.6,2115.55,369536,781773699.9,35595
ULTRACEMCO,EQ,28-Apr-14,2079.6,2087.6,2090,2043,2050,2050.75,2054.57,246765,506995482.3,20806
ULTRACEMCO,EQ,29-Apr-14,2050.75,2076,2113.9,2021,2065.3,2066.5,2077.82,237064,492576139.6,19457
ULTRACEMCO,EQ,30-Apr-14,2066.5,2051.25,2110,2012.6,2033,2027.15,2055.15,131946,271168517.7,17848
ULTRACEMCO,EQ,02-May-14,2027.15,2046.8,2050,2015,2035.95,2035.95,2034.79,94467,192220733.4,8294
ULTRACEMCO,EQ,05-May-14,2035.95,2040,2049.85,2003.4,2031.1,2030.8,2026.88,177146,359053464.3,14604
ULTRACEMCO,EQ,06-May-14,2030.8,2034,2039,2017.05,2024.35,2023.8,2028,156919,318230963.3,10561
ULTRACEMCO,EQ,07-May-14,2023.8,2010.5,2025.9,1959.8,1974.8,1968.9,1977.23,419812,830066967.6,22382
ULTRACEMCO,EQ,08-May-14,1968.9,1961,1984.7,1950.5,1974,1980.05,1969.67,199432,392815581.5,20324
ULTRACEMCO,EQ,09-May-14,1980.05,1976,2085.65,1961.6,2072.5,2079.6,2049.14,688549,1410932268,17840
ULTRACEMCO,EQ,12-May-14,2079.6,2079.6,2185,2076,2152,2159.15,2141.26,263790,564841685.9,17338
ULTRACEMCO,EQ,13-May-14,2159.15,2188,2235,2164.9,2208.25,2220.55,2212.29,336275,743939420.5,25069
