Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
UPL,EQ,01-Jan-14,197.95,197.95,199.7,196.75,198.35,198.45,198.27,434871,86220559.65,5158
UPL,EQ,02-Jan-14,198.45,198,202.3,195.2,195.4,196.95,199.34,1109664,221195391.9,18618
UPL,EQ,03-Jan-14,196.95,194.9,201,194.4,200,200.1,198.58,1137763,225935817.3,18934
UPL,EQ,06-Jan-14,200.1,200,204,196.8,201.35,201.45,201.29,1773186,356919473.4,33615
UPL,EQ,07-Jan-14,201.45,201.8,205,201,202.25,201.75,202.89,1245497,252693774.3,33302
UPL,EQ,08-Jan-14,201.75,200.45,203.5,199.9,202.45,201.6,202.05,1142574,230855809.7,39647
UPL,EQ,09-Jan-14,201.6,202.65,204.6,201.55,203.8,203.7,202.76,1498691,303877620.8,35251
UPL,EQ,10-Jan-14,203.7,202.3,208.15,201.05,204,204.05,204.34,1576605,322160390.1,22063
UPL,EQ,13-Jan-14,204.05,204.4,206.9,203.7,206,206.1,205.56,1112351,228656737.2,18758
UPL,EQ,14-Jan-14,206.1,206.85,208.7,204.4,207.8,207.7,206.69,783844,162012648.5,9470
UPL,EQ,15-Jan-14,207.7,208.05,216.35,207.3,211,210.2,211.96,1981101,419923706.6,29550
UPL,EQ,16-Jan-14,210.2,210.55,217.1,210.2,216.7,215.85,215.46,3629272,781952846,37118
UPL,EQ,17-Jan-14,215.85,216.2,217.7,212.9,217,216.75,215.57,1531504,330152718.3,18069
UPL,EQ,20-Jan-14,216.75,216.7,216.95,213.6,216.25,216.35,215.31,900911,193973889.3,14624
UPL,EQ,21-Jan-14,216.35,215.5,216.2,212,212.8,212.75,214.16,2411841,516520720,18823
UPL,EQ,22-Jan-14,212.75,211.5,216.9,210.25,214,214.2,214.56,1400933,300589784.2,14392
UPL,EQ,23-Jan-14,214.2,213.5,213.9,205.1,207,206.7,208.58,1011926,211064777.8,13110
UPL,EQ,24-Jan-14,206.7,207,208.65,201.55,206.2,204.45,205.44,2539081,521616568.8,27761
UPL,EQ,27-Jan-14,204.45,204,204,192.5,193.55,193.95,196.36,2096895,411750209.9,25867
UPL,EQ,28-Jan-14,193.95,194.1,195.95,182.6,187,184.85,187.58,2640599,495325634.8,38702
UPL,EQ,29-Jan-14,184.85,187,196,186,195.4,194.25,191.81,2634457,505326161.6,45731
UPL,EQ,30-Jan-14,194.25,193.9,196.7,178.25,185.1,187.5,188.64,9770096,1843078258,64640
UPL,EQ,31-Jan-14,187.5,186.4,191.5,184.3,189,189.1,188.8,1228656,231974566.1,22213
UPL,EQ,03-Feb-14,189.1,188.1,191.5,183.25,184.7,185.1,187.27,657846,123191674.6,13085
UPL,EQ,04-Feb-14,185.1,183.5,189.9,182.05,189.1,189.05,187.51,989349,185517328.4,13031
UPL,EQ,05-Feb-14,189.05,190,192.5,188.05,190.45,190.25,190.5,1320024,251468129.8,23428
UPL,EQ,06-Feb-14,190.25,190.2,192.65,184.1,187.2,186.8,187.55,848143,159071115.8,12511
UPL,EQ,07-Feb-14,186.8,190,196.8,189,195.6,195.1,193.78,1812487,351224408.4,17497
UPL,EQ,10-Feb-14,195.1,195,199.25,194.15,197,196.9,197.75,1455710,287868364.3,22386
UPL,EQ,11-Feb-14,196.9,197.6,197.75,188.1,188.9,188.75,191.37,1500096,287071999.6,18865
UPL,EQ,12-Feb-14,188.75,190,193.25,187.6,188.45,188.65,189.91,1020451,193794626.6,17226
UPL,EQ,13-Feb-14,188.65,189,189.95,181.2,182.55,182.8,184.89,1960737,362529718.2,39264
UPL,EQ,14-Feb-14,182.8,183.1,188.7,183.05,186.25,185.1,185.11,1596464,295516606.7,19846
UPL,EQ,17-Feb-14,185.1,186.2,187.15,181.75,183,182.75,183.64,936836,172039165.4,23203
UPL,EQ,18-Feb-14,182.75,183.1,187.1,182.9,185.8,186.3,184.97,760234,140622264.9,12577
UPL,EQ,19-Feb-14,186.3,184.6,188,184.6,184.8,185.55,186.25,478356,89093296.35,11444
UPL,EQ,20-Feb-14,185.55,185,186,181.65,184,182.85,183.65,568678,104435701,9646
UPL,EQ,21-Feb-14,182.85,183.5,185.35,178.8,180,180,181.8,1611291,292935414.3,51944
UPL,EQ,24-Feb-14,180,179.7,181.8,176.6,178.5,178.5,178.14,1182909,210728458.6,40647
UPL,EQ,25-Feb-14,178.5,179.2,186,179.2,184.6,185.15,183.64,1912888,351286503.5,48539
UPL,EQ,26-Feb-14,185.15,186.1,188.5,182.6,184,183.25,185.15,2671602,494644355.2,37856
UPL,EQ,28-Feb-14,183.25,184.9,185.85,182.05,183.05,182.8,183.39,1138025,208698638.2,18337
UPL,EQ,03-Mar-14,182.8,183,185.2,180.1,181.9,181.3,181.99,1329465,241952647.7,17182
UPL,EQ,04-Mar-14,181.3,181.2,183.65,179.5,182.85,182.55,181.6,1338783,243126532.2,23816
UPL,EQ,05-Mar-14,182.55,184,189.45,184,187.05,187.2,187.28,1761292,329858231.1,18256
UPL,EQ,06-Mar-14,187.2,188,190.85,187.15,189.1,188.3,189.25,1681014,318140126.3,14426
UPL,EQ,07-Mar-14,188.3,189,190.9,186.4,189,189.2,188.51,1183172,223040780.5,14869
UPL,EQ,10-Mar-14,189.2,188.5,194.85,187.05,189,189.25,191.54,2464163,471981561,59225
UPL,EQ,11-Mar-14,189.25,189.8,193.7,188.1,190.1,189.75,191.5,1715969,328612185.2,42174
UPL,EQ,12-Mar-14,189.75,189.9,192.2,188.55,191,190.9,190.89,1962774,374683516.9,28286
UPL,EQ,13-Mar-14,190.9,191.85,194.4,190.05,191.2,190.95,192.14,1422088,273246018.8,48294
UPL,EQ,14-Mar-14,190.95,187.2,190.75,184.3,187,187.45,186.97,1224790,228998977.4,40682
UPL,EQ,18-Mar-14,187.45,188,191.8,188,190,189.95,190.1,1153802,219340630.1,16347
UPL,EQ,19-Mar-14,189.95,190.5,192.95,185.55,185.9,186.2,188.67,1464033,276222640.8,16862
UPL,EQ,20-Mar-14,186.2,185,188.55,184.5,186.8,186.85,186.77,761050,142139598.8,20144
UPL,EQ,21-Mar-14,186.85,187.25,190,185.25,185.85,185.6,186.81,937448,175127353.3,11833
UPL,EQ,22-Mar-14,185.6,186,187,185.5,186.2,186.35,186.26,40530,7549237.1,681
UPL,EQ,24-Mar-14,186.35,186.25,188,183.85,185.2,184.95,185.31,891612,165227000.7,17344
UPL,EQ,25-Mar-14,184.95,184,186.7,179.75,181.4,181.1,181.45,2418913,438906326.1,40782
UPL,EQ,26-Mar-14,181.1,182.1,185.5,181.25,184.5,184.6,183.3,1332254,244200275.1,26758
UPL,EQ,27-Mar-14,184.6,183,189.2,183,185,184.5,185.82,2918646,542353110.3,32453
UPL,EQ,28-Mar-14,184.5,186,186.5,182.1,183.4,183.15,183.37,1676844,307487312.6,30246
UPL,EQ,31-Mar-14,183.15,184.5,186,181.5,185.25,184.45,183.38,1222917,224258507.7,25726
UPL,EQ,01-Apr-14,184.45,185.5,193.7,184,193.05,192.75,190.25,2198307,418234361.4,42902
UPL,EQ,02-Apr-14,192.75,194.6,195.35,189.65,193,192.75,192.21,3448904,662919409,106345
UPL,EQ,03-Apr-14,192.75,193.95,202.5,193.5,200.2,200.8,198.18,4756820,942719134.8,51606
UPL,EQ,04-Apr-14,200.8,202.6,207,201.25,203.2,202.6,204.24,2528020,516316237.2,20683
UPL,EQ,07-Apr-14,202.6,203,206,198.5,201.7,202.3,201.99,1325553,267747386.8,27389
UPL,EQ,09-Apr-14,202.3,201.5,204.8,200.55,204,204.1,203.09,1456643,295829158.8,19878
UPL,EQ,10-Apr-14,204.1,204,214.9,203.5,211.8,212.4,209.79,2489621,522290225.5,35122
UPL,EQ,11-Apr-14,212.4,211.5,223.5,209.85,217,216.8,218.1,3487066,760520992.1,35131
UPL,EQ,15-Apr-14,216.8,217,225.65,212.45,220.55,221.05,220.3,3362534,740753943.3,38705
UPL,EQ,16-Apr-14,221.05,221,223.3,211.6,214.5,214.3,216.17,2249461,486271656.2,32544
UPL,EQ,17-Apr-14,214.3,216.4,217,209.6,214.85,215,214.15,1924574,412148781.4,21377
UPL,EQ,21-Apr-14,215,216.2,220.15,215.9,219.2,219.1,218.33,1405356,306834311.4,13090
UPL,EQ,22-Apr-14,219.1,220.6,222.5,217.8,218.05,218.5,219.75,1477618,324701200.8,17238
UPL,EQ,23-Apr-14,218.5,217.55,218.8,213.45,215,214.7,215.6,2215281,477608799.6,29697
UPL,EQ,25-Apr-14,214.7,215.05,233.4,214.2,231.5,230.35,225.56,11856099,2674283366,78434
UPL,EQ,28-Apr-14,230.35,233.9,279.2,233.8,276,276.6,262.98,31256718,8219833032,247991
UPL,EQ,29-Apr-14,276.6,279.4,286,272.2,273.9,275.15,278.65,10854602,3024687090,105776
UPL,EQ,30-Apr-14,275.15,274.8,285.5,265.15,267.35,268.1,275.29,7640842,2103463699,86069
UPL,EQ,02-May-14,268.1,271.2,286.55,270.65,279.95,279.95,279.39,11082260,3096296951,115350
UPL,EQ,05-May-14,279.95,282,287.8,277.05,279,278.85,280.96,3604698,1012764767,67586
