Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
WIPRO,EQ,01-Jan-14,559.2,564,564,551.1,552,552.7,554.87,443007,245809241.5,12779
WIPRO,EQ,02-Jan-14,552.7,552.7,556.8,546.15,553.2,552.95,552.62,915486,505913230.7,27113
WIPRO,EQ,03-Jan-14,552.95,547,558.4,546.3,557.9,556.6,554.64,1107663,614352240.2,33450
WIPRO,EQ,06-Jan-14,556.6,559.9,564.8,555,557,558,559.54,1855578,1038265810,42632
WIPRO,EQ,07-Jan-14,558,558,558.7,545,549,550.2,551.3,1232292,679365829.4,31041
WIPRO,EQ,08-Jan-14,550.2,549,550.9,543.45,546.15,547.15,547.26,1077593,589723233.4,44603
WIPRO,EQ,09-Jan-14,547.15,547,553.75,537.55,542,540.9,542.79,1637153,888627556.3,55209
WIPRO,EQ,10-Jan-14,540.9,543.1,556.9,531.6,552,553.35,550.36,2657892,1462807304,54275
WIPRO,EQ,13-Jan-14,553.35,555,568,555,562.5,561.45,561.77,1891221,1062424550,52127
WIPRO,EQ,14-Jan-14,561.45,562.55,563,549.6,553.75,553.6,554.17,1460471,809351713.4,47494
WIPRO,EQ,15-Jan-14,553.6,557.25,564,551.7,560,560.7,558.26,1303011,727420077.5,47664
WIPRO,EQ,16-Jan-14,560.7,555,573.85,555,570.5,571.55,565.92,1717084,971739510.6,48646
WIPRO,EQ,17-Jan-14,571.55,575,575.9,549.3,556.7,552.7,557.78,2517653,1404308282,79655
WIPRO,EQ,20-Jan-14,552.7,552.6,577.7,552.1,574,573.05,570.88,4712091,2690020531,75616
WIPRO,EQ,21-Jan-14,573.05,574.75,578,568.4,572.05,571.55,572.93,2214120,1268546447,31175
WIPRO,EQ,22-Jan-14,571.55,570,582.85,568.05,576.9,577.95,576.74,2096716,1209265165,49447
WIPRO,EQ,23-Jan-14,577.95,576,580.35,565,578.6,578.5,573.4,2039827,1169631825,62790
WIPRO,EQ,24-Jan-14,578.5,575.6,587,570.45,573,572.85,580.19,2151627,1248353757,43012
WIPRO,EQ,27-Jan-14,572.85,570,579,565.7,569.05,570.55,572.49,1949218,1115904596,66046
WIPRO,EQ,28-Jan-14,570.55,568.8,572.9,564.1,569,567.6,567.76,1152906,654574025.6,27973
WIPRO,EQ,29-Jan-14,567.6,565,575.8,565,571,571.5,572.25,1140851,652848170.7,35258
WIPRO,EQ,30-Jan-14,571.5,568,574.8,561.65,570.5,571.2,569.43,1943078,1106449715,46071
WIPRO,EQ,31-Jan-14,571.2,571.9,579.65,569.8,573.8,575.05,575.38,1046685,602245212.4,22199
WIPRO,EQ,03-Feb-14,575.05,563.2,574,562.15,563.1,565.95,569.11,1131649,644031504.2,33074
WIPRO,EQ,04-Feb-14,565.95,561.7,561.7,544,556,555.65,551.89,2108872,1163867700,51596
WIPRO,EQ,05-Feb-14,555.65,558,565.45,550.8,560.4,560.4,560.9,1585005,889034149.2,35832
WIPRO,EQ,06-Feb-14,560.4,559.1,571.7,555,567,568.55,566.16,2669065,1511107293,41075
WIPRO,EQ,07-Feb-14,568.55,569.95,573.85,556.55,561.5,561.65,564.58,1380044,779151610.6,41470
WIPRO,EQ,10-Feb-14,561.65,563,569.6,561.1,561.1,563.2,566.02,1045040,591513188.3,24495
WIPRO,EQ,11-Feb-14,563.2,566,571.4,560.3,562.3,563.15,565.33,1364572,771433124.6,22550
WIPRO,EQ,12-Feb-14,563.15,564.55,571.2,558.05,562,562.45,563.5,1418547,799348825.9,28846
WIPRO,EQ,13-Feb-14,562.45,565,566,549.8,557,555.2,554.72,1089476,604349456,37840
WIPRO,EQ,14-Feb-14,555.2,556.55,566.25,552.7,565,563.8,558.9,1194129,667398285.2,25195
WIPRO,EQ,17-Feb-14,563.8,565,569.5,557,563.2,561,561.5,856546,480946922.1,22373
WIPRO,EQ,18-Feb-14,561,559.25,564.9,554.45,555.65,557.05,559.81,922441,516390836.4,25052
WIPRO,EQ,19-Feb-14,557.05,556,568,556,567.25,565.55,561.65,746613,419332042.1,20698
WIPRO,EQ,20-Feb-14,565.55,564.95,570.65,561.1,564.9,565.2,566.07,1095687,620233478.2,25015
WIPRO,EQ,21-Feb-14,565.2,565.5,575,565.5,571.55,571.55,571.19,1353479,773094177.4,43384
WIPRO,EQ,24-Feb-14,571.55,573.1,581.95,570,578.65,577.65,576.93,1041237,600719184.4,40949
WIPRO,EQ,25-Feb-14,577.65,580,598,580,595,596.25,590.22,1651574,974783978.9,64372
WIPRO,EQ,26-Feb-14,596.25,596,611,593.7,599.7,603.05,604.18,2739680,1655249321,59866
