Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
YESBANK,EQ,01-Jan-14,370.2,373,375.8,371.1,375.5,374.45,373.59,1339431,500392907,17338
YESBANK,EQ,02-Jan-14,374.45,375,381.8,360.2,360.6,362.15,375.01,6127181,2297741334,79509
YESBANK,EQ,03-Jan-14,362.15,358,371.45,358,369.75,369.8,365.02,3967885,1448353937,50578
YESBANK,EQ,06-Jan-14,369.8,370.3,370.65,362.1,365.3,366.4,365.38,3031124,1107512130,36188
YESBANK,EQ,07-Jan-14,366.4,366,368.9,359.3,364.05,365.15,363.58,4825028,1754301677,52388
YESBANK,EQ,08-Jan-14,365.15,366.25,367.5,353.55,354.85,356.4,361.57,5123324,1852436821,96516
YESBANK,EQ,09-Jan-14,356.4,355.7,355.7,348,350.35,350.15,350.88,3819724,1340268791,53909
YESBANK,EQ,10-Jan-14,350.15,352,357,341.75,343,343,350.3,4069230,1425449660,52682
YESBANK,EQ,13-Jan-14,343,343,348.75,335,341.8,338.75,340.31,4993777,1699413913,61828
YESBANK,EQ,14-Jan-14,338.75,341,347.6,340.2,347.1,346.6,344.97,3982024,1373678137,53427
YESBANK,EQ,15-Jan-14,346.6,350.9,356.8,342.3,353.25,353.05,351.56,12986886,4565645668,144508
YESBANK,EQ,16-Jan-14,353.05,356,360,352.1,356.45,356.55,356.64,4949883,1765332996,77261
YESBANK,EQ,17-Jan-14,356.55,353,357.6,349.4,352.45,351.15,352.68,4150785,1463886626,63574
YESBANK,EQ,20-Jan-14,351.15,349.15,360.55,349.15,360.25,359.4,356.32,3285091,1170555929,50946
YESBANK,EQ,21-Jan-14,359.4,360.3,366.35,360.3,363,363.2,364.06,3177747,1156904531,44784
YESBANK,EQ,22-Jan-14,363.2,364,364.8,358.65,360.7,361.45,361.4,2826631,1021544256,38446
YESBANK,EQ,23-Jan-14,361.45,360.95,362.25,355.5,357.75,357.5,359.01,2667834,957789430.8,41411
YESBANK,EQ,24-Jan-14,357.5,354.2,357.75,345.15,345.95,348.05,352.24,2676728,942846877,47637
YESBANK,EQ,27-Jan-14,348.05,340,340.9,320,321.15,321.65,326.5,7422385,2423439921,132450
YESBANK,EQ,28-Jan-14,321.65,322,329.9,314.45,324.05,324.9,323.28,9306876,3008720606,111888
YESBANK,EQ,29-Jan-14,324.9,328.2,331.7,318,321.5,320.8,324.16,4539321,1471477481,58162
YESBANK,EQ,30-Jan-14,320.8,315,316,303.25,308.05,306.35,308.97,5790980,1789256341,67993
YESBANK,EQ,31-Jan-14,306.35,308.1,311.8,304.1,307.95,307.65,307.75,6686496,2057741317,68949
YESBANK,EQ,03-Feb-14,307.65,307,307.05,298.75,299.95,299.45,301.93,5495097,1659140423,82773
YESBANK,EQ,04-Feb-14,299.45,295.1,305.8,291.4,303,303.4,300.31,7927061,2380589446,79814
YESBANK,EQ,05-Feb-14,303.4,301.05,305.45,298.05,302.55,303.05,302.1,6054938,1829176603,77980
YESBANK,EQ,06-Feb-14,303.05,304.2,310.25,301.55,303.75,305,305.63,5422513,1657283429,63934
YESBANK,EQ,07-Feb-14,305,308,310.25,305,309.7,308.9,307.63,3760873,1156968534,75598
YESBANK,EQ,10-Feb-14,308.9,310.1,313.45,305.65,306.1,307.8,310.76,3276874,1018305933,63105
YESBANK,EQ,11-Feb-14,307.8,307.65,310.8,305.1,306,306.3,308.18,2786492,858739165.8,36058
YESBANK,EQ,12-Feb-14,306.3,309,311.95,302.1,302.9,303.1,307.22,5256338,1614834181,58274
YESBANK,EQ,13-Feb-14,303.1,305,305.5,294.1,294.15,294.85,298.1,4979395,1484351130,76402
YESBANK,EQ,14-Feb-14,294.85,299,302,294.15,301.3,300.65,298.04,3547203,1057207797,50347
YESBANK,EQ,17-Feb-14,300.65,302.4,307,297.05,306.45,305.15,302.21,5222981,1578450678,60556
YESBANK,EQ,18-Feb-14,305.15,306,311,303.8,307,307.7,308.74,5565541,1718312642,63031
YESBANK,EQ,19-Feb-14,307.7,309.9,310.5,305,307.2,306.95,307.77,3611893,1111623669,57266
YESBANK,EQ,20-Feb-14,306.95,304.5,306.4,301.3,301.8,301.9,303.42,3717265,1127899084,39069
YESBANK,EQ,21-Feb-14,301.9,302.05,307.5,302.05,306,306.2,305.82,2259243,690921648.4,40818
YESBANK,EQ,24-Feb-14,306.2,306,306.5,301.2,303.8,303.9,303.82,3111080,945216980.9,38462
YESBANK,EQ,25-Feb-14,303.9,306.2,306.9,301.55,301.8,302.25,303.39,2577296,781918910.9,34017
YESBANK,EQ,26-Feb-14,302.25,302.2,305.9,301.5,303.1,302.5,303.48,3244677,984693080.2,41748
YESBANK,EQ,28-Feb-14,302.5,305.3,306.5,302.2,304.25,304.95,304.42,3176477,966988793.2,45714
YESBANK,EQ,03-Mar-14,304.95,302.35,312.45,301.55,302.7,302.75,307.09,4736505,1454551868,64165
YESBANK,EQ,04-Mar-14,302.75,304.35,322.8,303.6,321,320.45,314.5,9359948,2943680638,91895
YESBANK,EQ,05-Mar-14,320.45,324.7,335,319.65,331.1,331.45,327.95,12142895,3982246635,126231
YESBANK,EQ,06-Mar-14,331.45,334,347.4,331.1,345.85,345.8,339.76,9432375,3204714934,166283
YESBANK,EQ,07-Mar-14,345.8,347.4,378.9,347,376.45,375.9,367.55,17873525,6569380766,196696
YESBANK,EQ,10-Mar-14,375.9,372,389.5,370,380.85,381.9,381.68,12733709,4860160037,127968
YESBANK,EQ,11-Mar-14,381.9,382.9,387.4,366.4,371.4,371.25,374.38,10118114,3788019511,108724
YESBANK,EQ,12-Mar-14,371.25,370,373.3,360.9,364.15,364.75,366.46,8389324,3074327897,114928
YESBANK,EQ,13-Mar-14,364.75,368.1,378,356.1,360.45,361.35,371.03,7295198,2706758513,103289
YESBANK,EQ,14-Mar-14,361.35,355.8,357.8,350.3,355.3,355.85,353.87,7363444,2605694173,90973
YESBANK,EQ,18-Mar-14,355.85,359.5,367.35,359.1,363.4,363.7,363.97,5434945,1978138517,79893
YESBANK,EQ,19-Mar-14,363.7,367.25,371,361.3,365.55,365.4,365.86,6280676,2297868288,91026
YESBANK,EQ,20-Mar-14,365.4,365.9,365.9,360,362.3,362.05,362.49,3434231,1244876292,41361
YESBANK,EQ,21-Mar-14,362.05,360.6,366.25,356.6,361.2,360.35,362.69,3206978,1163132019,46265
