Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
ZEEL,EQ,01-Jan-14,276.6,275.25,280.65,275.25,277,277,278.17,406220,113000196,5069
ZEEL,EQ,02-Jan-14,277,277.05,284.4,277.05,280,279.9,280.71,1450520,407171158.4,16903
ZEEL,EQ,03-Jan-14,279.9,278,283,276,281.25,281,280.55,939877,263685160.7,32596
ZEEL,EQ,06-Jan-14,281,280.9,294.95,278.65,286.85,287.15,289.49,3360584,972842029.2,55848
ZEEL,EQ,07-Jan-14,287.15,288.1,291.45,282.65,285.5,285.7,286.91,2698073,774092638.8,46424
ZEEL,EQ,08-Jan-14,285.7,285.8,288,282.4,285.3,285.2,285.2,2154240,614395384.7,35215
ZEEL,EQ,09-Jan-14,285.2,282.1,297.1,282.1,289,288.75,289.8,3633639,1053015776,68954
ZEEL,EQ,10-Jan-14,288.75,289,296.9,287.5,295,295.1,293.22,3580563,1049882187,64713
ZEEL,EQ,13-Jan-14,295.1,295.25,300.4,292.7,295.15,295.95,296.84,704200,209035276.4,18920
ZEEL,EQ,14-Jan-14,295.95,297.4,297.4,282.2,283.45,284.55,287.1,1024574,294155440.7,14342
ZEEL,EQ,15-Jan-14,284.55,283.75,287.4,278.2,280.35,280.7,281.1,1634885,459566978.1,56226
ZEEL,EQ,16-Jan-14,280.7,281.55,283.65,277.5,277.5,278,278.87,1141556,318349254.4,12069
ZEEL,EQ,17-Jan-14,278,278.5,284,276.5,279,278.6,279.55,956754,267460059.8,28575
ZEEL,EQ,20-Jan-14,278.6,278.65,285.45,278.65,283.65,284.1,282.2,1001519,282631553.8,18852
ZEEL,EQ,21-Jan-14,284.1,284.25,287.4,280.5,281.55,281.6,283.15,1038427,294031311,19152
ZEEL,EQ,22-Jan-14,281.6,282,287.1,279,284.3,284.2,284.27,2635235,749124480.4,43465
ZEEL,EQ,23-Jan-14,284.2,285.5,286.5,276.6,282.3,282.25,281.07,1807921,508151690.5,27455
ZEEL,EQ,24-Jan-14,282.25,281.4,284.3,278.05,279.15,278.85,279.77,1364843,381848839,26903
ZEEL,EQ,27-Jan-14,278.85,276,276.25,263.6,267,265.85,267.96,1942148,520424304.7,28428
ZEEL,EQ,28-Jan-14,265.85,265.45,271,256.65,266.95,265.7,264.71,2263844,599265315.5,44235
ZEEL,EQ,29-Jan-14,265.7,265.7,267,257.4,259.8,259.4,263.58,2017301,531714565.2,50450
ZEEL,EQ,30-Jan-14,259.4,255.65,259.45,254.15,257.2,256,256.17,3382153,866422128.2,61001
ZEEL,EQ,31-Jan-14,256,260.4,268.4,257.55,266.9,266.45,264.51,3193898,844808253.6,66374
ZEEL,EQ,03-Feb-14,266.45,265.2,274.45,264,268.5,269.1,269.25,2228610,600042413.6,31011
